max_pf 103 min_pf 27
individual T0 sigma disp_rate r0 patch_no mut_eff
64 298.757 8.03833 0.01 1 28 0
80 308.808 8.22631 0.01 1 72 0
118 309.156 8.16849 0.01 1 72 0
195 301.663 8.11258 0.01 1 29 0
244 317.341 7.96593 0.01 1 101 0
382 307.38 8.11741 0.01 1 72 0
401 298.757 8.11443 0.01 1 29 0
439 298.757 8.03833 0.01 1 28 0
545 298.757 8.11443 0.01 1 29 0
548 317.341 7.95477 0.01 1 101 0
556 317.341 7.95477 0.01 1 102 0
587 317.53 7.59603 0.01 1 101 0
626 301.663 8.03833 0.01 1 29 0
686 317.513 7.95477 0.01 1 102 0
749 317.341 7.95477 0.01 1 102 0
823 308.942 8.03156 0.01 1 72 0
844 308.39 8.29147 0.01 1 72 0
862 301.663 8.13179 0.01 1 29 0.00151975
955 307.274 7.93456 0.01 1 72 0
1106 307.38 8.11741 0.01 1 72 0
1175 311.08 8.30948 0.01 1 72 0
1240 298.757 8.03833 0.01 1 28 0
1264 307.503 8.23306 0.01 1 72 0
1287 318.043 7.90093 0.01 1 101 0
1312 307.267 7.25183 0.01 1 72 0.00303152
1360 307.18 8.55135 0.01 1 72 0
1380 310.625 7.93967 0.01 1 72 0
1392 308.296 8.06375 0.01 1 72 0
1594 308.303 7.7278 0.01 1 72 0
1686 307.909 8.0387 0.01 1 72 0
1708 317.341 8.07467 0.01 1 102 0
1709 300.457 8.02271 0.01 1 29 -0.000273816
1728 297.888 8.08278 0.01 1 29 0
1740 309.627 7.36386 0.01 1 72 0
1777 298.757 8.03833 0.01 1 28 0
1824 298.757 8.03833 0.01 1 29 0
1839 307.911 8.13957 0.01 1 72 0
1860 308.303 7.7278 0.01 1 72 0
1901 316.724 7.95477 0.01 1 101 0
1921 307.41 8.7148 0.01 1 72 0
1931 308.303 7.7278 0.01 1 72 0
1938 309.361 8.10688 0.01 1 72 0
1957 307.155 7.98706 0.01 1 72 0
1985 316.296 7.95477 0.01 1 101 0
2021 317.341 8.07467 0.01 1 101 0
2047 307.911 8.13957 0.01 1 72 0
2068 309.627 7.40005 0.01 1 72 0
2130 317.341 7.95477 0.01 1 102 0
2217 310.879 8.14847 0.01 1 72 0
2276 307.155 7.89438 0.01 1 72 0
2284 307.155 7.89438 0.01 1 72 0
2307 309.156 8.16366 0.01 1 72 0
2364 307.38 7.85128 0.01 1 72 0
2398 301.663 8.03833 0.01 1 29 0
2400 300.364 8.03833 0.01 1 29 0
2489 298.757 8.03833 0.01 1 28 0
2516 298.757 8.11443 0.01 1 28 0
2552 309.627 7.36386 0.01 1 72 0
2668 306.662 8.77907 0.01 1 72 0
2691 308.327 7.89438 0.01 1 72 0.00463381
2740 309.627 7.36386 0.01 1 72 0
2742 298.757 8.03833 0.01 1 29 0
2783 308.296 8.15557 0.01 1 72 0
2809 301.663 7.85484 0.01 1 29 0
2829 308.296 8.15557 0.01 1 72 0
2835 317.427 7.90093 0.01 1 101 0
2895 307.38 7.93456 0.01 1 72 0
2944 309.627 7.36386 0.01 1 72 0
2949 310.879 8.14847 0.01 1 72 0
2956 309.156 8.16366 0.01 1 72 0
3034 311.08 8.30948 0.01 1 72 0
3087 309.395 8.22631 0.01 1 72 0
3155 301.663 8.03833 0.01 1 29 0
3190 301.663 8.03833 0.01 1 29 0
3200 298.757 8.03833 0.01 1 28 0
3250 301.663 8.03833 0.01 1 28 0
3257 307.38 8.11741 0.01 1 72 0
3259 298.757 8.11443 0.01 1 28 0
