 time_step hot_mut_eff q_25_hot_br_mut_eff q_75_hot_br_mut_eff hot_wr_mut_eff q_25_hot_wr_mut_eff q_75_hot_wr_mut_eff cold_mut_eff q_25_cold_br_mut_eff q_75_cold_br_mut_eff cold_wr_mut_eff q_25_cold_wr_mut_eff q_75_cold_wr_mut_eff
0 2000.0 7.56979e-05 4.6681625000000006e-05 0.00013000525000000002 2.274218657025196e-06 9.857314133899478e-07 3.5362463681712677e-06 8.91387e-05 4.6949825e-05 0.000171336975 1.6754365199854965e-06 8.76818045052744e-07 3.028194198181611e-06
1 2002.0 6.32256e-05 4.211815e-05 0.00012589224999999998 2.1726194985700497e-06 9.049303062744387e-07 3.4613687330215455e-06 9.16123e-05 5.292145e-05 0.000176139325 1.7134675820197773e-06 9.864754504413358e-07 3.3691113864666314e-06
2 2004.0 6.48722e-05 4.259495e-05 0.00013353677499999998 1.7034554759487464e-06 9.138508113389244e-07 3.218271589482854e-06 8.075685e-05 3.8903200000000004e-05 0.0001826955 1.6371155634764547e-06 8.418270733400085e-07 3.114132110546337e-06
3 2006.0 5.9790900000000004e-05 3.23802e-05 0.00014191875 1.8693743353804955e-06 8.456480655932235e-07 3.304253834155498e-06 8.22544e-05 4.1455050000000006e-05 0.00017781950000000002 1.6821988361447198e-06 6.736951843538257e-07 2.803617666484656e-06
4 2008.0 6.81728e-05 3.948805e-05 0.000141475425 1.5295154868264178e-06 7.889600865424928e-07 3.2608959474765537e-06 7.33584e-05 4.08329e-05 0.00013603275 1.6556055094030293e-06 6.100813371439162e-07 2.8176866599613207e-06
5 2010.0 7.719545e-05 3.4224225e-05 0.000194210625 1.9263431749379266e-06 8.539557026494418e-07 3.4219652703704694e-06 7.529555e-05 4.25689e-05 0.000147849 1.2995005801876049e-06 6.468962930706587e-07 2.810367213949206e-06
6 2012.0 8.065255e-05 4.427135000000001e-05 0.00015982255 1.559909966987013e-06 6.681565889967821e-07 3.095375291517323e-06 8.308885e-05 3.97265e-05 0.000175387 1.4783225922023722e-06 6.470727441963845e-07 2.815241493593975e-06
7 2014.0 8.844585e-05 4.37498e-05 0.00022356975 1.558171924623584e-06 7.631947342503425e-07 3.037190561707897e-06 8.049605e-05 4.312395e-05 0.00017067025 1.508680100509998e-06 8.205000374644423e-07 3.0041598968797777e-06
8 2016.0 0.000103965 4.835425e-05 0.000192180325 1.6745876182223705e-06 6.613459106056375e-07 3.7187612313100813e-06 7.97063e-05 4.443525e-05 0.00017112875 1.5715267809205904e-06 7.083108322962508e-07 3.0840512187098904e-06
9 2018.0 0.000112548 4.99487e-05 0.00022440025 1.77759018944871e-06 8.628697436973027e-07 3.913481753930095e-06 7.51615e-05 4.533675e-05 0.0001484565 1.6329564220761425e-06 6.339924792091855e-07 3.412814184763597e-06
10 2020.0 0.0001211764 4.8808749999999996e-05 0.00024027375 2.0644988041451113e-06 1.1962497414245848e-06 3.803581106732816e-06 9.91821e-05 4.2170275e-05 0.000162553025 1.964457028855696e-06 6.86698269142682e-07 3.781960450003923e-06
11 2022.0 0.00011103575000000001 5.661695e-05 0.000256322 1.8931144133588377e-06 8.255769868169111e-07 3.708323180699541e-06 0.000105828 4.98295e-05 0.00019364425 1.7913579131566827e-06 6.023590187867038e-07 3.5185494921668297e-06
12 2024.0 0.0001167805 6.4726925e-05 0.00028134899999999997 2.0937987699407265e-06 7.788508892645574e-07 4.303136724884762e-06 9.42275e-05 5.074215e-05 0.00014697375 1.651431889410794e-06 7.502627594606874e-07 3.5334494699466386e-06
