	time	range_hot	range_cold
0	2000	77	67
1	2002	77	67
2	2004	77	67
3	2006	78	66
4	2008	78	66
5	2010	78	66
6	2012	78	66
7	2014	78	66
8	2016	78	66
9	2018	78	66
10	2020	78	66
11	2022	78	66
12	2024	78	65
13	2026	78	65
14	2028	79	64
15	2030	79	64
16	2032	79	64
17	2034	79	64
18	2036	79	64
19	2038	79	64
20	2040	79	63
21	2042	79	63
22	2044	79	63
23	2046	80	63
24	2048	80	63
25	2050	80	63
26	2052	80	63
27	2054	80	63
28	2056	80	62
29	2058	80	62
30	2060	80	62
31	2062	80	62
32	2064	80	62
33	2066	80	62
34	2068	81	62
35	2070	81	62
36	2072	81	62
37	2074	81	62
38	2076	81	61
39	2078	81	61
40	2080	81	61
41	2082	81	61
42	2084	82	61
43	2086	82	61
44	2088	82	61
45	2090	82	61
46	2092	82	61
47	2094	82	61
48	2096	82	61
49	2098	82	61
50	2100	82	61
51	2102	82	61
52	2104	82	61
53	2106	82	60
54	2108	82	60
55	2110	82	60
56	2112	83	60
57	2114	83	59
58	2116	83	59
59	2118	83	59
60	2120	83	59
61	2122	83	59
62	2124	83	59
63	2126	83	59
64	2128	83	59
65	2130	83	59
66	2132	83	59
67	2134	83	59
68	2136	83	59
69	2138	83	59
70	2140	84	58
71	2142	84	58
72	2144	84	58
73	2146	84	58
74	2148	84	58
75	2150	84	58
76	2152	84	58
77	2154	84	57
78	2156	84	57
79	2158	84	57
80	2160	84	57
81	2162	84	57
82	2164	84	57
83	2166	84	57
84	2168	84	57
85	2170	85	57
86	2172	85	57
87	2174	85	57
88	2176	85	57
89	2178	85	57
90	2180	85	57
91	2182	86	57
92	2184	86	57
93	2186	86	56
94	2188	86	56
95	2190	86	56
96	2192	86	56
97	2194	86	56
98	2196	86	56
99	2198	86	56
100	2200	86	56
101	2202	86	56
102	2204	86	56
103	2206	86	56
104	2208	87	55
105	2210	87	55
106	2212	87	55
107	2214	87	55
108	2216	87	55
109	2218	87	55
110	2220	87	55
111	2222	87	55
112	2224	87	55
113	2226	87	55
114	2228	87	54
115	2230	87	54
116	2232	88	54
117	2234	88	54
118	2236	87	54
119	2238	87	54
120	2240	87	54
121	2242	87	53
122	2244	89	53
123	2246	89	53
124	2248	87	53
125	2250	89	53
126	2252	89	53
127	2254	89	53
128	2256	89	53
129	2258	89	53
130	2260	89	53
131	2262	89	53
132	2264	89	53
133	2266	89	53
134	2268	89	53
135	2270	89	53
136	2272	89	53
137	2274	89	52
138	2276	89	52
139	2278	89	52
140	2280	89	52
141	2282	89	52
142	2284	89	52
143	2286	89	52
144	2288	89	52
145	2290	89	52
146	2292	90	52
147	2294	89	51
148	2296	90	51
149	2298	90	51
150	2300	90	51
151	2302	90	51
152	2304	90	51
153	2306	90	51
154	2308	90	51
155	2310	90	51
156	2312	90	51
157	2314	90	51
158	2316	90	51
159	2318	90	51
160	2320	90	51
161	2322	90	51
162	2324	90	51
163	2326	91	51
164	2328	91	50
165	2330	90	50
166	2332	90	50
167	2334	90	50
168	2336	90	50
169	2338	90	50
170	2340	90	50
171	2342	90	50
172	2344	91	50
173	2346	91	50
174	2348	91	50
175	2350	91	50
176	2352	91	50
177	2354	91	49
178	2356	91	49
179	2358	91	49
180	2360	92	49
181	2362	92	49
182	2364	92	49
183	2366	92	49
184	2368	92	49
185	2370	92	49
186	2372	92	49
187	2374	92	49
188	2376	92	49
189	2378	92	49
190	2380	92	49
191	2382	92	48
192	2384	92	49
193	2386	92	48
194	2388	92	48
195	2390	92	48
196	2392	92	48
197	2394	92	48
198	2396	92	48
199	2398	93	48
200	2400	93	48
201	2402	93	48
202	2404	93	48
203	2406	93	48
204	2408	93	48
205	2410	93	48
206	2412	93	48
207	2414	93	48
208	2416	93	47
209	2418	93	47
210	2420	93	47
211	2422	93	47
212	2424	93	47
213	2426	94	47
214	2428	94	47
215	2430	94	47
216	2432	94	47
217	2434	94	46
218	2436	94	46
219	2438	94	46
220	2440	94	46
221	2442	94	46
222	2444	94	46
223	2446	94	46
224	2448	95	46
225	2450	95	46
226	2452	95	46
227	2454	95	46
228	2456	95	46
229	2458	95	46
230	2460	95	46
231	2462	95	46
232	2464	95	46
233	2466	95	46
234	2468	95	46
235	2470	95	46
236	2472	95	45
237	2474	95	45
238	2476	96	45
239	2478	96	45
240	2480	96	45
241	2482	96	45
242	2484	95	45
243	2486	95	45
244	2488	95	45
245	2490	95	45
246	2492	95	45
247	2494	96	45
248	2496	96	45
249	2498	96	45
250	2500	96	45
251	2502	96	45
252	2504	96	44
