max_pf 79 min_pf 65
individual T0 sigma disp_rate r0 patch_no mut_eff
4 311.237 8.20288 0.01 1 72 0
6 308.835 8.01102 0.01 1 72 0
7 311.094 8.16389 0.01 1 77 0
9 306.815 8.37505 0.01 1 67 0
10 309.429 7.90808 0.01 1 77 0
12 308.994 7.74986 0.01 1 77 0
14 309.107 8.25166 0.01 1 72 0
15 307.648 7.90091 0.01 1 67 0
19 310.09 7.91662 0.01 1 72 0
22 309.95 8.03503 0.01 1 79 0
23 307.481 7.89505 0.01 1 67 0
24 309.571 7.72288 0.01 1 72 0
26 309.95 7.89574 0.01 1 78 0
33 308.734 8.02699 0.01 1 72 0
34 307.686 8.14388 0.01 1 72 0
35 308.004 7.83678 0.01 1 66 0
37 309.849 8.02422 0.01 1 77 0
46 310.524 7.71094 0.01 1 78 0
52 309.297 8.02597 0.01 1 77 0
58 307.528 8.02699 0.01 1 72 0
59 311.027 7.95897 0.01 1 78 0
61 310.09 7.91662 0.01 1 72 0
70 306.223 8.2969 0.01 1 67 0
71 309.973 7.84548 0.01 1 77 0
73 309.596 8.1078 0.01 1 67 0
74 309.95 7.96855 0.01 1 72 0
76 310.687 7.67151 0.01 1 78 0
78 308.24 8.14662 0.01 1 72 0
84 306.49 8.06222 0.01 1 67 0
86 308.052 7.83678 0.01 1 66 0
91 308.094 7.91391 0.01 1 67 0
94 309.973 7.84548 0.01 1 77 0
104 307.821 7.79858 0.01 1 67 0
109 307.699 7.97916 0.01 1 72 0
115 309.526 7.98057 0.01 1 72 0
122 307.758 8.46405 0.01 1 72 0
125 306.49 8.01825 0.01 1 67 0
127 307.562 7.83678 0.01 1 66 0
139 308.994 7.82911 0.01 1 77 0
144 309.829 7.6905 0.01 1 77 -0.00233172
146 306.223 8.2969 0.01 1 67 0
149 307.648 7.90091 0.01 1 66 0
153 309.95 7.89574 0.01 1 78 0
154 308.974 8.0267 0.01 1 77 0
155 306.815 8.37505 0.01 1 67 0
158 306.49 8.01825 0.01 1 67 0
170 308.004 7.83678 0.01 1 66 0
171 309.973 7.84548 0.01 1 77 0
175 307.928 8.08722 0.01 1 72 0
181 311.352 8.2189 0.01 1 72 0
182 308.148 7.9004 0.01 1 67 0
186 309.95 7.89574 0.01 1 78 0
190 307.481 7.89505 0.01 1 67 0
192 309.297 8.17912 0.01 1 78 0
193 309.596 8.10271 0.01 1 67 -1.69277e-05
204 309.065 7.88314 0.01 1 77 0.00290029
205 309.973 7.84548 0.01 1 77 0
207 310.917 7.89756 0.01 1 72 0
209 309.364 7.9674 0.01 1 77 0
212 309.95 7.89574 0.01 1 72 0
213 307.786 8.07546 0.01 1 67 0
219 309.297 8.17912 0.01 1 78 0
220 308.286 7.86254 0.01 1 67 0
222 307.974 8.50549 0.01 1 67 0
223 309.297 8.17912 0.01 1 78 0
226 306.257 8.16546 0.01 1 67 0
227 310.504 7.95192 0.01 1 72 0
228 308.55 7.89505 0.01 1 67 0
230 311.858 8.02858 0.01 1 72 0
231 306.815 8.37505 0.01 1 65 0
232 308.42 7.95518 0.01 1 72 0
239 309.95 7.89574 0.01 1 78 0
243 304.793 8.29608 0.01 1 67 0
248 307.686 8.14388 0.01 1 72 0
