max_pf 113 min_pf 12
individual T0 sigma disp_rate r0 patch_no mut_eff
54 323.789 8.46904 0.01 1 113 0
70 309.557 8.29679 0.01 1 72 0
194 290.489 7.75668 0.01 1 14 0
266 305.355 7.61628 0.01 1 72 0
287 290.489 7.56415 0.01 1 12 0
311 324.231 8.75847 0.01 1 111 0
490 308.729 8.13703 0.01 1 72 0
532 308.396 7.28594 0.01 1 72 0
564 308.659 8.04695 0.01 1 72 0
565 306.317 8.05422 0.01 1 72 0
642 308.93 8.08895 0.01 1 72 0
658 310.048 8.34256 0.01 1 72 0
693 308.729 8.13703 0.01 1 72 0
817 324.613 8.72976 0.01 1 111 0
869 306.549 7.85922 0.01 1 72 0
1299 307.822 7.49583 0.01 1 72 0
1353 296.797 7.82565 0.01 1 14 0
1354 305.355 7.61628 0.01 1 72 0
1496 323.567 8.36637 0.01 1 112 0
1534 308.659 8.1238 0.01 1 72 0
1565 309.162 7.99865 0.01 1 72 0
1616 310.587 7.90962 0.01 1 72 0
1806 290.489 7.82565 0.01 1 14 0
1891 308.729 8.13787 0.01 1 72 0
1982 291.458 7.82565 0.01 1 14 0
2205 323.789 8.36637 0.01 1 113 0
2242 308.818 8.0927 0.01 1 72 0
2244 323.789 8.71087 0.01 1 113 0
2263 290.489 7.82565 0.01 1 14 0
2315 308.818 8.0927 0.01 1 72 0
2325 308.729 7.98714 0.01 1 72 -4.18723e-06
2337 293.625 7.82565 0.01 1 13 0
2377 323.567 8.36637 0.01 1 112 0
2408 307.228 8.0927 0.01 1 72 0
2418 289.139 7.75668 0.01 1 13 0.0196204
2442 306.972 8.17804 0.01 1 72 0
2545 309.444 7.40571 0.01 1 72 0
2547 308.199 8.0927 0.01 1 72 0
2577 309.202 8.03082 0.01 1 72 0
2640 309.787 7.99817 0.01 1 72 0
2798 308.871 7.55867 0.01 1 72 0
2945 310.019 8.16238 0.01 1 72 2.80142e-05
3051 310.057 7.93349 0.01 1 72 0
3056 308.446 7.94479 0.01 1 72 0
3080 308.143 8.25665 0.01 1 72 0
3253 312.418 8.08624 0.01 1 72 0
3532 308.921 7.73176 0.01 1 72 0
3598 323.789 8.36637 0.01 1 112 0
3670 292.51 7.82565 0.01 1 14 0
3706 310.587 7.90962 0.01 1 72 0
3783 323.567 8.36637 0.01 1 113 0
3894 310.587 7.90962 0.01 1 72 0
3947 309.444 7.75999 0.01 1 72 0
3994 306.394 7.74159 0.01 1 72 -0.0104962
4134 309.8 8.25731 0.01 1 72 0
4138 308.396 7.28594 0.01 1 72 0
4234 293.625 7.82565 0.01 1 14 0
4519 308.005 8.17497 0.01 1 72 0
4696 292.26 7.82565 0.01 1 14 0
4764 307.822 7.49583 0.01 1 72 0
4812 308.818 8.06088 0.01 1 72 0
4867 306.569 7.51506 0.01 1 72 0
5075 324.613 8.72976 0.01 1 111 0
5125 307.822 7.49583 0.01 1 72 0
5127 309.444 7.40571 0.01 1 72 0
5196 322.177 8.25942 0.01 1 112 0
5226 309.444 7.40571 0.01 1 72 0
5235 324.613 8.72976 0.01 1 111 0
5297 290.489 7.75668 0.01 1 14 0
