max_pf 113 min_pf 24
individual T0 sigma disp_rate r0 patch_no mut_eff
2 299.693 8.09699 0.01 1 24 0
10 309.722 8.73171 0.01 1 72 0
162 309.722 8.73171 0.01 1 72 0
168 307.399 7.55906 0.01 1 72 0
200 326.232 7.61517 0.01 1 113 0
244 326.232 7.85492 0.01 1 111 0
257 300.017 8.10809 0.01 1 25 -0.00315546
281 311.188 8.2892 0.01 1 72 0
311 298.243 8.10809 0.01 1 26 0
318 309.07 8.09194 0.01 1 72 0
321 310.731 8.18568 0.01 1 72 0
428 326.232 7.54256 0.01 1 112 0
459 326.734 7.61517 0.01 1 111 0
595 299.693 8.12859 0.01 1 26 0
615 310.79 8.42152 0.01 1 72 0
625 309.971 8.09064 0.01 1 72 0
627 309.483 7.9191 0.01 1 72 0
705 326.462 7.61517 0.01 1 112 0
718 325.502 7.55533 0.01 1 111 0
731 326.232 7.61517 0.01 1 113 0
825 308.908 8.09045 0.01 1 72 0
890 299.693 8.09699 0.01 1 26 0
946 299.693 8.10809 0.01 1 24 0
984 326.232 7.61517 0.01 1 111 0
988 299.693 8.10809 0.01 1 25 0
1012 299.693 8.10164 0.01 1 26 0
1044 326.232 7.52684 0.01 1 111 0
1147 326.022 7.85492 0.01 1 113 0
1148 299.693 8.05886 0.01 1 26 0
1158 326.279 7.71802 0.01 1 113 0.000460222
1170 326.232 7.61517 0.01 1 111 0
1186 299.693 8.10809 0.01 1 26 0
1197 322.735 8.08463 0.01 1 111 0
1278 298.734 8.10809 0.01 1 26 0
1299 299.693 8.10809 0.01 1 26 0
1304 325.579 7.85492 0.01 1 113 0
1360 300.305 8.31215 0.01 1 26 0
1374 299.693 8.06064 0.01 1 25 -0.000769962
1406 298.931 8.28314 0.01 1 25 0
1435 299.693 8.10809 0.01 1 26 0
1438 310.927 8.2892 0.01 1 72 0
1485 299.693 8.10809 0.01 1 24 0
1503 309.07 8.09194 0.01 1 72 0
1527 309.07 8.09194 0.01 1 72 0
1544 299.693 8.09699 0.01 1 25 0
1566 299.693 8.10809 0.01 1 26 0
1582 326.232 7.61517 0.01 1 112 0
1620 325.849 7.85492 0.01 1 112 0
1653 326.842 7.85492 0.01 1 113 0
1682 326.232 7.59204 0.01 1 113 0
1692 299.693 8.09699 0.01 1 25 0
1762 299.693 8.10809 0.01 1 26 0
1881 299.693 8.10809 0.01 1 24 0
1918 299.693 8.10809 0.01 1 26 0
2026 299.693 8.03979 0.01 1 26 0
2113 309.087 8.10901 0.01 1 72 0
2227 326.232 7.85492 0.01 1 111 0
2280 326.232 7.85492 0.01 1 111 0
2372 326.232 7.61517 0.01 1 111 0
2404 326.842 7.85492 0.01 1 112 0
2454 299.693 8.10809 0.01 1 24 0
2526 299.693 8.10809 0.01 1 26 0
2537 326.232 7.61517 0.01 1 111 0
2644 325.849 7.86482 0.01 1 111 0
2707 308.832 8.13423 0.01 1 72 0
2714 307.79 7.99335 0.01 1 72 0
2733 299.693 8.10809 0.01 1 25 0
2824 308.832 8.13423 0.01 1 72 0
2857 298.243 8.10809 0.01 1 26 0
3019 299.693 8.10809 0.01 1 25 0
3050 308.281 8.13695 0.01 1 72 0
3181 308.908 8.09045 0.01 1 72 0
