max_pf 94 min_pf 44
individual T0 sigma disp_rate r0 patch_no mut_eff
31 312.134 7.89643 0.01 1 92 0
33 306.362 7.98425 0.01 1 72 0
47 303.48 8.09485 0.01 1 45 0
58 303.48 8.09485 0.01 1 46 0
96 303.48 8.09485 0.01 1 45 0
100 303.48 8.11094 0.01 1 46 0
115 307.907 7.75761 0.01 1 72 0
142 306.362 7.98425 0.01 1 72 0
145 303.48 8.14223 0.01 1 46 0
154 303.48 8.09485 0.01 1 45 0
155 303.48 8.09485 0.01 1 46 0
166 310.334 7.75528 0.01 1 72 0
182 312.134 8.03722 0.01 1 92 0
190 308.887 8.18794 0.01 1 72 0
196 307.827 7.833 0.01 1 72 0
238 305.491 7.7029 0.01 1 45 0
245 303.48 8.09485 0.01 1 44 0
253 303.48 8.09485 0.01 1 46 0
258 312.155 7.85418 0.01 1 72 0
260 310.264 7.75528 0.01 1 72 0
275 309.832 7.78537 0.01 1 72 0
285 308.914 8.1947 0.01 1 72 0
315 303.48 8.09485 0.01 1 46 0
319 310.799 7.80647 0.01 1 72 0
340 302.28 8.09485 0.01 1 46 0
342 303.48 8.18531 0.01 1 46 0
353 309.523 7.61289 0.01 1 72 0
366 305.491 7.7029 0.01 1 45 0
400 309.814 8.24221 0.01 1 72 0
442 306.633 7.86967 0.01 1 72 0
462 306.878 8.16951 0.01 1 72 0
487 310.675 7.80708 0.01 1 72 9.68575e-06
523 307.278 7.99204 0.01 1 72 0
524 303.48 8.09485 0.01 1 45 0
536 303.48 8.09485 0.01 1 44 0
537 303.48 8.09485 0.01 1 45 0
541 303.48 8.09485 0.01 1 46 0
545 312.149 7.82635 0.01 1 93 0
560 310.675 7.83025 0.01 1 72 0
578 312.134 7.82635 0.01 1 92 0
591 303.48 8.15899 0.01 1 46 0
604 307.827 8.0465 0.01 1 72 0
605 309.775 7.7185 0.01 1 72 0
607 312.134 7.91085 0.01 1 92 0
612 309.597 7.79839 0.01 1 72 0
620 305.491 7.7029 0.01 1 45 0
621 303.48 8.14223 0.01 1 46 0
657 303.48 8.14004 0.01 1 46 0
668 309.775 7.7185 0.01 1 72 0
710 310.329 7.93988 0.01 1 72 0
742 312.134 7.82635 0.01 1 94 0
836 305.491 7.7029 0.01 1 45 0
842 308.745 8.18794 0.01 1 72 0
845 312.134 7.82635 0.01 1 94 0
913 312.134 8.06433 0.01 1 93 0
946 303.447 8.09485 0.01 1 46 0
979 303.48 8.09485 0.01 1 44 0
999 303.48 8.09485 0.01 1 46 0
1017 309.597 7.79839 0.01 1 72 0
1034 303.447 8.09485 0.01 1 46 0
1040 303.48 8.09485 0.01 1 46 0
1050 306.362 7.98425 0.01 1 72 0
1053 308.409 8.31613 0.01 1 72 0
1055 311.971 7.91085 0.01 1 93 0
1074 303.48 8.03659 0.01 1 45 0
1075 307.278 7.99204 0.01 1 72 0
1098 303.48 8.09485 0.01 1 45 0
1103 311.971 7.91085 0.01 1 93 0
1131 311.971 7.91085 0.01 1 93 0
1137 308.17 8.39815 0.01 1 72 0
1151 314.055 7.89643 0.01 1 92 0
1171 308.906 8.10113 0.01 1 72 0
1201 303.48 8.09485 0.01 1 45 0
1210 303.48 8.09485 0.01 1 45 0
1222 309.832 7.85082 0.01 1 72 0
1239 303.48 8.09485 0.01 1 46 0
1243 303.356 8.22747 0.01 1 46 0
1261 312.134 7.89643 0.01 1 92 0
1270 306.346 7.8958 0.01 1 72 0
1395 308.52 7.96485 0.01 1 72 0
1419 308.516 8.20898 0.01 1 72 0
1495 305.482 8.09485 0.01 1 46 0
1526 303.48 8.09485 0.01 1 45 0
1529 311.971 7.91085 0.01 1 93 0
1536 303.48 8.09485 0.01 1 46 0
1553 303.48 8.09485 0.01 1 46 0
1599 303.48 8.2018 0.01 1 46 0
1607 312.674 7.89643 0.01 1 92 0
1621 312.134 7.89643 0.01 1 92 0
1625 303.48 8.09485 0.01 1 46 0
1662 312.149 7.82635 0.01 1 92 0
1667 303.48 8.03659 0.01 1 46 0
1674 303.48 8.09485 0.01 1 45 0
1679 303.48 8.14223 0.01 1 46 0
1712 311.971 7.91085 0.01 1 93 0
1726 308.651 7.91684 0.01 1 72 0
1769 303.48 8.09485 0.01 1 45 0
1800 311.971 7.91085 0.01 1 93 0
1809 311.971 7.91085 0.01 1 93 0
1838 310.477 8.18863 0.01 1 72 0
1845 303.553 8.14004 0.01 1 46 0
1859 303.48 8.09485 0.01 1 46 0
1861 303.48 8.09485 0.01 1 45 0
1885 303.48 8.09485 0.01 1 46 0
1928 303.447 8.09485 0.01 1 46 0
1937 310.227 7.91085 0.01 1 94 -0.0260871
1971 303.48 8.03659 0.01 1 45 0
2032 303.48 8.14223 0.01 1 46 0
2077 305.491 7.7029 0.01 1 46 0
2115 302.985 8.09485 0.01 1 46 0.00728087
2121 303.48 8.43234 0.01 1 46 0
2130 303.48 8.09485 0.01 1 46 0
2137 308.962 7.97962 0.01 1 72 0
2153 308.409 8.31613 0.01 1 72 0
2162 314.055 7.89643 0.01 1 92 0
2181 303.48 8.09485 0.01 1 46 0
2197 303.48 8.14223 0.01 1 46 0
2211 306.038 7.60374 0.01 1 44 0
2238 311.847 7.97247 0.01 1 92 0
2244 303.48 8.14223 0.01 1 45 0
2260 303.48 8.09485 0.01 1 44 0
2284 303.48 8.14223 0.01 1 45 0
2294 312.081 7.91085 0.01 1 92 0
2303 303.48 8.18531 0.01 1 46 0
2341 303.48 8.09485 0.01 1 46 0
2349 305.491 7.7029 0.01 1 45 0
2351 303.48 8.09485 0.01 1 46 0
2353 309.775 7.7185 0.01 1 72 0
2376 303.48 8.09485 0.01 1 44 0
2389 309.109 7.96381 0.01 1 72 0
2405 303.48 8.09485 0.01 1 45 0
2413 308.651 7.92051 0.01 1 72 0
2430 307.827 7.833 0.01 1 72 0
2466 309.597 7.79839 0.01 1 72 0
2474 310.104 7.52543 0.01 1 72 0
2495 312.134 7.82635 0.01 1 92 0
2503 303.48 8.14004 0.01 1 46 0
2504 312.081 7.91085 0.01 1 92 0
2513 308.013 7.51863 0.01 1 72 0
2529 310.675 7.83025 0.01 1 72 0
2534 314.055 8.03334 0.01 1 92 0
2548 310.334 7.75528 0.01 1 72 0
2579 311.847 7.97247 0.01 1 92 0
2596 310.675 7.66549 0.01 1 72 0
2660 307.827 7.833 0.01 1 72 0
2733 303.48 8.09485 0.01 1 45 0
2736 306.633 7.86967 0.01 1 72 0
2773 312.149 7.82635 0.01 1 92 0
2786 303.447 8.09485 0.01 1 46 0
2787 306.263 7.7029 0.01 1 46 0.00784283
2806 303.48 8.18531 0.01 1 46 0
2826 308.651 7.91684 0.01 1 72 0
2833 307.827 8.08396 0.01 1 72 0
2840 307.043 8.02717 0.01 1 72 0
2847 311.847 7.94321 0.01 1 92 0
2891 303.48 8.09485 0.01 1 46 0
2895 303.356 8.22747 0.01 1 46 0
2930 312.134 7.91085 0.01 1 92 0
2970 303.48 8.09485 0.01 1 46 0
3005 303.48 8.09485 0.01 1 46 0
3060 310.675 7.79862 0.01 1 72 0
3092 308.651 7.92051 0.01 1 72 0
3103 303.48 8.09485 0.01 1 45 0
3110 303.48 8.09485 0.01 1 46 0
3120 311.267 8.06433 0.01 1 92 0
3121 303.48 8.09485 0.01 1 46 0
3152 308.914 8.1947 0.01 1 72 0
3166 303.48 8.14223 0.01 1 45 0
3173 311.971 7.91085 0.01 1 94 0
3195 309.029 7.75629 0.01 1 72 0
3198 309.029 7.75629 0.01 1 72 0
3209 303.48 8.09485 0.01 1 45 0
3212 310.264 7.75528 0.01 1 72 0
3229 307.974 8.02717 0.01 1 72 0
3236 306.83 7.97928 0.01 1 72 4.43459e-05
3239 303.48 8.09485 0.01 1 46 0
3250 311.971 7.91085 0.01 1 93 0
3268 310.264 7.75528 0.01 1 72 0
3280 303.48 8.09485 0.01 1 46 0
3318 303.48 8.09485 0.01 1 46 0
3336 302.849 7.81194 0.01 1 46 0
3356 311.971 7.91085 0.01 1 93 0
3357 306.878 8.16951 0.01 1 72 0
3391 303.48 8.18531 0.01 1 46 0
3401 303.48 8.09485 0.01 1 46 0
3426 309.832 7.85082 0.01 1 72 0
3448 303.48 8.11094 0.01 1 46 0
3469 308.516 8.20898 0.01 1 72 0
3500 312.149 7.82635 0.01 1 92 0
3510 312.149 7.82635 0.01 1 92 0
3519 307.907 7.85418 0.01 1 72 0
3527 307.639 7.66994 0.01 1 72 0
3619 303.48 8.14223 0.01 1 46 0
3628 312.674 7.89643 0.01 1 92 0
3639 305.491 7.7029 0.01 1 46 0
3640 308.914 8.1947 0.01 1 72 0
3646 304.739 8.14223 0.01 1 46 -0.0186087
3649 303.48 8.09485 0.01 1 46 0
3666 312.134 8.03722 0.01 1 92 0
3677 310.104 7.46451 0.01 1 72 0
3691 311.847 7.96074 0.01 1 93 0
3699 309.775 7.7185 0.01 1 72 0
3705 311.971 7.91085 0.01 1 93 0
3725 303.48 8.09485 0.01 1 46 0
3741 309.597 7.79839 0.01 1 72 0
3771 311.847 7.91085 0.01 1 92 0
3785 303.48 8.09485 0.01 1 46 0
3793 308.013 7.51863 0.01 1 72 0
3822 303.447 8.09485 0.01 1 46 0
