 time_step hot_growth q_25_hot_br_growth q_75_hot_br_growth hot_wr_growth q_25_hot_wr_growth q_75_hot_wr_growth cold_growth q_25_cold_br_growth q_75_cold_br_growth cold_wr_growth q_25_cold_wr_growth q_75_cold_wr_growth
0 2000.0 0.1303202798299592 0.13004359331230922 0.13042864527997533 1.4772784173610305e-05 1.1728099798544161e-05 1.8459351177804068e-05 0.13938560602989952 0.13920629866452616 0.13956528521229938 1.217397354455507e-05 1.01926383653572e-05 1.681242806302404e-05
1 2002.0 0.1303202798299592 0.13008244675246033 0.13042321500447793 1.4221895293905835e-05 1.209286013638468e-05 1.9349335469767383e-05 0.139391974667473 0.13920359076190847 0.13957506112035348 1.2462098271556754e-05 1.0218691302470288e-05 1.662631966255425e-05
2 2004.0 0.13012927738211533 0.12983117574117325 0.1303787284752655 1.4644989312162598e-05 1.1331096688190634e-05 1.89489332161784e-05 0.13952795646392602 0.13928294935774566 0.1398353887467571 1.2387014927286436e-05 9.72837248026213e-06 1.674852441801394e-05
3 2006.0 0.12992077688828377 0.12950930198966426 0.1301977780680086 1.4962477244653776e-05 1.1515084083912258e-05 1.9712960549376547e-05 0.13989134970350833 0.13954745290865372 0.140191090884293 1.2705823622171223e-05 9.888918292545707e-06 1.7210819511183733e-05
4 2008.0 0.1297471864404904 0.12934727021789458 0.13013506857043788 1.4811264577989174e-05 1.1352943478623038e-05 2.0075136184839495e-05 0.13996496326245228 0.13958377006304226 0.14020589762010255 1.3109145984027182e-05 9.921629191891988e-06 1.7554974607881945e-05
5 2010.0 0.1296325804548729 0.12930550545822783 0.13008273116736643 1.471506888716239e-05 1.1472233887765288e-05 2.034495669033056e-05 0.1400401539969781 0.1396018413201764 0.1402372422888491 1.2878925683078919e-05 1.047126564256617e-05 1.76678930558802e-05
6 2012.0 0.12957183942354009 0.12915164678788488 0.130080584543586 1.6210962050840626e-05 1.197548083301327e-05 2.080587961342687e-05 0.14002272965811752 0.13963584578439306 0.14024860410636786 1.3337888480361678e-05 1.0507350392878178e-05 1.793752396034693e-05
7 2014.0 0.1295341169419602 0.12908718650963869 0.13003459174554693 1.719808919627589e-05 1.1855370494883072e-05 2.1148515841735427e-05 0.14002215644634985 0.13963909682448572 0.1403004511595916 1.3624278109755142e-05 1.0491300787738641e-05 1.751704872558304e-05
8 2016.0 0.12941313156086307 0.12902701911434278 0.1299389395612811 1.7555903295361084e-05 1.1842196131977775e-05 2.109575036610929e-05 0.1400676146545495 0.13963511001099288 0.14029482311517905 1.384372213779875e-05 1.0774975734964479e-05 1.7657170174850208e-05
9 2018.0 0.12940616323835136 0.1288670932678715 0.12989346940212018 1.6816049933469085e-05 1.1922999261944613e-05 2.1881886836955572e-05 0.1400401539969781 0.13958249587106147 0.14029231960118527 1.402905732814599e-05 1.1072417625758725e-05 1.8436679101619425e-05
10 2020.0 0.12929294672153624 0.1288291098465742 0.12978758137865756 1.7556783919416705e-05 1.2777081728111537e-05 2.2689083668071406e-05 0.14005046741977795 0.13962933298677183 0.14036124924924154 1.4675218224145573e-05 1.0846777051255993e-05 1.880149247294653e-05
11 2022.0 0.12916239779163205 0.12857737238033518 0.12954718667649145 1.788702081766806e-05 1.3468214025731686e-05 2.3328112478046135e-05 0.14009093243154458 0.13974662601565352 0.1404798827407196 1.4741342704166657e-05 1.1108433280164198e-05 2.155711691902786e-05
12 2024.0 0.12897301138955242 0.12814903380862686 0.1294678034899398 1.941522698156486e-05 1.328727215600966e-05 2.4493702622729317e-05 0.14009093243154458 0.1397676342376992 0.14070705273191964 1.6464276309872464e-05 1.1866710944332701e-05 2.2260881114637145e-05
13 2026.0 0.12879714997836317 0.12777366571391302 0.1292949245796077 1.9646292197192153e-05 1.4058214084607492e-05 2.5681566823656852e-05 0.1401949986638767 0.1397782710978669 0.14078871360381479 1.6817222269347657e-05 1.1612079795298539e-05 2.2549362179255015e-05
14 2028.0 0.12856518858613064 0.12773858936797622 0.1291467966744998 2.0515395659125776e-05 1.4089383730124038e-05 2.7906210806376885e-05 0.14031525974889808 0.1397757954327356 0.14088087296030669 1.7209996508098922e-05 1.2579863267215446e-05 2.2537708002364084e-05
15 2030.0 0.12822933532469105 0.12727394605694353 0.12893880853650172 2.0271491116480443e-05 1.4064985630208072e-05 2.9380510180658374e-05 0.14031320632912597 0.13976687308821373 0.1408858953993882 1.817623634081583e-05 1.3149016889263624e-05 2.255811899220873e-05
16 2032.0 0.1281207608968698 0.12707201028105633 0.12895121443983346 2.0387158572074962e-05 1.3945948170173426e-05 3.198427806969255e-05 0.14021978952739442 0.13966738945833923 0.14093241218987052 1.789580945724467e-05 1.410717374736618e-05 2.400250526805328e-05
17 2034.0 0.12807436337347228 0.12701510509007685 0.12859181642854633 2.0894912600670723e-05 1.4063079893676145e-05 3.255107696332984e-05 0.1401587806852643 0.1394549010205709 0.14097496441732676 1.920926044056617e-05 1.463606462966349e-05 2.445652516601347e-05
18 2036.0 0.12783112005575437 0.12684736814550404 0.1284865144179328 2.1484971239789233e-05 1.5034047938523277e-05 3.0413860630713913e-05 0.1401587806852643 0.13931028752654748 0.14098442586961846 1.9183387554564523e-05 1.5540468403884165e-05 2.428890260095483e-05
19 2038.0 0.12761900512490001 0.12659415260115872 0.1283204163503324 2.064818627514522e-05 1.5093097077011263e-05 3.0813992917025555e-05 0.14020226995438662 0.1392478630874932 0.14099186065452096 1.9675538060471883e-05 1.5079399291156751e-05 2.4502753560759186e-05
20 2040.0 0.12744458125555094 0.1264658740632595 0.12805649201883257 2.0990342977972744e-05 1.4965594098028761e-05 3.1085088710737044e-05 0.14020226995438662 0.13919113660526494 0.1410117885919594 2.044713171100816e-05 1.5301375175963892e-05 2.5356177934836535e-05
