max_pf 113 min_pf 16
individual T0 sigma disp_rate r0 patch_no mut_eff
24 297.039 8.04258 0.01 1 16 0
29 308.153 8.10011 0.01 1 72 7.64877e-05
37 310.762 8.52572 0.01 1 72 -7.89165e-05
54 309.399 8.01999 0.01 1 72 0
128 311.087 8.10863 0.01 1 72 0
169 295.512 8.01467 0.01 1 18 0
201 307.48 8.30587 0.01 1 72 0
236 296.465 8.01467 0.01 1 17 0
302 297.116 8.06714 0.01 1 18 0
377 295.253 8.01467 0.01 1 18 0
535 307.266 8.30587 0.01 1 72 0
550 308.705 7.85301 0.01 1 72 0
574 307.266 8.30587 0.01 1 72 0
623 297.116 8.01467 0.01 1 18 0
682 309.152 8.08783 0.01 1 72 0
686 308.82 8.02194 0.01 1 72 0
705 295.253 8.05826 0.01 1 18 0.000752404
748 306.066 8.37803 0.01 1 72 0.000396416
771 295.512 8.06633 0.01 1 18 0.000902686
927 324.708 8.26392 0.01 1 111 0
1157 296.465 8.01467 0.01 1 16 0
1167 309.105 7.84733 0.01 1 72 0
1176 310.352 8.52966 0.01 1 72 -0.00172037
1351 297.057 8.01028 0.01 1 17 0
1459 308.754 8.55119 0.01 1 72 0
1577 297.116 8.01467 0.01 1 18 0
1591 308.705 7.85301 0.01 1 72 0
1642 296.028 8.01467 0.01 1 17 0
1706 309.152 8.08783 0.01 1 72 0
1773 308.82 8.21788 0.01 1 72 0
1797 297.116 8.01467 0.01 1 18 0
1799 306.799 8.73449 0.01 1 72 0
1850 297.116 8.01467 0.01 1 18 0
1890 307.025 8.30587 0.01 1 72 0
2123 310.645 7.65107 0.01 1 72 0
2133 297.039 8.04258 0.01 1 18 0
2139 297.057 8.01028 0.01 1 17 0
2216 311.496 7.8892 0.01 1 72 0
2235 295.087 8.01467 0.01 1 18 0
2450 295.253 8.01467 0.01 1 18 0
2525 296.403 8.01467 0.01 1 18 0.00645849
2527 296.465 7.93695 0.01 1 17 0
2553 309.415 8.4462 0.01 1 72 0
2635 310.508 8.4462 0.01 1 72 0
2672 309.654 8.01784 0.01 1 72 0
2824 308.754 8.55119 0.01 1 72 0
2828 297.116 7.89704 0.01 1 18 0
2963 297.176 8.04258 0.01 1 16 0
3008 297.116 8.01467 0.01 1 18 0
3084 295.512 8.0972 0.01 1 18 0
3218 310.455 8.05813 0.01 1 72 0
3266 311.266 8.11686 0.01 1 72 0
3272 310.642 8.25336 0.01 1 72 0
3289 310.508 8.4462 0.01 1 72 0
3378 296.465 8.01467 0.01 1 18 0
3431 297.116 7.89704 0.01 1 18 0
3438 322.792 8.26392 0.01 1 111 0
3474 305.85 8.39989 0.01 1 72 0
3527 310.762 8.60787 0.01 1 72 0
3631 325.119 8.26392 0.01 1 111 0
3671 310.448 8.15294 0.01 1 72 0
3676 322.792 8.14884 0.01 1 111 0
3717 296.827 7.97154 0.01 1 18 0
3776 295.253 8.01467 0.01 1 18 0
3956 322.792 8.26392 0.01 1 113 0
4053 295.512 8.01467 0.01 1 18 0
4170 295.652 8.01467 0.01 1 18 0
4256 307.486 8.20356 0.01 1 72 0
4266 295.253 8.01467 0.01 1 18 0
4295 296.465 8.01467 0.01 1 17 0
4341 309.152 8.20432 0.01 1 72 9.83477e-07
4431 294.216 8.01467 0.01 1 18 0
4455 309.415 8.4462 0.01 1 72 0
4458 296.465 8.01467 0.01 1 18 0
4585 308.175 8.14611 0.01 1 72 0
4637 324.708 8.26392 0.01 1 111 0
4639 309.548 8.60787 0.01 1 72 0
4701 297.116 8.01467 0.01 1 18 0
