 time_step hot_sigma q_25_hot_br_sigma q_75_hot_br_sigma hot_wr_sigma q_25_hot_wr_sigma q_75_hot_wr_sigma cold_sigma q_25_cold_br_sigma q_75_cold_br_sigma cold_wr_sigma q_25_cold_wr_sigma q_75_cold_wr_sigma
15 2030.0 8.00537 7.947745 8.06935 0.03330886488554811 0.02416673458355144 0.04738556099666407 8.01047 7.971175000000001 8.06629 0.02970858310027082 0.022502433999684067 0.03699938835316113
16 2032.0 8.00537 7.951035 8.066815 0.03305379880420488 0.024464301692113152 0.04623039961445761 8.01183 7.96362 8.068785 0.030087180475960776 0.02172933478908177 0.03667290213923002
17 2034.0 8.00959 7.950570000000001 8.070875000000001 0.032515409796321594 0.023830516491436776 0.045772750446771274 8.01047 7.95641 8.068785 0.02947431040599431 0.021729838851870208 0.036842230602226744
18 2036.0 8.00959 7.947570000000001 8.071195 0.03267121907272752 0.02281606808609992 0.0457492849367592 8.00143 7.959384999999999 8.070454999999999 0.02973424164316766 0.020765461231393577 0.037656379082009785
19 2038.0 7.99896 7.945685 8.07454 0.0327864024158429 0.023604867984102093 0.04596370581804615 8.01047 7.95852 8.07489 0.029194894916837695 0.02065458718081896 0.036748773984167454
20 2040.0 7.99897 7.944165 8.0766 0.03257570416982473 0.02286867546662039 0.045952821646987954 8.00143 7.95674 8.073765 0.029245027838406153 0.01990179802100006 0.03571663459446586
21 2042.0 7.99897 7.945685 8.07454 0.03245801409950141 0.022905321084558887 0.046858512796942274 8.00177 7.95674 8.07194 0.026855844553517215 0.01936270704524136 0.03615402645148125
22 2044.0 8.00959 7.945685 8.078255 0.03274935880754729 0.022792190499954443 0.04729106000460524 7.99717 7.959965 8.073875 0.025590789422204007 0.018433167659286945 0.03706039387834631
23 2046.0 8.00959 7.93809 8.08268 0.032602063999047894 0.022276914375207034 0.050290333520368685 8.01582 7.9556000000000004 8.072925 0.02513986574746833 0.017582342751456134 0.037343986895393914
24 2048.0 8.0107 7.946125 8.094245 0.032119795454341994 0.022059008251513818 0.048829485447380055 8.01047 7.9556000000000004 8.077079999999999 0.024881379169327793 0.01747555729710492 0.038311709370056755
25 2050.0 8.0119 7.945685 8.0959675 0.0314008789031236 0.022059509361834904 0.04993285154879329 8.01088 7.95641 8.07906 0.024599189114011648 0.017166503823740128 0.03868477843740817
26 2052.0 8.01857 7.945685 8.089680000000001 0.028857632494605132 0.02151125746971702 0.049806959485773364 8.0161 7.953445 8.08057 0.02388176173637186 0.017108124543090915 0.037710680321806356
27 2054.0 8.01491 7.93938 8.085795000000001 0.02946986826687261 0.02081923379865608 0.0468099487401205 8.01047 7.95641 8.08056 0.02318866240222204 0.015804922925698343 0.035433692513992796
