max_pf 90 min_pf 51
individual T0 sigma disp_rate r0 patch_no mut_eff
0 305.475 8.03074 0.01 1 53 0
11 308.854 7.89009 0.01 1 72 0
13 310.355 8.1269 0.01 1 72 0
16 307.646 8.22563 0.01 1 72 0
17 305.475 8.03074 0.01 1 53 0
38 313.207 8.02696 0.01 1 89 0
42 313.207 8.02696 0.01 1 89 0
55 309.191 8.01695 0.01 1 72 0
85 307.194 8.06993 0.01 1 72 0
96 304.783 8.03074 0.01 1 53 0
105 310.355 8.20148 0.01 1 72 0
113 313.207 7.88169 0.01 1 88 0
138 305.475 8.17636 0.01 1 52 0
155 312.122 8.03096 0.01 1 90 0
156 312.122 8.02696 0.01 1 90 0
212 308.651 7.92795 0.01 1 72 0
285 304.453 8.23392 0.01 1 53 0
332 312.828 8.02696 0.01 1 88 0
334 305.475 8.02632 0.01 1 52 0
335 305.475 8.03074 0.01 1 53 0
357 308.751 7.96911 0.01 1 72 0
366 313.207 7.88169 0.01 1 89 0
376 305.475 8.03074 0.01 1 53 0
381 312.122 8.03096 0.01 1 90 0
384 309.469 8.01489 0.01 1 72 0
392 305.475 8.17636 0.01 1 53 0
395 312.122 8.02696 0.01 1 89 0
443 310.64 8.03261 0.01 1 72 0
447 305.475 8.03074 0.01 1 53 0
454 313.207 7.88169 0.01 1 88 0
469 303.471 8.06319 0.01 1 53 0
474 305.475 8.02924 0.01 1 51 0
488 309.469 7.96886 0.01 1 72 0
489 305.475 8.17636 0.01 1 53 0
497 312.122 8.02696 0.01 1 88 0
527 305.475 8.03074 0.01 1 53 0
541 305.596 8.03074 0.01 1 53 0
543 313.207 8.02696 0.01 1 88 0
569 309.191 8.05269 0.01 1 72 0
570 309.038 8.14145 0.01 1 72 0
581 307.319 8.13631 0.01 1 72 0
583 305.475 8.03074 0.01 1 52 0
608 312.122 7.87254 0.01 1 88 0
642 305.475 8.03074 0.01 1 53 0
655 310.186 7.78398 0.01 1 72 0
659 307.646 8.22563 0.01 1 72 0
664 304.453 8.07221 0.01 1 53 0
683 305.475 8.03074 0.01 1 51 0
688 305.475 8.02632 0.01 1 53 0
690 312.122 8.02696 0.01 1 88 0
694 312.828 8.02696 0.01 1 88 0
696 305.475 8.02924 0.01 1 52 0
703 306.522 8.1319 0.01 1 72 0
717 305.475 8.02924 0.01 1 53 0
723 305.475 8.03074 0.01 1 52 0
735 311.349 8.02696 0.01 1 90 0
738 312.122 8.02696 0.01 1 89 0
761 305.475 8.03074 0.01 1 53 0
766 312.122 8.02696 0.01 1 88 0
772 309.469 8.01489 0.01 1 72 0
776 313.207 8.02696 0.01 1 88 0
781 312.122 8.02696 0.01 1 89 0
787 313.207 8.02696 0.01 1 90 0
821 313.207 8.02696 0.01 1 88 0
824 305.475 7.98338 0.01 1 53 0
825 305.475 8.17636 0.01 1 53 0
861 305.475 8.03074 0.01 1 52 0
871 307.115 8.09695 0.01 1 72 0
872 305.099 8.07221 0.01 1 53 0
875 312.122 8.02696 0.01 1 88 0
890 312.122 8.02696 0.01 1 88 0
899 305.475 8.03074 0.01 1 52 0
902 305.475 8.17636 0.01 1 53 0
907 307.718 8.15139 0.01 1 72 0
908 309.447 8.11072 0.01 1 72 0
919 309.469 8.16161 0.01 1 72 0
937 305.475 8.03074 0.01 1 53 0
940 307.432 7.9225 0.01 1 72 0
942 305.475 7.99507 0.01 1 53 -0.00037244
943 304.453 8.06319 0.01 1 53 0
944 312.122 8.02696 0.01 1 90 0
947 312.122 8.02696 0.01 1 88 0
953 305.475 8.03074 0.01 1 53 0
959 310.838 7.88119 0.01 1 72 0
970 312.1 8.01637 0.01 1 88 0
979 310.355 8.20148 0.01 1 72 0
980 313.207 8.02696 0.01 1 90 0
1005 312.122 8.02696 0.01 1 89 0
1014 313.466 7.88169 0.01 1 88 0.00272356
1018 312.1 8.01637 0.01 1 89 0
1029 307.802 8.04485 0.01 1 72 0
1044 308.751 8.07338 0.01 1 72 0
1057 312.828 8.16082 0.01 1 90 0
1060 305.475 8.02632 0.01 1 53 0
1062 305.475 8.17636 0.01 1 53 0
1072 306.522 8.1319 0.01 1 72 0
1082 309.038 8.14145 0.01 1 72 0
1102 312.1 8.01637 0.01 1 89 0
1109 305.475 8.03074 0.01 1 52 0
1125 310.838 7.88119 0.01 1 72 0
1127 307.115 8.09695 0.01 1 72 0
1131 312.1 8.01637 0.01 1 88 0
1141 312.122 8.02696 0.01 1 88 0
1142 309.443 8.25235 0.01 1 72 0
1143 309.946 8.20412 0.01 1 72 0
1146 309.769 8.17031 0.01 1 72 -0.000470176
1151 305.475 8.02632 0.01 1 52 0
1159 313.207 8.02696 0.01 1 90 0
1186 312.122 8.02696 0.01 1 89 0
1246 305.475 8.03074 0.01 1 53 0
1250 313.207 7.88169 0.01 1 88 0
1252 305.475 8.17636 0.01 1 51 0
1302 305.475 8.03074 0.01 1 53 0
1309 304.453 8.06319 0.01 1 53 0
1310 310.763 7.82149 0.01 1 72 0
1313 305.475 8.02632 0.01 1 52 0
1318 312.122 8.02696 0.01 1 90 0
1320 311.053 8.0709 0.01 1 72 0
1323 310.181 8.29771 0.01 1 72 0
1343 308.751 7.96911 0.01 1 72 0
1366 306.727 8.01933 0.01 1 72 0
1376 310.495 7.89009 0.01 1 72 0
1387 305.475 8.03074 0.01 1 53 0
1410 307.967 8.06993 0.01 1 72 0
1411 308.748 8.20319 0.01 1 72 0
1431 305.475 8.06319 0.01 1 53 0
1460 312.122 8.02696 0.01 1 89 0
1470 312.413 8.02696 0.01 1 89 0
1484 305.475 8.02924 0.01 1 52 0
1532 304.32 8.03074 0.01 1 53 0.0152824
1545 307.115 8.09695 0.01 1 72 0
1560 312.122 8.02696 0.01 1 89 0
1567 309.943 8.18261 0.01 1 72 0
1611 307.577 8.14147 0.01 1 72 0
1617 305.475 8.03074 0.01 1 52 0
1619 308.854 7.89009 0.01 1 72 0
1622 312.128 8.02696 0.01 1 89 -0.00890476
1623 312.122 7.90693 0.01 1 88 0
1645 313.207 8.02696 0.01 1 88 0
1681 305.475 8.03074 0.01 1 52 0
1685 305.475 7.98539 0.01 1 53 -0.000416294
1712 304.245 8.09957 0.01 1 72 0
1737 305.475 8.03074 0.01 1 53 0
1748 305.475 8.02632 0.01 1 53 0
1749 312.122 8.02696 0.01 1 89 0
1757 312.122 8.02696 0.01 1 88 0
1768 304.453 8.23392 0.01 1 53 0
1774 310.355 8.20148 0.01 1 72 0
1775 304.453 8.06319 0.01 1 53 0
1822 309.843 7.8061 0.01 1 72 0
1839 312.122 7.96186 0.01 1 89 0
1858 305.475 8.02632 0.01 1 53 0
1894 305.475 8.03074 0.01 1 53 0
1901 310.495 7.89009 0.01 1 72 0
1902 310.186 8.06681 0.01 1 72 0
1908 307.646 8.30498 0.01 1 72 0
1909 307.347 8.42631 0.01 1 72 0
1922 307.84 7.98853 0.01 1 72 0
1925 314.819 8.02696 0.01 1 88 0
1926 310.355 8.20148 0.01 1 72 0
1942 309.038 8.14145 0.01 1 72 0
1943 305.475 8.02924 0.01 1 53 0
1951 312.828 8.02696 0.01 1 89 0
1962 312.122 7.8952 0.01 1 88 -0.00102347
1977 309.191 8.05269 0.01 1 72 0
2011 312.122 8.02696 0.01 1 88 0
2047 305.475 8.03074 0.01 1 53 0
2050 305.475 8.03074 0.01 1 53 0
2102 309.191 8.05269 0.01 1 72 0
2104 310.207 8.20148 0.01 1 72 0
2105 307.646 8.22563 0.01 1 72 0
2121 305.475 8.02924 0.01 1 52 0
2126 312.04 8.03096 0.01 1 90 -0.0011474
2133 305.475 8.03074 0.01 1 52 0
2148 308.367 8.16809 0.01 1 72 0
2175 306.073 7.91237 0.01 1 53 0
2178 304.453 8.06319 0.01 1 53 0
2190 305.475 8.02632 0.01 1 52 0
2195 305.475 8.03074 0.01 1 53 0
2201 313.207 7.95116 0.01 1 89 -0.000471219
2209 305.475 8.03074 0.01 1 52 0
2217 305.475 8.03074 0.01 1 53 0
2218 310.186 7.78398 0.01 1 72 0
2222 309.191 8.05269 0.01 1 72 0
2227 305.475 8.02924 0.01 1 51 0
2230 305.475 8.02924 0.01 1 53 0
2239 307.199 8.22752 0.01 1 72 0
2252 313.207 7.88169 0.01 1 88 0
2256 305.475 8.03074 0.01 1 53 0
2266 312.122 8.02696 0.01 1 88 0
2277 309.278 8.26798 0.01 1 72 0
2295 310.355 8.20148 0.01 1 72 0
2304 305.475 8.03074 0.01 1 53 0
2308 310.882 8.02696 0.01 1 89 0
2309 310.084 8.02094 0.01 1 72 0
2313 312.862 8.02696 0.01 1 88 0
2318 305.475 8.06319 0.01 1 53 0
2338 309.191 8.05269 0.01 1 72 0
