max_pf 84 min_pf 58
individual T0 sigma disp_rate r0 patch_no mut_eff
4 309.725 8.25876 0.01 1 72 0
5 307.486 8.19297 0.01 1 72 0
6 309.705 8.32672 0.01 1 60 0
7 308.018 8.38492 0.01 1 59 0
26 311.712 8.1348 0.01 1 82 0
36 308.696 8.34655 0.01 1 72 0
39 308.018 8.32672 0.01 1 59 0
46 308.018 8.32672 0.01 1 60 0
53 308.03 8.17435 0.01 1 72 0
67 311.712 8.1348 0.01 1 82 0
86 305.879 8.32672 0.01 1 60 0
98 312.738 8.22285 0.01 1 82 0
101 308.018 8.29892 0.01 1 59 0
118 308.694 8.01411 0.01 1 72 0
119 308.018 8.32672 0.01 1 60 0
128 309.177 8.15773 0.01 1 59 0
130 309.461 7.90938 0.01 1 72 0
158 308.018 8.32672 0.01 1 59 0
165 307.472 7.93346 0.01 1 72 0
167 311.712 8.1348 0.01 1 82 0
175 307.409 8.32672 0.01 1 60 0
176 306.963 8.32672 0.01 1 60 0
183 305.918 7.9525 0.01 1 72 9.14931e-05
192 306.963 8.2918 0.01 1 60 0
193 307.915 8.10053 0.01 1 72 0
194 309.725 8.01343 0.01 1 72 0
198 306.692 8.32672 0.01 1 58 0
199 308.018 8.02664 0.01 1 59 0
211 314.016 8.1348 0.01 1 83 0
214 310.645 7.91091 0.01 1 72 0
229 309.423 8.1807 0.01 1 72 0
232 314.016 8.20891 0.01 1 84 0
233 312.738 8.12152 0.01 1 82 0
235 308.728 7.91379 0.01 1 72 0
238 314.55 8.12152 0.01 1 82 0
245 308.018 8.32672 0.01 1 59 0
263 308.018 8.32672 0.01 1 60 0
272 311.712 8.1348 0.01 1 82 0
297 314.016 8.20891 0.01 1 84 0
302 308.018 8.26825 0.01 1 60 -0.000426635
313 308.018 8.33543 0.01 1 72 0
325 308.018 8.32672 0.01 1 60 0
345 314.016 8.1348 0.01 1 82 0
347 309.7 7.83611 0.01 1 72 0
358 308.694 8.01411 0.01 1 72 0
362 308.018 8.29892 0.01 1 59 0
396 308.018 8.32672 0.01 1 59 0
398 310.645 7.91091 0.01 1 72 0
400 314.016 8.20891 0.01 1 84 0
410 308.018 8.32672 0.01 1 60 0
418 314.016 8.1348 0.01 1 83 0
426 308.018 8.32672 0.01 1 60 0
430 308.018 8.38492 0.01 1 59 0
431 315.133 8.12152 0.01 1 83 -0.00310373
442 314.016 8.1348 0.01 1 82 0
445 310.005 8.12771 0.01 1 72 0
468 308.018 8.32672 0.01 1 60 0
476 307.549 7.71868 0.01 1 72 0
486 310.17 7.92995 0.01 1 72 0
498 309.423 8.1807 0.01 1 72 0
501 309.625 8.40912 0.01 1 72 0
503 311.712 8.1348 0.01 1 82 0
505 314.016 8.1348 0.01 1 83 0
511 309.725 7.98006 0.01 1 72 0
512 308.018 8.32672 0.01 1 60 0
516 309.725 8.01661 0.01 1 72 6.55651e-07
517 314.016 8.1348 0.01 1 82 0
519 311.712 8.1348 0.01 1 82 0
522 311.548 8.24534 0.01 1 82 0
524 308.018 8.32672 0.01 1 60 0
530 311.712 8.1348 0.01 1 83 0
533 309.705 8.32672 0.01 1 59 0
535 312.738 8.12152 0.01 1 83 0
542 308.018 8.32672 0.01 1 60 0
549 308.018 8.38492 0.01 1 60 0
551 310.121 8.24534 0.01 1 82 0
554 308.694 8.01411 0.01 1 72 0
555 314.016 8.1348 0.01 1 83 0
558 308.018 8.32672 0.01 1 60 0
