max_pf 82 min_pf 60
individual T0 sigma disp_rate r0 patch_no mut_eff
1 310.116 8.10447 0.01 1 82 0
4 309.225 7.9764 0.01 1 72 0
9 308.286 7.80584 0.01 1 62 0
10 308.286 7.80584 0.01 1 60 0
16 311.408 7.98828 0.01 1 80 0
17 308.331 7.80584 0.01 1 61 -0.000587896
26 310.048 8.08727 0.01 1 81 0
28 309.016 8.20448 0.01 1 72 0
32 309.906 8.03503 0.01 1 81 0
42 310.116 8.03042 0.01 1 81 0
43 310.048 8.08727 0.01 1 81 0
45 308.286 7.77799 0.01 1 62 0
52 311.408 8.02794 0.01 1 81 0
57 308.286 7.80584 0.01 1 60 0
60 310.59 8.02794 0.01 1 80 0
68 310.59 8.02794 0.01 1 81 0
69 308.286 7.80584 0.01 1 61 0
73 307.699 8.0267 0.01 1 72 0
76 309.202 8.02794 0.01 1 81 0
90 309.982 8.03042 0.01 1 81 0
98 309.187 7.95461 0.01 1 72 0
99 308.835 8.01061 0.01 1 72 0
102 308.286 7.80584 0.01 1 62 0
104 309.95 8.03503 0.01 1 80 0
106 309.95 8.03503 0.01 1 81 0
122 308.286 7.80584 0.01 1 62 0
123 309.95 8.00906 0.01 1 72 0
124 308.286 7.80584 0.01 1 62 0
126 310.116 8.10447 0.01 1 82 0
128 309.202 7.77923 0.01 1 82 0
131 308.835 8.1355 0.01 1 72 0
132 308.286 7.80584 0.01 1 62 0
135 311.408 8.0096 0.01 1 81 0
143 308.699 7.96089 0.01 1 72 0
147 310.09 7.91662 0.01 1 72 0
148 311.408 8.02794 0.01 1 81 0
151 308.286 7.80584 0.01 1 62 0
156 310.59 8.02794 0.01 1 80 0
158 308.286 7.80584 0.01 1 62 0
160 310.048 8.08727 0.01 1 81 0
162 309.076 8.03503 0.01 1 82 0
166 307.699 8.0267 0.01 1 72 0
171 307.798 7.80584 0.01 1 61 0
179 309.187 7.95461 0.01 1 72 0
180 308.286 7.80584 0.01 1 62 0
183 308.781 7.90091 0.01 1 62 0
189 310.524 7.88324 0.01 1 80 0
190 310.048 8.08727 0.01 1 82 0
191 308.835 8.01061 0.01 1 72 0
193 311.408 8.02794 0.01 1 81 0
197 309.187 7.95461 0.01 1 72 0
201 308.286 7.80584 0.01 1 61 0
210 311.408 8.02794 0.01 1 81 0
222 309.95 8.03503 0.01 1 81 0
231 309.95 8.03503 0.01 1 82 0
233 306.958 8.14388 0.01 1 72 0
239 308.286 7.80584 0.01 1 61 0
243 309.418 7.9944 0.01 1 62 0
246 307.697 8.15975 0.01 1 72 0
251 311.531 8.16146 0.01 1 72 0
258 311.408 8.02794 0.01 1 81 0
271 308.286 7.80584 0.01 1 60 0
274 308.286 7.80584 0.01 1 62 0
300 309.497 8.25764 0.01 1 72 0
307 308.734 8.02381 0.01 1 72 0
311 311.408 8.02794 0.01 1 81 0
315 308.734 8.02381 0.01 1 72 0
322 312.175 8.03448 0.01 1 80 0
325 309.95 8.03503 0.01 1 81 0
330 310.09 7.91662 0.01 1 72 0
337 311.858 8.02858 0.01 1 72 0
339 308.033 7.80584 0.01 1 61 0
346 307.267 8.02699 0.01 1 72 0
354 308.286 7.80584 0.01 1 62 0
356 307.978 7.6956 0.01 1 60 -0.000948668
361 309.95 8.03503 0.01 1 82 0
367 309.95 8.03503 0.01 1 80 0
376 311.44 8.02794 0.01 1 80 0.000155091
378 308.286 7.80584 0.01 1 62 0
382 311.408 7.95354 0.01 1 80 -9.76473e-05
386 308.286 7.80584 0.01 1 61 0
388 311.408 8.02794 0.01 1 81 0
394 309.95 8.03503 0.01 1 80 0
398 310.59 8.02732 0.01 1 80 0
399 309.459 7.67151 0.01 1 80 0
401 309.95 8.03503 0.01 1 80 0
404 306.735 7.80584 0.01 1 62 0
405 308.286 7.80584 0.01 1 61 0
411 309.95 8.03503 0.01 1 80 0
426 308.286 7.80584 0.01 1 61 0
428 309.503 7.89756 0.01 1 72 0
443 309.187 8.10055 0.01 1 72 1.95205e-06
447 308.286 7.80584 0.01 1 61 0
451 310.09 7.91662 0.01 1 72 0
454 308.286 7.80584 0.01 1 62 0
455 309.95 8.03503 0.01 1 81 0
456 309.418 8.07559 0.01 1 62 0
458 308.286 7.80584 0.01 1 62 0
479 308.033 7.80584 0.01 1 61 0
480 309.503 7.89756 0.01 1 72 0
482 309.95 8.03503 0.01 1 80 0
488 308.286 7.80584 0.01 1 60 0
507 308.152 8.42692 0.01 1 72 0
510 308.286 7.80584 0.01 1 61 0
524 309.418 7.9944 0.01 1 62 0
527 311.408 8.02794 0.01 1 81 0
532 309.187 7.95461 0.01 1 72 0
533 311.408 8.02794 0.01 1 82 0
543 308.286 7.80584 0.01 1 61 0
550 308.286 7.80584 0.01 1 61 0
564 310.116 8.10447 0.01 1 82 0
567 308.286 7.80584 0.01 1 61 0
572 307.806 7.88508 0.01 1 72 0
573 308.286 7.80584 0.01 1 62 0
574 311.056 7.98828 0.01 1 80 0
581 309.225 7.9764 0.01 1 72 0
582 308.286 7.77799 0.01 1 62 0
583 308.562 7.80584 0.01 1 62 0
584 309.676 8.16199 0.01 1 72 0
590 310.917 7.89756 0.01 1 72 0
594 307.978 7.80584 0.01 1 60 0
595 309.202 8.02794 0.01 1 82 0
597 308.286 7.80584 0.01 1 61 0
601 309.202 8.02794 0.01 1 81 0
611 310.116 8.10447 0.01 1 82 0
626 309.95 8.03503 0.01 1 81 0
627 309.95 8.03503 0.01 1 80 0
632 310.048 8.08727 0.01 1 82 0
638 309.95 7.89574 0.01 1 80 0
639 306.901 7.80584 0.01 1 62 0
646 308.734 8.02381 0.01 1 72 0
674 311.408 8.02794 0.01 1 80 0
681 309.95 8.03503 0.01 1 81 0
697 312.175 8.03448 0.01 1 80 0
701 307.806 7.88508 0.01 1 72 0
702 311.408 8.02794 0.01 1 81 0
705 311.408 8.02794 0.01 1 81 0
716 308.286 7.80584 0.01 1 62 0
720 308.734 8.02381 0.01 1 72 0
722 310.288 8.25658 0.01 1 72 0
729 308.286 7.80584 0.01 1 61 0
730 310.612 8.02858 0.01 1 72 0
734 307.699 8.0267 0.01 1 72 0
751 308.286 7.80584 0.01 1 61 0
760 311.408 8.02794 0.01 1 80 0
768 308.286 7.80584 0.01 1 62 0
772 311.608 7.80584 0.01 1 61 0
777 308.286 7.80584 0.01 1 60 0
780 309.973 8.02596 0.01 1 72 0
781 307.758 8.55572 0.01 1 72 4.51058e-05
784 308.286 7.80584 0.01 1 62 0
786 308.286 7.80584 0.01 1 61 0
798 308.974 7.95461 0.01 1 72 0.000937
804 308.286 7.80584 0.01 1 62 0
806 310.298 8.25658 0.01 1 72 0
807 308.835 8.01061 0.01 1 72 0
808 308.286 7.80584 0.01 1 62 0
812 311.408 8.02794 0.01 1 80 0
816 309.95 7.89574 0.01 1 72 0
834 308.286 7.80584 0.01 1 62 0
844 310.43 7.74801 0.01 1 72 0
848 308.286 7.80584 0.01 1 62 0
849 309.95 7.82044 0.01 1 80 0
850 306.958 8.14388 0.01 1 72 0
852 312.664 8.03448 0.01 1 80 0
860 310.09 7.91662 0.01 1 72 0
864 308.24 8.16282 0.01 1 72 0
865 308.286 7.80584 0.01 1 61 0
871 307.699 8.0267 0.01 1 72 0
872 309.95 7.69133 0.01 1 72 0
875 309.003 7.99673 0.01 1 72 0
880 308.286 7.80584 0.01 1 61 0
884 311.408 8.02794 0.01 1 82 0
891 308.286 7.80584 0.01 1 60 0
894 309.212 8.04465 0.01 1 80 0
896 310.116 8.03042 0.01 1 80 0
917 311.408 8.02794 0.01 1 81 0
919 310.116 8.03042 0.01 1 81 0
926 309.418 8.07559 0.01 1 62 0
931 307.758 8.50267 0.01 1 72 0
934 311.608 7.80584 0.01 1 61 0
936 309.137 8.08727 0.01 1 82 0
938 309.137 8.07386 0.01 1 81 0
940 308.286 7.80584 0.01 1 61 0
947 307.766 7.90091 0.01 1 61 0
951 310.238 8.03503 0.01 1 80 0.00241505
952 309.95 7.8635 0.01 1 81 0
953 307.829 8.06883 0.01 1 72 0
961 308.286 7.80584 0.01 1 62 0
966 308.286 7.80584 0.01 1 61 0
977 309.418 7.9944 0.01 1 62 0
979 310.116 8.03042 0.01 1 81 0
980 313.083 8.02794 0.01 1 80 0
983 308.955 7.87355 0.01 1 72 0
984 307.699 8.0267 0.01 1 72 0
989 308.286 7.80584 0.01 1 62 0
992 310.116 8.10447 0.01 1 81 0
1005 309.95 8.03503 0.01 1 80 0
1012 308.286 7.80584 0.01 1 61 0
1014 308.781 7.90091 0.01 1 62 0
1024 310.116 8.10447 0.01 1 82 0
1032 307.928 7.9978 0.01 1 72 0
1036 308.286 7.80584 0.01 1 62 0
1037 307.758 8.46405 0.01 1 72 0
1040 310.048 8.08727 0.01 1 82 0
1043 310.59 8.02794 0.01 1 80 0
1054 311.408 8.02794 0.01 1 81 0
1056 308.286 7.80584 0.01 1 62 0
1060 308.638 8.03503 0.01 1 81 0
1062 309.973 8.02596 0.01 1 72 0
1064 309.95 8.03503 0.01 1 81 0
1073 307.485 7.88557 0.01 1 62 0
1075 310.116 8.03042 0.01 1 81 0
1077 307.43 7.80584 0.01 1 62 0.00951761
1079 311.408 8.02794 0.01 1 81 0
1083 311.531 8.0617 0.01 1 72 0
1093 310.038 7.9944 0.01 1 62 0
1109 309.95 8.03503 0.01 1 80 0
1113 311.408 8.02794 0.01 1 81 0
1127 309.137 8.07386 0.01 1 82 0
1146 310.116 8.10447 0.01 1 81 0
1149 310.116 8.10447 0.01 1 82 0
1151 311.247 8.0373 0.01 1 81 0
1155 308.286 7.80584 0.01 1 61 0
1160 307.806 7.88508 0.01 1 72 0
1161 312.727 8.02794 0.01 1 81 0
1163 308.286 7.80584 0.01 1 62 0
1180 308.864 8.14388 0.01 1 72 0.00254364
1181 309.95 8.03503 0.01 1 80 0
1182 308.286 7.80584 0.01 1 62 0
1184 309.212 8.04465 0.01 1 80 0
1185 310.288 8.25658 0.01 1 72 0
1187 308.286 7.80584 0.01 1 61 0
1188 310.116 8.10447 0.01 1 82 0
1194 311.608 7.80584 0.01 1 61 0
1201 308.286 7.80584 0.01 1 61 0
1210 307.974 8.50549 0.01 1 72 0
1212 310.09 7.91662 0.01 1 72 0
1213 310.376 8.13714 0.01 1 72 -0.00265749
1218 308.224 7.83678 0.01 1 72 0
1220 307.806 7.88508 0.01 1 72 0
1228 311.408 8.02794 0.01 1 80 0
1239 309.503 7.89756 0.01 1 72 0
1258 309.95 8.03503 0.01 1 82 0
1261 308.286 7.80584 0.01 1 61 0
1263 309.137 8.08727 0.01 1 81 0
1269 308.405 8.06883 0.01 1 72 0
1272 308.286 7.80584 0.01 1 62 0
1273 306.645 7.88508 0.01 1 72 -0.00640543
1275 308.286 7.80584 0.01 1 61 0
1279 308.286 7.80584 0.01 1 62 0
1282 308.286 7.80584 0.01 1 62 0
1286 309.95 7.97571 0.01 1 82 -0.00033167
1287 309.137 8.08727 0.01 1 81 0
1289 308.699 7.99673 0.01 1 72 0
1293 308.286 7.8632 0.01 1 62 0
1294 309.016 8.19288 0.01 1 72 0
1295 310.116 8.03042 0.01 1 81 0
1297 307.801 7.90091 0.01 1 62 0
1301 309.95 8.03503 0.01 1 80 0
1303 309.95 7.82044 0.01 1 80 0
1318 310.09 7.91662 0.01 1 72 0
1328 308.699 7.99673 0.01 1 72 0
1329 308.286 7.80584 0.01 1 61 0
1338 308.286 7.80584 0.01 1 62 0
1343 308.286 7.80584 0.01 1 62 0
1351 309.503 7.89756 0.01 1 72 0
1353 311.408 7.93352 0.01 1 81 0
1359 311.531 8.16146 0.01 1 72 0
1361 311.408 8.09637 0.01 1 80 0
1371 310.116 8.10447 0.01 1 82 0
1379 309.774 8.06883 0.01 1 72 0
1380 308.835 8.01102 0.01 1 72 0
1386 308.286 7.80584 0.01 1 62 0
1393 308.286 7.80584 0.01 1 61 0
1394 309.32 8.00871 0.01 1 72 0
1395 308.286 7.80584 0.01 1 62 0
1403 310.84 7.80563 0.01 1 81 0
1407 310.09 7.91662 0.01 1 72 0
1410 311.247 8.0373 0.01 1 80 0
1411 309.95 7.69133 0.01 1 72 0
1412 312.175 8.03448 0.01 1 80 0
1423 309.95 7.9138 0.01 1 72 0
