max_pf 97 min_pf 32
individual T0 sigma disp_rate r0 patch_no mut_eff
5 300.352 8.39539 0.01 1 33 0
9 300.484 8.4215 0.01 1 34 0.00044091
16 314.661 7.9253 0.01 1 97 0
23 310.17 8.08458 0.01 1 72 0
86 310.389 8.1491 0.01 1 72 0
122 300.352 8.39539 0.01 1 32 0
139 300.352 8.39539 0.01 1 33 0
155 310.389 8.06346 0.01 1 72 0
184 300.816 8.46754 0.01 1 34 0
185 315.775 7.88574 0.01 1 96 0
187 310.389 8.13691 0.01 1 72 0
203 309.568 7.84252 0.01 1 72 0
208 307.298 8.39028 0.01 1 72 -0.0039563
212 309.013 8.04181 0.01 1 72 0
237 315.558 7.9253 0.01 1 96 0
289 309.485 8.20364 0.01 1 72 0
291 308.128 7.84329 0.01 1 72 0
305 300.484 8.39539 0.01 1 34 0
313 300.816 8.46754 0.01 1 34 0
325 315.258 7.9253 0.01 1 95 0
330 300.352 8.39539 0.01 1 34 0
349 300.352 8.39539 0.01 1 34 0
363 315.558 7.9253 0.01 1 96 0
377 315.558 7.9253 0.01 1 96 0
380 316.193 7.9253 0.01 1 95 0
415 310.576 8.08444 0.01 1 72 0
446 310.958 7.93538 0.01 1 72 0
492 308.144 7.94359 0.01 1 72 0
495 300.484 8.39539 0.01 1 34 0
505 299.81 8.39539 0.01 1 33 0
510 308.533 8.06021 0.01 1 72 6.50734e-05
526 300.352 8.39539 0.01 1 34 0
591 309.163 7.87036 0.01 1 72 0
607 309.108 7.74206 0.01 1 72 0
684 310.389 8.20578 0.01 1 72 0
699 300.484 8.4215 0.01 1 34 0
701 300.352 8.39539 0.01 1 34 0
748 307.53 7.49197 0.01 1 72 0
770 300.352 8.39539 0.01 1 33 0
772 301.398 8.46754 0.01 1 34 0
784 316.434 7.9253 0.01 1 96 0
827 300.484 8.39539 0.01 1 33 0
890 309.05 8.63022 0.01 1 72 0
944 307.736 8.13748 0.01 1 72 5.04553e-05
987 308.676 7.96826 0.01 1 72 0
990 300.484 8.39539 0.01 1 33 0
995 300.352 8.39539 0.01 1 33 0
1000 309.056 8.38407 0.01 1 72 0
1062 307.7 7.79318 0.01 1 72 0
1076 315.558 7.9253 0.01 1 95 0
1107 309.05 8.55308 0.01 1 72 0
1110 308.96 8.04181 0.01 1 72 0
1115 309.013 8.10497 0.01 1 72 0
1121 310.919 7.57301 0.01 1 72 0
1224 314.661 7.9253 0.01 1 97 0
1225 310.641 7.96693 0.01 1 72 0
1258 307.736 8.05218 0.01 1 72 0
1364 309.568 7.79794 0.01 1 72 0
1381 310.17 8.08458 0.01 1 72 0
1393 300.484 8.39539 0.01 1 34 0
1456 309.056 8.39028 0.01 1 72 0
1463 300.484 8.39539 0.01 1 33 0
1466 308.144 7.86521 0.01 1 72 0
1477 309.013 8.1361 0.01 1 72 0
1488 300.472 8.39539 0.01 1 34 0.000164375
1506 313.22 7.9253 0.01 1 96 0
1577 300.352 8.39539 0.01 1 34 0
1582 311.382 7.88574 0.01 1 72 0
1607 308.144 7.94359 0.01 1 72 0
1659 300.352 8.39539 0.01 1 32 0
1746 315.558 7.9253 0.01 1 95 0
1940 316.193 7.9253 0.01 1 96 0
1944 315.558 7.76649 0.01 1 95 0
1979 308.49 8.06021 0.01 1 72 0
1991 315.558 7.9253 0.01 1 95 0
2005 300.484 8.39539 0.01 1 32 0
2007 309.108 7.74206 0.01 1 72 0
2052 314.661 7.9253 0.01 1 95 0
2070 300.352 8.39539 0.01 1 34 0
2100 315.775 7.88574 0.01 1 96 0
2143 309.163 7.87036 0.01 1 72 0
2151 300.484 8.39539 0.01 1 34 0
2155 300.484 8.39539 0.01 1 33 0
2161 300.484 8.39539 0.01 1 34 0
2163 314.661 7.97744 0.01 1 97 0
2178 309.108 7.74206 0.01 1 72 0
2179 300.484 8.39539 0.01 1 34 0
2196 310.389 8.06346 0.01 1 72 0
2200 308.036 8.28217 0.01 1 72 0
2229 313.525 7.98195 0.01 1 96 0
2272 314.116 7.9463 0.01 1 96 0
2331 309.05 8.55308 0.01 1 72 0
2342 315.421 7.9253 0.01 1 95 0
2344 314.416 8.03617 0.01 1 96 0
2346 300.484 8.39539 0.01 1 34 0
2378 315.558 7.9253 0.01 1 95 0
2407 314.355 7.88574 0.01 1 96 0
2439 301.398 8.46754 0.01 1 34 0
2447 301.398 8.46754 0.01 1 34 0
2458 310.17 8.08458 0.01 1 72 0
2528 308.394 8.56211 0.01 1 72 0.00445481
2558 315.558 7.9253 0.01 1 96 0
2598 300.484 8.39539 0.01 1 33 0
2599 300.352 8.39539 0.01 1 34 0
2615 300.484 8.39539 0.01 1 34 0
2623 313.22 7.84676 0.01 1 95 0
2702 310.641 7.96693 0.01 1 72 0
2769 314.416 8.03617 0.01 1 95 0
2780 314.253 7.79673 0.01 1 95 0
2813 315.421 7.9253 0.01 1 95 0
2816 316.434 8.08081 0.01 1 96 0
2818 309.742 7.87036 0.01 1 72 0
2845 301.398 8.46754 0.01 1 34 0
2864 309.163 7.87036 0.01 1 72 0
2942 316.434 8.08081 0.01 1 95 0
2943 300.484 8.39539 0.01 1 34 0
2944 307.122 7.8001 0.01 1 72 0
3004 300.764 8.39539 0.01 1 33 0
3039 314.661 7.9253 0.01 1 97 0
3044 308.746 8.39028 0.01 1 72 0
3061 308.144 7.86521 0.01 1 72 0
3062 300.484 8.39539 0.01 1 34 0
3086 316.434 7.9253 0.01 1 97 0
3258 300.484 8.4215 0.01 1 34 0
3275 314.661 7.97744 0.01 1 95 0
3284 309.823 8.39028 0.01 1 72 0
3303 300.352 8.49249 0.01 1 34 0.00161999
3323 314.661 7.9253 0.01 1 97 0
3337 314.116 7.9463 0.01 1 96 0
3354 313.22 7.9253 0.01 1 96 0
3362 300.484 8.4382 0.01 1 34 0
3375 300.484 8.39539 0.01 1 34 0
3445 310.389 8.06346 0.01 1 72 0
3459 301.398 8.55536 0.01 1 34 0
3470 314.661 7.9253 0.01 1 97 0
3496 307.47 8.40342 0.01 1 72 0
3506 300.484 8.39539 0.01 1 34 0
3518 301.398 8.38273 0.01 1 34 -0.00146616
3523 300.484 8.39539 0.01 1 34 0
3625 300.352 8.39539 0.01 1 34 0
3662 308.96 8.23073 0.01 1 72 0
3668 300.352 8.39539 0.01 1 34 0
3669 300.361 8.39539 0.01 1 33 0
3692 310.17 8.08458 0.01 1 72 0
3829 300.484 8.39539 0.01 1 34 0
3838 310.641 7.96693 0.01 1 72 0
3860 314.661 7.9253 0.01 1 97 0
3880 300.352 8.39539 0.01 1 34 0
3896 300.484 8.39539 0.01 1 34 0
3911 315.558 7.9253 0.01 1 96 0
3942 315.558 7.95675 0.01 1 95 0.000251174
3943 300.484 8.39539 0.01 1 34 0
3949 300.352 8.39539 0.01 1 34 0
3975 316.434 8.08081 0.01 1 95 0
3982 300.484 8.39539 0.01 1 33 0
3983 315.558 7.9253 0.01 1 96 0
4008 300.484 8.39539 0.01 1 34 0
4036 308.96 8.12458 0.01 1 72 0
4075 315.258 7.9253 0.01 1 95 0
4105 315.558 7.9253 0.01 1 95 0
4132 315.558 7.74867 0.01 1 95 0
4156 314.022 7.8275 0.01 1 95 0
4196 308.036 8.28217 0.01 1 72 0
4225 300.484 8.4382 0.01 1 34 0
4248 308.036 8.39028 0.01 1 72 0
4282 300.816 8.46754 0.01 1 34 0
4300 308.96 8.12458 0.01 1 72 0
4304 300.352 8.39539 0.01 1 34 0
4334 314.913 7.97744 0.01 1 96 0
4347 300.352 8.39539 0.01 1 33 0
4373 301.398 8.43304 0.01 1 34 0
4409 309.163 7.87036 0.01 1 72 0
4446 300.352 8.39539 0.01 1 34 0
4459 300.484 8.39539 0.01 1 34 0
4504 307.7 7.79318 0.01 1 72 0
4548 300.484 8.39539 0.01 1 34 0
4549 300.484 8.39539 0.01 1 34 0
4559 314.661 8.13903 0.01 1 96 0
4588 300.484 8.20214 0.01 1 34 -0.00332517
4598 300.484 8.39539 0.01 1 34 0
4665 300.352 8.39539 0.01 1 33 0
4677 310.919 7.57301 0.01 1 72 0
4686 308.96 7.96228 0.01 1 72 0
4720 310.576 8.06153 0.01 1 72 0
4761 311.183 8.0571 0.01 1 72 0
4771 299.308 8.39539 0.01 1 34 0
4784 300.352 8.39539 0.01 1 33 0
4785 314.661 7.9253 0.01 1 97 0
4786 315.558 7.9253 0.01 1 96 0
4826 311.183 8.0571 0.01 1 72 0
4884 310.389 8.1491 0.01 1 72 0
4891 315.258 7.9253 0.01 1 95 0
4923 309.05 8.63022 0.01 1 72 0
4927 313.143 7.833 0.01 1 96 0
5047 300.816 8.46754 0.01 1 34 0
5057 316.434 8.08081 0.01 1 95 0
5080 315.258 7.9253 0.01 1 95 0
5104 308.144 7.94359 0.01 1 72 0
5137 302.751 8.40342 0.01 1 34 0
5142 309.568 7.79794 0.01 1 72 0
5224 300.484 8.39539 0.01 1 34 0
5228 300.352 8.39539 0.01 1 34 0
5243 310.641 7.96693 0.01 1 72 0
5287 300.484 8.39539 0.01 1 34 0
5298 308.176 8.36647 0.01 1 72 0
5302 308.96 8.12458 0.01 1 72 0
5390 300.484 8.39539 0.01 1 34 0
5397 300.921 8.39539 0.01 1 34 0
5426 300.484 8.39539 0.01 1 34 0
5437 309.431 8.39028 0.01 1 72 0
5457 300.484 8.39539 0.01 1 33 0
5504 310.576 8.11657 0.01 1 72 5.03361e-05
5579 308.964 8.43798 0.01 1 72 0
5583 300.484 8.39539 0.01 1 33 0
5587 309.742 7.87036 0.01 1 72 0
5610 310.389 8.13691 0.01 1 72 0
5714 307.077 8.56211 0.01 1 72 0
5757 315.421 7.9253 0.01 1 95 0
5764 300.816 8.46754 0.01 1 34 0
5800 300.484 8.39539 0.01 1 34 0
5820 301.398 8.46754 0.01 1 34 0
5836 300.484 8.39539 0.01 1 34 0
5838 300.352 8.39539 0.01 1 34 0
5902 313.22 7.9253 0.01 1 96 0
5931 316.434 7.87661 0.01 1 96 -0.000346065
5955 300.484 8.39539 0.01 1 33 0
6029 308.96 7.96228 0.01 1 72 0
6031 314.661 7.97744 0.01 1 96 0
6040 310.958 7.93538 0.01 1 72 0
6046 316.434 7.9253 0.01 1 96 0
6055 300.484 8.39539 0.01 1 34 0
6079 309.789 7.96693 0.01 1 72 0.00319643
6083 309.717 7.8039 0.01 1 72 0
6116 307.077 8.56211 0.01 1 72 0
6153 315.421 7.9253 0.01 1 95 0
6208 315.558 7.9253 0.01 1 95 0
6219 300.484 8.39539 0.01 1 33 0
6237 300.921 8.39539 0.01 1 34 -0.0058502
6251 301.398 8.46754 0.01 1 33 0
6259 300.352 8.39539 0.01 1 33 0
6286 313.525 7.98195 0.01 1 95 0
6342 315.421 7.9253 0.01 1 95 0
6399 308.176 8.42685 0.01 1 72 0
6400 307.077 8.56211 0.01 1 72 0
6419 300.484 8.39539 0.01 1 33 0
6438 315.258 7.9253 0.01 1 95 0
6470 301.398 8.46754 0.01 1 34 0
6533 309.485 8.20364 0.01 1 72 0
6573 300.484 8.39539 0.01 1 34 0
6574 315.558 7.9253 0.01 1 95 0
6584 308.96 8.23073 0.01 1 72 0
6663 313.22 7.9253 0.01 1 96 0
6672 308.856 7.76819 0.01 1 72 0
6676 313.143 7.833 0.01 1 96 0
6686 300.484 8.39539 0.01 1 34 0
6689 308.176 8.42685 0.01 1 72 0
6733 300.484 8.39539 0.01 1 34 0
6763 311.183 8.0571 0.01 1 72 0
6774 308.96 8.12458 0.01 1 72 0
6780 308.144 7.86521 0.01 1 72 0
6848 317.175 7.9253 0.01 1 96 0
6859 314.661 7.97744 0.01 1 96 0
6864 308.176 8.35052 0.01 1 72 0
6889 313.22 7.9253 0.01 1 96 0
6964 308.144 7.94359 0.01 1 72 0
6971 300.484 8.39539 0.01 1 34 0
6984 300.484 8.4382 0.01 1 34 0
