max_pf 116 min_pf 11
individual T0 sigma disp_rate r0 patch_no mut_eff
42 294.841 8.41638 0.01 1 13 0
85 306.619 7.85698 0.01 1 72 0
88 294.388 8.48697 0.01 1 12 0
123 293.674 8.4278 0.01 1 13 0
233 294.388 8.41638 0.01 1 12 0
238 308.872 7.71531 0.01 1 72 0
336 294.388 8.5133 0.01 1 13 0
358 309.333 8.12824 0.01 1 72 0
392 323.788 8.28896 0.01 1 115 0
443 325.217 8.28896 0.01 1 116 0
449 294.388 8.38263 0.01 1 13 0
512 308.872 7.71531 0.01 1 72 0
830 293.674 8.52439 0.01 1 13 0
1059 293.674 8.52439 0.01 1 12 0
1103 308.085 7.71531 0.01 1 72 0
1153 307.965 7.71531 0.01 1 72 0
1248 294.098 8.40496 0.01 1 12 0
1262 294.098 8.40496 0.01 1 13 0
1305 308.377 8.32651 0.01 1 72 0
1363 294.388 8.41638 0.01 1 13 0
1368 309.821 7.9419 0.01 1 72 0
1416 294.388 8.72173 0.01 1 13 0
1419 293.352 8.45887 0.01 1 12 0.00913217
1474 293.674 8.4278 0.01 1 13 0
1536 307.002 7.86651 0.01 1 72 0
1541 294.532 8.37531 0.01 1 13 0
1584 294.388 8.41638 0.01 1 13 0
1600 293.674 8.52439 0.01 1 13 0
1636 293.898 8.58743 0.01 1 12 0
1723 310.309 8.22293 0.01 1 72 0
1804 293.674 8.52439 0.01 1 12 0
1806 309.748 7.67074 0.01 1 72 0
1857 323.788 8.28896 0.01 1 115 0
1906 308.501 8.12633 0.01 1 72 0
1960 294.098 8.40496 0.01 1 12 0
1975 307.303 7.5264 0.01 1 72 0
1984 294.388 8.38263 0.01 1 12 0
2018 325.293 8.28896 0.01 1 115 0
2046 293.674 8.52439 0.01 1 13 0
2056 325.293 8.28896 0.01 1 115 0
2096 307.303 7.5264 0.01 1 72 0
2158 294.388 8.41638 0.01 1 13 0
2207 294.098 8.40496 0.01 1 13 0
2294 294.388 8.41638 0.01 1 12 0
2334 294.098 8.40496 0.01 1 11 0
2393 308.085 7.71531 0.01 1 72 0
2428 294.388 8.45887 0.01 1 13 0
2435 308.134 8.38496 0.01 1 72 0
2470 309.412 7.90475 0.01 1 72 0
2483 308.327 8.59815 0.01 1 72 0
2582 325.217 8.28896 0.01 1 116 0
2732 293.674 8.4278 0.01 1 13 0
2753 293.674 8.52439 0.01 1 13 0
2862 308.327 8.59815 0.01 1 72 0
2901 306.958 7.71531 0.01 1 72 0
2979 325.217 8.30589 0.01 1 116 0
3098 294.388 8.41638 0.01 1 12 0
3155 294.388 8.41638 0.01 1 11 0
3217 294.098 8.40496 0.01 1 13 0
3220 294.388 8.41638 0.01 1 12 0
3287 293.674 8.4278 0.01 1 13 0
3388 310.344 8.2966 0.01 1 72 0
3429 293.674 8.52439 0.01 1 13 0
3438 325.217 8.30589 0.01 1 116 0
3468 293.674 8.4278 0.01 1 12 0
3504 309.333 8.2966 0.01 1 72 0
3507 293.674 8.52439 0.01 1 13 0
3573 310.309 8.24077 0.01 1 72 0
3600 293.674 8.52439 0.01 1 12 0
3616 309.412 7.90475 0.01 1 72 0
3760 293.737 8.41638 0.01 1 13 0
3882 294.388 8.48962 0.01 1 12 0
3939 307.303 7.5264 0.01 1 72 0
4005 307.555 7.92539 0.01 1 72 0
4189 294.388 8.41638 0.01 1 13 0
4228 294.388 8.72173 0.01 1 13 0
4423 294.388 8.48697 0.01 1 13 0
4665 294.388 8.52863 0.01 1 13 0
4713 308.085 7.79343 0.01 1 72 0
4733 325.217 8.28896 0.01 1 116 0
4737 295.239 8.44042 0.01 1 13 0
4817 293.674 8.52439 0.01 1 13 0
4818 294.388 8.41638 0.01 1 13 0
4962 310.309 8.22293 0.01 1 72 0
5008 293.674 8.52439 0.01 1 13 0
5055 325.217 8.22422 0.01 1 115 0
5062 293.674 8.52439 0.01 1 13 0
5088 307.583 8.13253 0.01 1 72 0
5092 307.523 7.96432 0.01 1 72 0
5102 295.239 8.30123 0.01 1 13 0
5112 294.388 8.38263 0.01 1 11 0
5180 308.872 7.71531 0.01 1 72 0
5195 307.857 7.95246 0.01 1 72 0
5211 294.388 8.41638 0.01 1 11 0
5237 293.674 8.52439 0.01 1 13 0
5246 325.096 8.32862 0.01 1 114 0
5280 310.399 8.04888 0.01 1 72 0
5288 309.756 7.96456 0.01 1 72 0
5304 310.344 8.2966 0.01 1 72 0
5309 295.694 8.40496 0.01 1 12 0
5340 293.674 8.52439 0.01 1 13 0
5341 309.756 8.01052 0.01 1 72 0
5412 308.501 8.12633 0.01 1 72 0
5471 294.388 8.72173 0.01 1 12 0
5581 294.388 8.5296 0.01 1 12 1.44169e-05
5622 309.756 7.96456 0.01 1 72 0
5685 309.647 8.3112 0.01 1 72 2.15769e-05
5747 293.674 8.52439 0.01 1 12 0
5750 308.872 7.71531 0.01 1 72 0
5766 309.754 7.68997 0.01 1 72 0
5870 294.532 8.37531 0.01 1 13 0
5917 294.388 8.41638 0.01 1 13 0
6007 294.388 8.38263 0.01 1 12 0
6059 293.674 8.52439 0.01 1 13 0
6098 309.647 8.16589 0.01 1 72 0
6261 326.103 8.28896 0.01 1 114 0
6267 307.002 7.86651 0.01 1 72 0
