max_pf 119 min_pf 2
individual T0 sigma disp_rate r0 patch_no mut_eff
36 287.425 8.40606 0.01 1 3 0
64 286.304 8.42651 0.01 1 4 0
88 287.892 8.42651 0.01 1 3 0
140 308.742 7.97776 0.01 1 72 0
196 307.565 8.08892 0.01 1 72 0
289 289.959 8.40606 0.01 1 4 0
357 290.83 8.34804 0.01 1 3 0
460 286.974 8.42651 0.01 1 3 0
747 311.066 7.6625 0.01 1 72 0
968 292.985 8.41932 0.01 1 4 0
1181 286.974 8.42651 0.01 1 4 0
1186 310.454 7.6625 0.01 1 72 -0.00314815
1193 286.974 8.42651 0.01 1 3 0
1237 290.462 8.49451 0.01 1 4 0
1269 287.425 8.40606 0.01 1 4 0
1362 326.019 8.05382 0.01 1 119 0
1367 286.304 8.39256 0.01 1 3 0
1495 290.462 8.49451 0.01 1 3 0
1766 290.462 8.49451 0.01 1 4 0
2121 310.023 7.74649 0.01 1 72 0
2154 309.815 7.7301 0.01 1 72 0
2180 310.391 7.76638 0.01 1 72 0
2208 311.427 7.85006 0.01 1 72 0
2218 310.676 7.71882 0.01 1 72 0
2329 290.462 8.49451 0.01 1 3 0
2365 291.417 8.34804 0.01 1 4 0
2436 309.815 7.71957 0.01 1 72 0
2441 287.425 8.40606 0.01 1 4 0
2607 310.016 7.86157 0.01 1 72 0
2610 309.028 8.43702 0.01 1 72 0
2712 308.228 8.13251 0.01 1 72 0
2729 288.405 8.40606 0.01 1 4 0
2909 326.019 8.05382 0.01 1 119 0
2913 312.048 7.82664 0.01 1 72 0
2950 286.974 8.42651 0.01 1 4 0
3075 310.023 7.54765 0.01 1 72 0
3113 290.83 8.34804 0.01 1 4 0
3271 291.417 8.19245 0.01 1 4 0
3338 290.462 8.49451 0.01 1 3 0
3580 290.963 8.49451 0.01 1 4 0
3589 309.194 7.70757 0.01 1 72 0
3607 291.417 8.14023 0.01 1 4 0
3706 290.83 8.34804 0.01 1 4 0
3900 286.974 8.42651 0.01 1 4 0
4223 310.918 7.92383 0.01 1 72 0
4251 289.959 8.40606 0.01 1 4 0
4267 309.295 7.7474 0.01 1 72 0.000249118
4305 307.565 8.08892 0.01 1 72 0
4416 291.417 8.19245 0.01 1 3 0
4596 286.974 8.42651 0.01 1 4 0
4638 310.016 7.86157 0.01 1 72 0
4790 307.854 8.43702 0.01 1 72 0
4845 304.956 8.16123 0.01 1 72 0
4960 310.741 7.92383 0.01 1 72 0
5060 290.83 8.34804 0.01 1 4 0
5137 288.405 8.40606 0.01 1 4 0
5420 309.911 7.66655 0.01 1 72 0
5607 311.427 7.85006 0.01 1 72 0
5780 287.425 8.40606 0.01 1 4 0
5904 306.62 8.03492 0.01 1 72 0
6078 286.974 8.42651 0.01 1 4 0
6300 310.918 7.92383 0.01 1 72 0
6302 311.956 7.58927 0.01 1 72 0
6323 286.974 8.42651 0.01 1 3 0
6674 291.417 8.19245 0.01 1 4 0
6751 287.425 8.40606 0.01 1 4 0
6829 308.218 7.86471 0.01 1 72 0
6868 286.974 8.42651 0.01 1 4 0
6912 286.974 8.42651 0.01 1 4 0
6974 287.425 8.40606 0.01 1 4 0
7073 307.313 7.9786 0.01 1 72 0
7108 288.405 8.40606 0.01 1 4 0
7179 289.959 8.39887 0.01 1 2 0
7313 326.019 8.05382 0.01 1 119 0
7406 310.004 7.76638 0.01 1 72 0.00151043
7445 286.974 8.42651 0.01 1 4 0
7564 290.83 8.34804 0.01 1 3 0
7575 328.488 7.98251 0.01 1 117 0
7603 290.83 8.34804 0.01 1 4 0
7685 289.959 8.40606 0.01 1 4 0
7718 286.974 8.42651 0.01 1 4 0
7793 286.974 8.42651 0.01 1 4 0
7814 310.17 7.76638 0.01 1 72 0
7882 287.425 8.40606 0.01 1 3 0
7956 307.033 8.07313 0.01 1 72 0
8057 307.033 8.07313 0.01 1 72 0
8205 310.473 7.94692 0.01 1 72 0
8307 288.104 8.40606 0.01 1 4 0
8376 286.974 8.42651 0.01 1 3 0
8574 286.974 8.42651 0.01 1 3 0
8582 287.804 8.49451 0.01 1 4 0
8631 311.427 7.85006 0.01 1 72 0
8664 290.83 8.34804 0.01 1 4 0
8717 307.033 8.07313 0.01 1 72 0
8761 288.405 8.40606 0.01 1 3 0
8766 286.974 8.42651 0.01 1 4 0
8780 286.939 8.40606 0.01 1 4 0
8937 306.87 8.21124 0.01 1 72 0
9011 290.83 8.31088 0.01 1 4 0
9033 310.391 7.76638 0.01 1 72 0
9054 309.955 8.35321 0.01 1 72 0
9101 310.391 7.76638 0.01 1 72 0
9229 286.974 8.28098 0.01 1 4 0
9635 326.019 8.05382 0.01 1 117 0
9653 290.462 8.49451 0.01 1 4 0
9682 290.752 8.34804 0.01 1 4 0
9752 307.565 8.08892 0.01 1 72 0
9856 287.425 8.40606 0.01 1 4 0
9925 286.974 8.42651 0.01 1 3 0
10044 286.974 8.42651 0.01 1 3 0
10114 310.918 7.92383 0.01 1 72 0
10383 291.417 8.19245 0.01 1 3 0
10407 292.985 8.41932 0.01 1 4 0
10464 286.974 8.42651 0.01 1 4 0
10476 286.974 8.42651 0.01 1 3 0
10497 310.023 7.74649 0.01 1 72 0
10515 289.959 8.40606 0.01 1 4 0
10520 287.425 8.40606 0.01 1 4 0
10534 292.985 8.41932 0.01 1 4 0
10615 290.462 8.49451 0.01 1 4 0
10638 310.391 7.76638 0.01 1 72 0
10660 289.959 8.39887 0.01 1 2 0
10781 310.023 7.54765 0.01 1 72 0
10800 286.974 8.42651 0.01 1 2 0
10876 287.425 8.40606 0.01 1 4 0
10934 309.028 8.43702 0.01 1 72 0
10985 310.023 7.74649 0.01 1 72 0
11083 328.145 8.05382 0.01 1 119 0
11197 287.425 8.40606 0.01 1 4 0
11270 287.425 8.40606 0.01 1 4 0
11433 290.462 8.49451 0.01 1 4 0
11438 286.974 8.42651 0.01 1 4 0
11445 286.974 8.6109 0.01 1 4 0.00315009
11485 290.483 8.18713 0.01 1 4 0
11549 290.462 8.49451 0.01 1 3 0
11576 310.459 7.76638 0.01 1 72 0
11696 286.974 8.42651 0.01 1 3 0
11750 309.911 7.66655 0.01 1 72 0
11801 290.462 8.49451 0.01 1 4 0
11898 308.718 7.70757 0.01 1 72 0
12082 290.454 8.34804 0.01 1 4 0
12336 307.973 7.66947 0.01 1 72 0
12429 286.974 8.42651 0.01 1 3 0
12734 289.959 8.40606 0.01 1 4 0
12787 289.959 8.40606 0.01 1 4 0
12859 290.83 8.34804 0.01 1 3 0
12980 287.306 8.42651 0.01 1 4 -0.0039994
13116 288.405 8.22258 0.01 1 4 0
13183 310.17 7.76638 0.01 1 72 0
13312 308.228 8.13251 0.01 1 72 0
13507 307.728 8.13251 0.01 1 72 0
13562 312.048 7.82664 0.01 1 72 0
13624 287.425 8.40606 0.01 1 4 0
13672 289.959 8.40606 0.01 1 4 0
13682 286.974 8.42651 0.01 1 4 0
13752 290.83 8.34804 0.01 1 4 0
13943 306.87 8.21124 0.01 1 72 0
