	time	range_hot	range_cold
354	2708	98	39
355	2710	98	39
356	2712	98	39
357	2714	98	39
358	2716	98	39
359	2718	98	39
360	2720	98	39
361	2722	98	39
362	2724	98	39
363	2726	98	39
364	2728	98	39
365	2730	98	38
366	2732	98	38
367	2734	98	38
368	2736	98	38
369	2738	98	38
370	2740	98	38
371	2742	98	38
372	2744	98	38
373	2746	98	38
374	2748	98	38
375	2750	98	38
376	2752	98	38
377	2754	98	38
378	2756	99	38
379	2758	99	38
380	2760	99	38
381	2762	99	38
382	2764	99	38
383	2766	99	37
384	2768	99	37
385	2770	99	37
386	2772	99	37
387	2774	99	37
388	2776	99	37
389	2778	99	37
390	2780	99	37
391	2782	99	37
392	2784	99	37
393	2786	99	37
394	2788	99	37
395	2790	99	37
396	2792	99	37
397	2794	99	37
398	2796	99	37
399	2798	99	37
400	2800	99	37
401	2802	100	37
402	2804	99	37
403	2806	99	37
404	2808	99	37
405	2810	99	37
406	2812	99	37
407	2814	99	37
408	2816	99	37
409	2818	99	36
410	2820	99	36
411	2822	99	36
412	2824	100	36
413	2826	100	36
414	2828	100	36
415	2830	100	36
416	2832	100	36
417	2834	100	36
418	2836	100	36
419	2838	100	35
420	2840	100	35
421	2842	101	35
422	2844	101	35
423	2846	101	35
424	2848	101	35
425	2850	101	35
426	2852	101	35
427	2854	101	35
428	2856	101	35
429	2858	101	35
430	2860	101	35
431	2862	101	35
432	2864	101	35
433	2866	101	35
434	2868	101	35
435	2870	101	35
436	2872	101	35
437	2874	101	35
438	2876	101	34
439	2878	101	34
440	2880	101	34
441	2882	101	34
442	2884	101	34
443	2886	101	34
444	2888	102	34
445	2890	102	34
446	2892	102	34
447	2894	102	34
448	2896	102	34
449	2898	102	34
450	2900	102	34
451	2902	102	34
452	2904	102	34
453	2906	102	34
454	2908	102	33
455	2910	102	33
456	2912	101	33
457	2914	103	33
458	2916	102	33
459	2918	103	33
460	2920	102	33
461	2922	102	33
462	2924	103	33
463	2926	103	33
464	2928	103	33
465	2930	103	33
466	2932	103	33
467	2934	103	33
468	2936	103	33
469	2938	103	33
470	2940	103	33
471	2942	103	33
472	2944	103	32
473	2946	103	32
474	2948	103	32
475	2950	103	32
476	2952	103	32
477	2954	103	32
478	2956	103	32
479	2958	103	32
480	2960	103	32
481	2962	103	32
482	2964	103	32
483	2966	103	32
484	2968	103	32
485	2970	103	32
486	2972	103	31
487	2974	103	31
488	2976	103	31
489	2978	103	31
490	2980	103	31
491	2982	103	31
492	2984	103	31
493	2986	103	31
494	2988	103	31
495	2990	103	31
496	2992	104	31
497	2994	104	31
498	2996	104	31
499	2998	104	31
500	3000	104	31
501	3002	104	31
502	3004	104	30
503	3006	104	30
504	3008	104	30
505	3010	104	30
506	3012	104	30
507	3014	104	30
508	3016	104	30
509	3018	104	30
510	3020	104	30
511	3022	104	30
512	3024	104	30
513	3026	104	29
514	3028	105	29
515	3030	104	29
516	3032	105	29
517	3034	105	29
518	3036	105	29
519	3038	105	29
520	3040	105	29
521	3042	105	29
522	3044	105	29
523	3046	105	29
524	3048	105	29
525	3050	105	29
526	3052	105	29
527	3054	105	29
528	3056	105	29
529	3058	105	29
530	3060	105	29
531	3062	105	28
532	3064	105	28
533	3066	105	28
534	3068	105	28
535	3070	105	28
536	3072	105	28
537	3074	105	28
538	3076	105	28
539	3078	105	28
540	3080	105	28
541	3082	105	28
542	3084	105	28
543	3086	106	28
544	3088	106	28
545	3090	106	28
546	3092	106	28
547	3094	106	28
548	3096	106	28
549	3098	106	27
550	3100	106	27
551	3102	106	27
552	3104	106	27
553	3106	106	27
554	3108	106	27
555	3110	106	27
556	3112	106	27
557	3114	106	27
558	3116	106	27
559	3118	106	27
560	3120	106	27
561	3122	106	27
562	3124	106	27
563	3126	106	27
564	3128	106	27
565	3130	106	27
566	3132	106	26
567	3134	106	26
568	3136	106	26
569	3138	106	26
570	3140	106	26
571	3142	106	26
572	3144	106	26
573	3146	106	26
574	3148	109	26
575	3150	107	26
576	3152	107	26
577	3154	107	25
578	3156	107	25
579	3158	109	25
580	3160	109	25
581	3162	107	25
582	3164	109	25
583	3166	109	25
584	3168	109	25
585	3170	108	25
586	3172	108	25
587	3174	109	25
588	3176	109	25
589	3178	109	25
590	3180	109	24
591	3182	109	24
592	3184	109	24
593	3186	109	24
594	3188	109	24
595	3190	109	24
596	3192	109	24
597	3194	109	24
598	3196	109	24
599	3198	109	24
600	3200	109	23
601	3202	109	23
602	3204	109	23
603	3206	109	23
604	3208	109	23
605	3210	109	23
606	3212	109	23
607	3214	109	23
608	3216	109	22
609	3218	109	22
610	3220	109	22
611	3222	109	22
612	3224	109	22
613	3226	108	22
614	3228	109	22
615	3230	109	22
616	3232	109	22
617	3234	109	22
618	3236	109	22
619	3238	109	22
620	3240	109	22
621	3242	109	22
622	3244	109	22
623	3246	109	22
624	3248	109	22
625	3250	109	22
626	3252	109	22
627	3254	109	22
628	3256	109	22
629	3258	109	22
630	3260	109	22
631	3262	109	22
632	3264	109	22
633	3266	109	22
634	3268	109	22
635	3270	109	21
636	3272	109	21
637	3274	109	21
638	3276	109	21
639	3278	109	21
640	3280	109	21
641	3282	109	21
