max_pf 108 min_pf 18
individual T0 sigma disp_rate r0 patch_no mut_eff
6354 295.596 8.15487 0.01 1 19 0
6359 306.263 8.02187 0.01 1 72 0
6362 310.43 7.97203 0.01 1 72 0
6375 296.4 8.15487 0.01 1 20 0
6399 310.601 7.8914 0.01 1 72 0
6408 320.908 8.10687 0.01 1 106 0
6409 307.844 8.03533 0.01 1 72 0
6432 295.596 8.23048 0.01 1 20 0
6487 320.317 8.27951 0.01 1 106 0
6497 320.317 8.27951 0.01 1 107 0
6514 319.908 8.27951 0.01 1 108 0
6547 296.4 8.15487 0.01 1 19 0
6567 309.918 7.64984 0.01 1 72 0
6573 308.391 7.98869 0.01 1 72 0
6664 308.887 7.84775 0.01 1 72 0
6675 310.677 7.45186 0.01 1 72 0
6737 306.911 8.11044 0.01 1 72 0
6804 309.254 8.00758 0.01 1 72 0
6833 297.214 8.12513 0.01 1 20 0
6852 295.365 8.3413 0.01 1 20 0
6916 296.4 8.15487 0.01 1 20 0
6918 311.322 7.57659 0.01 1 72 0
7078 320.813 8.27951 0.01 1 106 0
7080 308.174 8.00102 0.01 1 72 0
7125 297.214 8.15487 0.01 1 20 0
7152 320.317 8.27951 0.01 1 107 0
7215 308.887 7.84775 0.01 1 72 0
7231 320.317 8.27951 0.01 1 107 0
7317 308.773 8.38186 0.01 1 72 0
7356 296.4 8.15487 0.01 1 19 0
7500 320.054 8.23607 0.01 1 108 0
7507 297.214 8.15487 0.01 1 20 0
7552 296.4 8.15487 0.01 1 18 0
7562 309.833 7.73449 0.01 1 72 0
7570 296.4 8.15487 0.01 1 20 0
7574 295.596 8.23048 0.01 1 20 0
7611 308.174 8.00102 0.01 1 72 0
7624 320.317 8.24049 0.01 1 106 0
7636 309.81 7.04936 0.01 1 72 0
7644 309.833 7.73449 0.01 1 72 0
7653 295.596 8.15862 0.01 1 20 0
7674 297.214 8.15487 0.01 1 20 0
7747 320.737 8.27951 0.01 1 107 0.00560586
7842 309.833 7.73449 0.01 1 72 0
7845 309.24 7.435 0.01 1 72 0
7858 320.855 8.27951 0.01 1 108 0
7889 295.596 8.23048 0.01 1 19 0
7928 308.391 7.98869 0.01 1 72 0
7970 320.317 8.27951 0.01 1 107 0
7971 297.214 8.15487 0.01 1 20 0
8014 306.263 8.02187 0.01 1 72 0
8016 320.908 8.27951 0.01 1 106 0
8059 295.596 8.23048 0.01 1 20 0
8081 296.4 8.15487 0.01 1 20 0
8157 319.625 8.27951 0.01 1 107 -0.00959334
8177 309.24 7.435 0.01 1 72 0
8246 295.596 8.23048 0.01 1 20 0
8364 295.596 8.15862 0.01 1 20 0
8366 309.24 7.435 0.01 1 72 0
8411 297.214 8.15487 0.01 1 20 0
8420 307.4 7.80399 0.01 1 72 0
8434 296.4 8.15487 0.01 1 20 0
8478 320.317 8.27951 0.01 1 106 0
8494 319.908 8.27951 0.01 1 108 0
8507 295.596 8.23048 0.01 1 20 0
8544 307.4 7.80399 0.01 1 72 0
8567 310.677 7.45186 0.01 1 72 0
8577 295.596 8.23048 0.01 1 20 0
8591 295.771 8.31879 0.01 1 20 0
8608 309.577 7.88243 0.01 1 72 0
8653 294.87 8.15487 0.01 1 20 0
8659 296.4 8.21001 0.01 1 20 0
8674 307.891 7.7391 0.01 1 72 0
8687 295.847 7.82115 0.01 1 18 0
8693 320.813 8.27951 0.01 1 106 0
8701 297.092 8.15487 0.01 1 20 0.00114846
8777 306.886 7.77927 0.01 1 72 0
8778 295.596 8.23048 0.01 1 20 0
8787 296.4 8.15487 0.01 1 20 0
8885 308.887 7.84775 0.01 1 72 0
8913 311.183 7.99546 0.01 1 72 0
8945 296.4 8.20321 0.01 1 19 0
8955 308.97 7.46217 0.01 1 72 0.00181139
8994 306.873 8.11044 0.01 1 72 0
9006 311.538 7.42601 0.01 1 72 0
9018 296.4 8.15487 0.01 1 20 0
9058 308.391 7.98869 0.01 1 72 0
9125 311.428 7.64344 0.01 1 72 0
9150 295.847 7.82115 0.01 1 20 0
9209 296.4 8.15487 0.01 1 20 0
9243 321.47 8.27951 0.01 1 107 0
9245 307.237 8.21928 0.01 1 72 0
9254 320.908 8.10687 0.01 1 106 0
9298 311.191 8.41832 0.01 1 72 0.000191763
9321 297.214 8.15487 0.01 1 20 0
9325 309.81 7.04936 0.01 1 72 0
9334 320.317 8.38584 0.01 1 108 0
9338 296.4 8.15487 0.01 1 19 0
9363 322.067 8.33161 0.01 1 107 0
9374 296.4 8.15487 0.01 1 19 0
9412 308.365 7.62668 0.01 1 72 0
9424 308.48 8.17052 0.01 1 72 0
9555 306.886 7.77927 0.01 1 72 0
9564 309.833 7.73449 0.01 1 72 0
9720 308.391 7.98869 0.01 1 72 0
9789 297.214 8.15487 0.01 1 20 0
9865 296.4 7.93924 0.01 1 20 -0.00378559
9877 296.4 8.21001 0.01 1 20 0
9887 319.097 8.23607 0.01 1 106 -0.0112948
9969 295.847 7.82115 0.01 1 20 0
10048 308.887 7.84775 0.01 1 72 0
10063 308.887 7.84775 0.01 1 72 0
10109 295.596 8.15862 0.01 1 20 0
10197 296.4 8.15487 0.01 1 20 0
10251 295.596 8.15862 0.01 1 19 0
10345 296.4 8.15487 0.01 1 20 0
10407 308.62 7.73827 0.01 1 72 0
10451 320.908 8.27951 0.01 1 106 0
10482 296.4 8.15487 0.01 1 20 0
10636 308.391 7.98869 0.01 1 72 0
10648 306.998 8.11044 0.01 1 72 0
10832 308.48 8.17052 0.01 1 72 0
10908 296.4 8.10559 0.01 1 20 -0.000861343
10954 308.773 8.38186 0.01 1 72 0
10969 320.317 8.27951 0.01 1 108 0
10995 320.908 8.2351 0.01 1 106 0
11026 320.908 8.27951 0.01 1 107 0
11039 319.908 8.23607 0.01 1 107 0
11049 309.254 8.00758 0.01 1 72 0
11205 309.376 7.75222 0.01 1 72 0
11286 297.04 8.15487 0.01 1 20 0
11328 308.674 7.70183 0.01 1 72 0
11463 308.208 7.62845 0.01 1 72 0
11473 308.391 7.98869 0.01 1 72 0
11502 320.317 8.27951 0.01 1 107 0
11506 309.918 7.64984 0.01 1 72 -3.72976e-05
11522 297.04 8.15487 0.01 1 20 0
11540 296.4 8.20321 0.01 1 20 0
11632 308.887 7.84775 0.01 1 72 0
11647 320.813 8.27951 0.01 1 106 0
11653 297.214 7.82115 0.01 1 20 0
11663 320.317 8.27951 0.01 1 106 0
11669 295.596 8.15487 0.01 1 20 0
11716 311.183 7.99546 0.01 1 72 0
11754 320.317 8.27951 0.01 1 107 0
11760 306.873 8.11044 0.01 1 72 0
11881 296.4 8.20321 0.01 1 20 0
11937 307.104 8.19142 0.01 1 72 0
