max_pf 108 min_pf 25
individual T0 sigma disp_rate r0 patch_no mut_eff
15 308.216 8.30029 0.01 1 72 0
167 299.509 7.73698 0.01 1 27 0
170 299.509 7.73698 0.01 1 27 0
190 299.509 7.58231 0.01 1 25 0
193 307.682 8.18743 0.01 1 72 0
222 307.682 8.18743 0.01 1 72 0
297 310.826 7.8713 0.01 1 72 0
335 306.723 8.19464 0.01 1 72 0
413 307.77 8.135 0.01 1 72 0
516 308.216 8.30029 0.01 1 72 0
528 322.588 8.04953 0.01 1 106 0
637 317.978 8.10041 0.01 1 106 0
783 319.776 8.04953 0.01 1 106 0
828 308.706 7.79322 0.01 1 72 0
844 299.509 7.79605 0.01 1 27 0
913 307.77 8.135 0.01 1 72 0
997 306.723 8.19464 0.01 1 72 0
1060 310.119 7.80658 0.01 1 72 0
1096 322.588 8.04953 0.01 1 107 0
1130 307.77 8.135 0.01 1 72 0
1210 308.564 8.09205 0.01 1 72 0
1239 298.598 7.75792 0.01 1 27 0
1251 322.588 8.04953 0.01 1 108 0
1253 308.669 8.02006 0.01 1 72 0
1288 309.369 8.02829 0.01 1 72 0
1346 308.107 7.72467 0.01 1 72 0
1417 309.911 8.25864 0.01 1 72 0
1539 309.787 8.07603 0.01 1 72 0
1567 307.922 7.83798 0.01 1 72 0
1582 299.509 7.99722 0.01 1 26 0.00443635
1685 308.669 8.02006 0.01 1 72 0
1693 308.497 8.16237 0.01 1 72 0
1719 309.445 7.92103 0.01 1 72 0
1747 320.003 7.7203 0.01 1 106 0
1752 311.321 7.86891 0.01 1 72 0
1819 311.643 7.89258 0.01 1 72 0
1875 309.68 7.697 0.01 1 72 0
1929 299.509 7.73698 0.01 1 27 0
2014 309.617 8.05209 0.01 1 72 0
2016 299.509 7.86815 0.01 1 27 0
2104 322.588 8.04953 0.01 1 108 0
2219 322.588 8.04953 0.01 1 107 0
2251 299.509 7.79605 0.01 1 27 0
2264 308.903 7.88218 0.01 1 72 0
2275 306.723 8.19464 0.01 1 72 0
2299 320.992 7.87771 0.01 1 106 0
2338 309.602 8.18743 0.01 1 72 0
2396 309.445 7.88183 0.01 1 72 0
2448 320.003 7.7203 0.01 1 106 0
2483 299.509 7.79285 0.01 1 25 0
2562 308.237 7.75073 0.01 1 72 0
2659 322.588 8.04953 0.01 1 107 0
2669 311.321 7.86891 0.01 1 72 0
2690 308.237 7.75073 0.01 1 72 0
2792 299.509 7.73698 0.01 1 27 0
2820 322.588 8.06115 0.01 1 107 0
