 time_step hot_T0 q_25_hot_br_T0 q_75_hot_br_T0 hot_wr_T0 q_25_hot_wr_T0 q_75_hot_wr_T0 cold_T0 q_25_cold_br_T0 q_75_cold_br_T0 cold_wr_T0 q_25_cold_wr_T0 q_75_cold_wr_T0
0 2000.0 310.525 310.3415 310.722 1.3621856996007087 1.2259640615369607 1.5906797586305643 307.475 307.30150000000003 307.6895 1.3403308508904666 1.149235668840505 1.5836627139963624
1 2002.0 310.525 310.35900000000004 310.71500000000003 1.370239703128139 1.202725724345784 1.6007307179199524 307.471 307.29200000000003 307.66700000000003 1.344408171965922 1.1157814386900435 1.5976953302185084
2 2004.0 310.542 310.3785 310.7655 1.3596978560031816 1.189406129952249 1.5564051486756294 307.432 307.2235 307.632 1.2940599296810573 1.1077536544737945 1.5554781917575538
3 2006.0 310.58 310.3985 310.828 1.3493485383999821 1.1212707133688609 1.5204720339269566 307.372 307.13300000000004 307.602 1.273140623995471 1.0780211962570156 1.432005231733535
4 2008.0 310.624 310.42499999999995 310.8945 1.293202694155884 1.0929174530513373 1.5272522440542875 307.346 307.159 307.602 1.2689886410879074 1.062390498536486 1.4396994444088427
5 2010.0 310.644 310.41150000000005 310.874 1.3060219783545317 1.0952409655393156 1.4958583850862175 307.346 307.12850000000003 307.602 1.2793652993677422 1.0874433096386247 1.441954117270491
6 2012.0 310.661 310.411 310.8555 1.3031969605425664 1.1113204422721692 1.4785320296509097 307.346 307.121 307.5955 1.281045231955593 1.07912264281096 1.463323603992934
7 2014.0 310.661 310.408 310.856 1.3199983891687617 1.1218841430667617 1.5134676131905629 307.343 307.1135 307.5955 1.2608061418615737 1.0698963577755976 1.4495369304187227
8 2016.0 310.661 310.421 310.87350000000004 1.291333835594456 1.0697984783150392 1.4769217029644415 307.349 307.085 307.5725 1.2630622415166455 1.0651346879093935 1.4296542885894445
9 2018.0 310.661 310.43949999999995 310.87350000000004 1.2643956488820158 1.0936109137006065 1.5063173794679172 307.346 307.08299999999997 307.5955 1.2676807992139045 1.0394219492029553 1.4444662442159795
10 2020.0 310.661 310.448 310.87350000000004 1.2505310194068666 1.047842905496744 1.4858846228800349 307.321 307.0325 307.534 1.2214251614314793 1.0092973119383923 1.4298481088932449
11 2022.0 310.661 310.45450000000005 310.87350000000004 1.2172651873436955 1.0719923488488314 1.4456012802115543 307.321 307.0325 307.588 1.2262117059878623 1.031819857139599 1.4548965994239638
12 2024.0 310.676 310.4325 310.947 1.2558570403841243 1.03583499104233 1.4796674826928211 307.266 307.006 307.5265 1.1739689021135673 1.0153224822330138 1.448815580421311
13 2026.0 310.676 310.394 310.9675 1.2339829685096682 1.002848478068505 1.469600687347264 307.274 307.0165 307.558 1.1730901632932986 1.0158818233035762 1.4452913706171593
14 2028.0 310.688 310.381 310.99350000000004 1.2129095760422475 0.9490131919248688 1.4180552648246931 307.266 306.967 307.557 1.1589309388864026 1.017804936243265 1.4071105278836744
15 2030.0 310.688 310.3855 310.985 1.198478688479254 0.9334110319167507 1.3990204560587591 307.254 306.9615 307.58950000000004 1.1652931467588175 0.9848738122977678 1.4042378374335467
16 2032.0 310.688 310.4165 311.02750000000003 1.1785245315315325 0.9517960174413339 1.400453371205459 307.256 306.9575 307.58950000000004 1.1904109227295427 0.983354763558608 1.4024053960237075
17 2034.0 310.688 310.4165 311.0005 1.207985455324047 0.9379975814056674 1.3754662831940347 307.25 306.94849999999997 307.5615 1.1731094408722278 0.9731878051394964 1.401426722388929
18 2036.0 310.691 310.42150000000004 310.977 1.153998988288875 0.9054492110400612 1.3451866164206439 307.26 306.9395 307.488 1.1593243314403874 0.9183835433549716 1.3481493575922223
19 2038.0 310.661 310.43 311.0005 1.0987536574529164 0.9229557825159249 1.3449889536026578 307.207 306.93 307.4905 1.1612210501774702 0.9365458996206608 1.354828329333031
20 2040.0 310.684 310.42150000000004 311.009 1.0810266723823099 0.8509471663440376 1.3663929278549993 307.262 306.8965 307.50750000000005 1.1543075391796338 0.8199771984062437 1.3535256459957805
21 2042.0 310.66 310.4085 311.0305 1.0968998057768873 0.855986108164351 1.3930709351294968 307.279 306.8675 307.4905 1.1480563238095358 0.7980567824011413 1.351633153368193
22 2044.0 310.661 310.414 311.0425 1.0502723688174438 0.8350043757701905 1.3685804921049594 307.221 306.8675 307.4905 1.0984719782796755 0.7603148254078735 1.3283888605072356
23 2046.0 310.661 310.42775 311.0485 1.0582174349372557 0.8140287829888007 1.3735679165894599 307.221 306.7885 307.487 1.0787773774137757 0.7693181525300021 1.3021263149905113
24 2048.0 310.717 310.4415 311.0615 1.037915652282704 0.7681122653014405 1.3043035561268126 307.207 306.78099999999995 307.4875 1.0570778404804437 0.7826280699620566 1.3460685935901893
25 2050.0 310.727 310.4415 311.0615 1.0419902295771666 0.7433497987366815 1.3224316836922716 307.251 306.8205 307.4875 1.037977278219582 0.7822045806532052 1.3429412301695764
26 2052.0 310.727 310.472 311.063 1.0336209704768582 0.7308488661062031 1.3146434529589537 307.204 306.756 307.49850000000004 0.987287595784326 0.7572613157696941 1.3434307828865282
27 2054.0 310.755 310.444 311.05600000000004 1.0204766464421084 0.7087122440280507 1.2565759916965185 307.201 306.756 307.49850000000004 0.9514774074875684 0.731177469323117 1.3595190470644685
28 2056.0 310.737 310.4415 311.0485 1.0011844588092997 0.690263179142824 1.2851741567738806 307.161 306.74699999999996 307.55150000000003 0.9520466660825283 0.7211077068746958 1.3634441508288972
