max_pf 111 min_pf 12
individual T0 sigma disp_rate r0 patch_no mut_eff
7 293.228 8.16336 0.01 1 14 -0.000847928
97 306.997 7.89759 0.01 1 72 0
155 291.949 8.21273 0.01 1 14 0
190 321.55 7.86872 0.01 1 111 0
193 320.277 8.27657 0.01 1 110 0
245 293.228 8.21273 0.01 1 14 0
336 310.053 7.83872 0.01 1 72 0
343 291.949 8.21273 0.01 1 14 0
576 311.486 7.66376 0.01 1 72 0
619 293.228 8.21273 0.01 1 13 0
767 309.314 8.03794 0.01 1 72 0
794 310.691 7.86561 0.01 1 72 0
914 293.228 8.21273 0.01 1 14 0
1230 308.229 8.11474 0.01 1 72 0
1282 309.918 7.68444 0.01 1 72 0
1375 322.117 8.03408 0.01 1 109 0
1416 320.277 8.27657 0.01 1 110 0
1484 293.228 8.21273 0.01 1 13 0
1517 308.227 7.89759 0.01 1 72 0
1606 323.171 8.13622 0.01 1 111 0
1897 293.267 8.29965 0.01 1 14 0
1964 309.64 7.94765 0.01 1 72 0
2035 310.168 7.62453 0.01 1 72 0
2045 294.404 8.21273 0.01 1 14 0
2090 322.089 7.93712 0.01 1 111 0
2169 295.447 8.32483 0.01 1 14 0
2218 310.053 7.83872 0.01 1 72 0
2318 293.228 8.21273 0.01 1 14 0
2333 293.228 8.21273 0.01 1 13 0
2384 295.447 8.32483 0.01 1 14 0
2423 293.228 8.21273 0.01 1 14 0
2466 308.376 7.90595 0.01 1 72 0
2511 321.55 7.93712 0.01 1 110 0
2861 293.267 8.32405 0.01 1 13 0
2876 293.228 8.21273 0.01 1 14 0
2924 309.64 7.94765 0.01 1 72 0
2928 293.228 8.21273 0.01 1 14 0
2962 293.228 8.21273 0.01 1 14 0
3026 311.169 8.30838 0.01 1 72 0
3044 322.92 8.02493 0.01 1 111 0
3047 294.404 8.21273 0.01 1 14 0
3056 307.043 7.90097 0.01 1 72 0
3058 293.228 8.21273 0.01 1 14 0
3141 322.117 7.93712 0.01 1 109 0
3149 310.237 8.43132 0.01 1 72 0
3265 293.228 8.21273 0.01 1 14 0
3283 310.168 7.7893 0.01 1 72 0
3312 309.982 8.17659 0.01 1 72 0
3322 323.171 8.13622 0.01 1 109 0
3420 308.303 7.90595 0.01 1 72 0
3565 293.228 8.21273 0.01 1 14 0
3651 308.227 7.89759 0.01 1 72 0
3784 320.585 7.93712 0.01 1 110 0
3795 322.117 8.02657 0.01 1 109 0
3810 308.303 7.90595 0.01 1 72 0
3975 308.77 7.94062 0.01 1 72 0
3977 306.86 7.86708 0.01 1 72 0
4006 311.716 8.01109 0.01 1 72 0
4051 311.486 7.66376 0.01 1 72 0
4067 309.918 7.68444 0.01 1 72 0
4099 309.52 8.20197 0.01 1 72 0
4102 293.228 8.21273 0.01 1 14 0
4139 310.127 8.05634 0.01 1 72 0
4151 293.228 8.21273 0.01 1 14 0
4209 309.918 7.68444 0.01 1 72 0
4228 293.228 8.21273 0.01 1 14 0
4264 311.443 7.76691 0.01 1 72 0
4282 308.303 7.90595 0.01 1 72 0
4287 306.997 7.89759 0.01 1 72 0
4426 311.615 7.91023 0.01 1 72 0
4499 310.168 7.7893 0.01 1 72 0
4601 293.228 8.20816 0.01 1 13 -7.63871e-05
4621 293.228 8.21273 0.01 1 13 0
4637 310.168 7.78939 0.01 1 72 0
4651 295.447 8.32483 0.01 1 14 0
4664 293.228 8.21273 0.01 1 14 0
4667 310.053 7.83872 0.01 1 72 0
4932 291.949 8.21273 0.01 1 13 0
4978 310.168 7.88884 0.01 1 72 0
5003 322.117 7.93712 0.01 1 109 0
5007 293.228 8.21273 0.01 1 14 0
5084 310.089 7.75113 0.01 1 72 0
5087 306.109 8.00101 0.01 1 72 0
5130 293.228 8.10006 0.01 1 14 -0.00193806
5162 310.168 7.78747 0.01 1 72 0
5219 309.52 8.33661 0.01 1 72 0
5261 311.486 7.66376 0.01 1 72 0
5288 306.203 7.89263 0.01 1 72 0
5312 322.92 8.02493 0.01 1 111 0
5412 291.949 8.21273 0.01 1 14 0
5414 322.92 8.02493 0.01 1 111 0
5450 293.267 8.32405 0.01 1 14 0
5517 307.108 7.96066 0.01 1 72 0
5545 322.172 8.13622 0.01 1 110 0
5803 293.228 8.21273 0.01 1 14 0
5810 322.089 7.93712 0.01 1 111 0
5975 293.267 8.2133 0.01 1 12 0
6044 309.52 8.33661 0.01 1 72 0
6108 310.552 7.93048 0.01 1 72 0
6156 293.228 8.21273 0.01 1 14 0
6212 310.168 7.93048 0.01 1 72 0
6299 311.746 7.7528 0.01 1 72 0
6427 293.267 8.32405 0.01 1 13 0
6442 309.064 7.4779 0.01 1 72 0
6529 308.926 7.9529 0.01 1 72 0
6553 291.949 8.21273 0.01 1 13 0
6609 308.227 7.89759 0.01 1 72 0
6806 306.86 7.86708 0.01 1 72 0
6862 308.925 7.94382 0.01 1 72 0
6964 306.659 7.78308 0.01 1 72 0
7045 308.303 7.90595 0.01 1 72 0
7067 310.168 7.7893 0.01 1 72 0
7120 310.168 7.7893 0.01 1 72 0
7168 293.228 8.21273 0.01 1 14 0
7240 308.303 7.90595 0.01 1 72 0
7275 293.228 8.33831 0.01 1 13 0
7318 309.566 8.17659 0.01 1 72 0
7324 310.575 7.75478 0.01 1 72 0
7430 293.267 8.28356 0.01 1 14 0
7469 293.228 8.21273 0.01 1 14 0
7512 308.405 8.08023 0.01 1 72 0
7643 322.117 7.98841 0.01 1 109 0
7662 293.618 8.32405 0.01 1 14 0
7756 310.448 7.9237 0.01 1 72 0
7773 308.405 7.93694 0.01 1 72 0
7846 293.228 8.33831 0.01 1 13 0
7905 310.509 7.64117 0.01 1 72 0
7933 307.488 7.60897 0.01 1 72 0
8034 320.277 8.46546 0.01 1 110 0
8050 293.228 8.21273 0.01 1 14 0
8125 293.267 8.29965 0.01 1 14 0
8139 295.447 8.32483 0.01 1 14 0
8158 309.064 7.4779 0.01 1 72 0
8244 310.168 7.921 0.01 1 72 0
8432 293.267 8.32405 0.01 1 14 0
8518 293.228 8.19232 0.01 1 14 0
8525 309.52 8.33661 0.01 1 72 0
8661 309.566 8.17659 0.01 1 72 0
8826 310.168 7.7893 0.01 1 72 0
8968 323.171 8.13622 0.01 1 109 0
8997 322.117 8.03408 0.01 1 110 0
9180 293.618 8.32405 0.01 1 14 0
9284 308.303 7.90595 0.01 1 72 0
9400 308.303 7.90595 0.01 1 72 0
9474 308.926 7.9529 0.01 1 72 0
9522 291.949 8.21273 0.01 1 14 0
9540 323.171 8.13622 0.01 1 110 0
