max_pf 106 min_pf 21
individual T0 sigma disp_rate r0 patch_no mut_eff
15 307.765 8.06375 0.01 1 72 0
67 306.944 8.64534 0.01 1 72 0
101 310.242 8.28503 0.01 1 72 0
113 298.757 8.03833 0.01 1 23 0
258 294.692 8.10351 0.01 1 23 0
298 293.46 8.03833 0.01 1 21 0
319 296.402 8.03833 0.01 1 23 0
466 294.692 8.03833 0.01 1 23 0
515 298.757 8.03833 0.01 1 23 0
520 320.464 8.03727 0.01 1 105 0.000461102
557 294.692 7.99653 0.01 1 23 0
564 294.692 8.04479 0.01 1 21 0
582 294.692 8.03833 0.01 1 23 0
639 308.349 8.14534 0.01 1 72 0
642 294.692 8.03833 0.01 1 23 0
648 310.721 8.16115 0.01 1 72 0
689 309.627 7.51345 0.01 1 72 0
691 311.747 8.17822 0.01 1 72 0
748 307.588 8.40082 0.01 1 72 0
757 298.757 8.09408 0.01 1 23 0
795 294.692 8.03833 0.01 1 22 0
827 319.79 7.88965 0.01 1 106 -0.00101909
860 292.66 8.03833 0.01 1 22 0
944 298.757 8.03833 0.01 1 22 0
949 307.765 8.06375 0.01 1 72 0
1043 308.165 8.64966 0.01 1 72 0
1050 321.167 7.99829 0.01 1 105 0
1061 320.464 7.97999 0.01 1 105 0
1102 298.757 8.03833 0.01 1 23 0
1131 294.692 8.03833 0.01 1 22 0
1134 294.692 8.04479 0.01 1 21 0
1175 294.692 8.04479 0.01 1 21 -0.00133759
1200 298.757 8.03833 0.01 1 23 0
1349 294.692 8.03833 0.01 1 23 0
1356 294.692 8.03833 0.01 1 23 0
1363 292.66 8.03833 0.01 1 22 0
1388 319.79 7.97989 0.01 1 104 0
1420 307.111 8.07015 0.01 1 72 0
1423 310.626 8.71988 0.01 1 72 0
1459 321.334 7.78003 0.01 1 106 -0.000987291
1495 305.936 8.77907 0.01 1 72 0
1519 293.82 8.10351 0.01 1 22 0.01246
1524 308.075 8.307 0.01 1 72 0
1652 307.849 8.15589 0.01 1 72 0
1667 294.692 8.03833 0.01 1 21 0
1694 298.757 8.03833 0.01 1 22 0
1735 306.839 7.25183 0.01 1 72 0
1736 296.402 7.98428 0.01 1 23 0
1745 294.692 8.03833 0.01 1 23 0
1770 310.004 8.031 0.01 1 72 0
1772 298.757 8.03833 0.01 1 22 0
1857 294.692 8.03833 0.01 1 22 0
1899 311.747 8.14449 0.01 1 72 0
1955 298.996 8.03833 0.01 1 22 0
1997 294.692 8.03833 0.01 1 22 0
2006 307.709 7.98132 0.01 1 72 0.000461563
2023 294.692 8.03833 0.01 1 23 0
2026 298.757 8.03833 0.01 1 23 0
2042 294.692 7.84892 0.01 1 23 0
2056 319.79 7.97989 0.01 1 105 0
2061 294.692 8.04914 0.01 1 23 0
2093 293.46 8.03833 0.01 1 23 0
2114 293.46 8.03833 0.01 1 22 0
2144 307.742 7.92182 0.01 1 72 0
2156 298.287 8.03833 0.01 1 23 0
2181 298.757 8.03833 0.01 1 23 0
2200 292.66 8.03833 0.01 1 23 0
2241 307.111 8.07015 0.01 1 72 0
2291 296.402 8.03833 0.01 1 23 0
2303 296.402 8.03833 0.01 1 23 0
2338 294.692 8.04479 0.01 1 21 0
2429 307.15 8.15147 0.01 1 72 0
2450 298.757 8.03833 0.01 1 23 0
2473 298.996 7.98196 0.01 1 23 0
2485 294.692 8.03833 0.01 1 23 0
2496 294.692 8.29307 0.01 1 23 0.00443169
2543 298.757 8.03833 0.01 1 23 0
2548 298.757 8.03833 0.01 1 23 0
2549 292.66 8.03833 0.01 1 22 0
2554 294.692 8.03833 0.01 1 23 0
2584 321.167 7.99829 0.01 1 106 0
2596 294.692 8.03833 0.01 1 23 0
2614 294.692 8.03833 0.01 1 23 0
2617 293.46 8.03833 0.01 1 23 0
2634 299.091 8.00947 0.01 1 23 0
2639 294.692 8.03833 0.01 1 23 0
2647 296.402 8.05818 0.01 1 23 0
2655 319.79 7.97989 0.01 1 106 0
2660 294.692 8.03833 0.01 1 23 0
2661 298.757 8.09408 0.01 1 23 0
2673 308.125 8.06375 0.01 1 72 0
2689 307.41 7.70875 0.01 1 72 0
2690 294.692 8.03833 0.01 1 23 0
2737 294.692 8.07641 0.01 1 23 0.000675038
2751 294.692 8.03833 0.01 1 23 0
2769 311.747 8.17822 0.01 1 72 0
2905 319.79 7.97989 0.01 1 106 0
2920 308.809 8.32915 0.01 1 72 0
2958 296.402 8.03833 0.01 1 23 0
2994 310.191 7.92182 0.01 1 72 0.000257656
3008 294.692 8.03833 0.01 1 22 0
3033 296.402 8.03833 0.01 1 23 0
3060 294.692 7.84892 0.01 1 22 -0.00342485
3069 320.464 8.03032 0.01 1 105 0
3079 306.944 8.72293 0.01 1 72 0
3127 298.996 8.03833 0.01 1 23 0
3164 294.692 8.03833 0.01 1 22 0
3166 294.692 8.10351 0.01 1 23 0
3175 309.395 8.22631 0.01 1 72 0
3186 298.757 8.43569 0.01 1 23 0
3191 294.692 8.04855 0.01 1 23 0
3196 294.692 8.03833 0.01 1 22 0
3280 294.692 8.03833 0.01 1 22 0
3285 292.66 8.03833 0.01 1 22 0
3290 294.692 8.03833 0.01 1 23 0
3294 306.941 8.02028 0.01 1 72 0
3324 294.692 8.03833 0.01 1 22 0
3325 306.763 7.78469 0.01 1 72 0
3337 294.692 8.03833 0.01 1 22 0
3338 308.165 8.64966 0.01 1 72 0
3351 307.41 7.50635 0.01 1 72 0
3406 298.757 8.09408 0.01 1 23 0
3411 294.164 8.03833 0.01 1 23 0.00751074
3482 320.415 7.93106 0.01 1 104 0
3517 294.692 8.03833 0.01 1 23 0
3578 310.626 8.71988 0.01 1 72 0
3632 297.888 7.91855 0.01 1 23 0
3664 307.111 8.07015 0.01 1 72 0
3671 309.156 8.18763 0.01 1 72 0
3717 298.757 8.03833 0.01 1 23 0
3751 294.692 8.03833 0.01 1 22 0
3863 307.15 8.18614 0.01 1 72 -0.000133067
3927 294.692 8.03833 0.01 1 23 0
3985 294.692 8.03833 0.01 1 23 0
4064 320.464 8.03032 0.01 1 104 0
4079 296.402 8.03833 0.01 1 23 0
4114 307.111 8.07015 0.01 1 72 0
4137 299.091 8.00947 0.01 1 23 0
4214 310.652 8.031 0.01 1 72 0
4222 319.79 8.01347 0.01 1 104 0
4250 298.996 8.03833 0.01 1 23 0
4305 297.791 8.03833 0.01 1 23 0
4318 294.692 8.03833 0.01 1 23 0
4429 298.757 8.03833 0.01 1 23 0
4437 297.888 7.91855 0.01 1 23 0
4474 294.692 8.03833 0.01 1 23 0
4493 298.757 8.43569 0.01 1 23 0
4525 294.692 7.99653 0.01 1 22 0
4602 292.66 8.03833 0.01 1 22 0
4607 294.692 8.09729 0.01 1 23 0
4622 294.744 8.07749 0.01 1 23 0
4639 309.627 7.56492 0.01 1 72 0
4642 298.996 8.03833 0.01 1 22 0
4699 307.111 8.07015 0.01 1 72 0
4706 294.692 8.03833 0.01 1 23 0
4722 307.392 7.79295 0.01 1 72 0
4827 294.692 8.03833 0.01 1 23 0
4828 294.692 8.03833 0.01 1 23 0
4860 298.757 8.03833 0.01 1 23 0
4895 292.66 8.03833 0.01 1 22 0
4931 307.407 8.12978 0.01 1 72 0
4940 320.415 7.82309 0.01 1 104 0
4953 305.936 8.77907 0.01 1 72 0
