max_pf 116 min_pf 4
individual T0 sigma disp_rate r0 patch_no mut_eff
56 325.711 8.00314 0.01 1 114 0
94 306.685 8.67522 0.01 1 72 0
105 290.532 8.78847 0.01 1 4 0
115 309.694 8.22845 0.01 1 72 0
380 290.532 8.62743 0.01 1 6 0
463 290.532 8.78847 0.01 1 6 0
598 308.58 8.1095 0.01 1 72 0
643 290.532 8.78847 0.01 1 6 0
714 310.376 7.91108 0.01 1 72 0
718 309.819 8.13153 0.01 1 72 0
720 290.581 8.78847 0.01 1 6 0
748 290.532 8.62743 0.01 1 6 0
901 312.059 8.22944 0.01 1 72 0
1078 307.958 8.11896 0.01 1 72 0
1089 308.852 7.96052 0.01 1 72 0
1146 311.807 8.22944 0.01 1 72 0
1199 308.852 8.01002 0.01 1 72 0
1313 309.774 8.18921 0.01 1 72 0
1320 325.711 8.00314 0.01 1 114 0
1401 289.102 8.62743 0.01 1 6 0
1403 290.532 8.78847 0.01 1 6 0
1447 308.578 8.40811 0.01 1 72 0
1468 307.582 8.32445 0.01 1 72 0
1483 308.427 8.10818 0.01 1 72 0
1521 290.532 8.62743 0.01 1 6 0
1631 309.671 8.03485 0.01 1 72 0
1769 307.02 8.52726 0.01 1 72 0
1856 308.683 7.87889 0.01 1 72 0
1998 292.703 8.5843 0.01 1 4 0
2035 290.532 8.78847 0.01 1 6 0
2089 290.532 8.62743 0.01 1 5 0
2138 308.645 7.96694 0.01 1 72 0
2139 306.7 8.24016 0.01 1 72 0
2150 308.645 7.96694 0.01 1 72 0
2265 325.274 8.04633 0.01 1 115 0.000533164
2266 309.341 8.13153 0.01 1 72 0
2298 290.532 8.62743 0.01 1 6 0
2318 290.532 8.62743 0.01 1 6 0
2325 289.102 8.62743 0.01 1 5 0
2373 290.885 8.62743 0.01 1 6 0
2410 290.532 8.62743 0.01 1 6 0
2418 290.532 8.62743 0.01 1 6 0
2472 308.429 8.1095 0.01 1 72 0
2488 309.341 8.13153 0.01 1 72 0
2493 290.532 8.62743 0.01 1 6 0
2543 306.7 8.24016 0.01 1 72 0
2563 290.532 8.62743 0.01 1 6 0
2584 290.532 8.78847 0.01 1 6 0
2703 308.645 7.96694 0.01 1 72 0
2789 292.703 8.5843 0.01 1 5 0
2808 290.581 8.78847 0.01 1 6 0
2831 325.274 8.00314 0.01 1 114 0
2875 308.427 8.10818 0.01 1 72 0
2974 309.546 8.02532 0.01 1 72 0
3125 289.158 8.62743 0.01 1 5 0
3154 311.807 8.22944 0.01 1 72 0
3212 289.158 8.62743 0.01 1 6 0
3241 310.376 7.91108 0.01 1 72 0
3250 292.002 8.58163 0.01 1 6 0
3294 310.376 7.91108 0.01 1 72 0
3353 308.645 7.80197 0.01 1 72 0
3510 311.807 8.22944 0.01 1 72 0
3544 289.158 8.55536 0.01 1 6 0
3683 290.532 8.78847 0.01 1 5 0
3752 290.532 8.62743 0.01 1 6 0
3760 309.341 8.13153 0.01 1 72 0
3783 308.852 8.01002 0.01 1 72 0
3808 290.532 8.78847 0.01 1 5 0
3897 309.341 8.13153 0.01 1 72 0
3986 290.532 8.62743 0.01 1 5 0
4053 309.355 7.92964 0.01 1 72 0
4072 290.532 8.62743 0.01 1 5 0
4139 290.532 8.62743 0.01 1 6 0
4264 312.059 8.22944 0.01 1 72 0
4311 308.094 8.26386 0.01 1 72 0
4373 289.158 8.62743 0.01 1 6 0
4421 290.532 8.62743 0.01 1 5 0
4455 309.341 7.91108 0.01 1 72 0
4591 290.532 8.78847 0.01 1 6 0
4857 290.532 8.62743 0.01 1 5 0
4931 308.578 8.40811 0.01 1 72 0
4952 290.532 8.62743 0.01 1 6 0
5018 325.274 8.02853 0.01 1 114 0
5091 290.532 8.69598 0.01 1 6 0
5133 292.703 8.5843 0.01 1 6 0
5167 289.158 8.55536 0.01 1 5 0
5371 290.532 8.78847 0.01 1 6 0
5396 308.58 8.1095 0.01 1 72 0
5494 290.532 8.78847 0.01 1 6 0
5523 308.58 8.03159 0.01 1 72 -5.1707e-06
5583 290.532 8.62743 0.01 1 6 0
5686 306.516 8.16937 0.01 1 72 0
5799 290.532 8.78847 0.01 1 4 0
5838 290.532 8.78847 0.01 1 6 0
5841 310.638 8.02532 0.01 1 72 0
5880 292.703 8.5843 0.01 1 6 0
6025 290.532 8.62743 0.01 1 6 0
6068 290.532 8.62743 0.01 1 6 0
6148 325.274 8.00314 0.01 1 116 0
6180 295.012 8.40501 0.01 1 6 0
6385 308.429 8.1095 0.01 1 72 0
6445 290.532 8.69753 0.01 1 6 0
6466 292.02 8.48546 0.01 1 5 0
6469 311.807 8.22944 0.01 1 72 0
6707 312.772 8.29152 0.01 1 72 0
6712 290.532 8.78847 0.01 1 5 0
6739 309.731 8.14405 0.01 1 72 0
6740 290.532 8.78847 0.01 1 5 0
6764 290.885 8.62743 0.01 1 5 0
6788 290.532 8.69598 0.01 1 4 0
7015 308.427 8.10818 0.01 1 72 0
7023 291.174 8.69753 0.01 1 6 -0.00582563
7216 309.357 7.91108 0.01 1 72 0
7340 289.158 8.62743 0.01 1 6 0
7351 290.532 8.62743 0.01 1 5 0
7367 325.711 8.00314 0.01 1 114 0
7374 325.274 8.02853 0.01 1 115 0
7464 290.532 8.62743 0.01 1 4 0
7503 290.532 8.78847 0.01 1 6 0
7510 309.694 8.22845 0.01 1 72 0
8021 310.175 8.04915 0.01 1 72 0
8024 310.376 7.91108 0.01 1 72 0
8034 290.532 8.6304 0.01 1 6 0
8084 292.703 8.5843 0.01 1 6 0
8235 290.532 8.78847 0.01 1 6 0
8268 290.532 8.62743 0.01 1 5 0
8313 290.532 8.62743 0.01 1 6 0
8331 306.202 8.06752 0.01 1 72 0
8335 289.158 8.62743 0.01 1 5 0
8393 325.274 8.00314 0.01 1 116 0
8509 289.158 8.6004 0.01 1 6 -0.000453025
8538 308.511 7.80197 0.01 1 72 0
8563 290.532 8.62743 0.01 1 6 0
8813 290.532 8.62743 0.01 1 6 0
8889 290.532 8.62743 0.01 1 6 0
8930 308.852 8.01002 0.01 1 72 0
8967 290.532 8.78847 0.01 1 6 0
8979 290.532 8.62743 0.01 1 6 0
9004 290.532 8.62743 0.01 1 4 0
9020 290.885 8.62743 0.01 1 6 0
9149 290.532 8.62743 0.01 1 6 0
9192 289.115 8.69753 0.01 1 5 0
9202 307.582 8.32445 0.01 1 72 0
9257 289.158 8.55536 0.01 1 6 0
9347 290.532 8.78847 0.01 1 6 0
9387 325.274 8.02853 0.01 1 114 0
9393 290.532 8.62743 0.01 1 5 0
9406 290.532 8.62743 0.01 1 6 0
9647 308.645 7.96694 0.01 1 72 0
9666 308.07 7.96694 0.01 1 72 0
9704 290.532 8.62743 0.01 1 6 0
9747 290.532 8.62743 0.01 1 5 0
9777 290.532 8.78847 0.01 1 5 0
9784 309.722 7.89038 0.01 1 72 -2.19047e-06
10081 325.274 8.00314 0.01 1 115 0
10275 325.274 8.00314 0.01 1 116 0
10305 310.376 7.91108 0.01 1 72 0
10340 290.532 8.62743 0.01 1 6 0
10342 290.532 8.62743 0.01 1 6 0
10496 290.532 8.62743 0.01 1 5 0
10565 306.7 8.254 0.01 1 72 0
10668 290.532 8.83619 0.01 1 6 0.00075119
10686 290.532 8.78847 0.01 1 6 0
10750 309.355 7.92964 0.01 1 72 0
10908 311.807 8.22944 0.01 1 72 0
10912 289.158 8.62743 0.01 1 5 0
10930 290.532 8.78847 0.01 1 6 0
11108 310.638 8.01324 0.01 1 72 0
11152 290.532 8.69598 0.01 1 5 0
11239 309.341 7.91108 0.01 1 72 0
11285 308.427 8.10818 0.01 1 72 0
11334 290.532 8.69753 0.01 1 6 0
11479 310.376 7.91108 0.01 1 72 0
11495 311.807 8.22944 0.01 1 72 0
11562 311.807 8.22944 0.01 1 72 0
11608 309.341 8.17991 0.01 1 72 0
11699 290.532 8.62743 0.01 1 6 0
11755 309.341 7.91108 0.01 1 72 0
11891 307.02 8.52726 0.01 1 72 0
12006 290.532 8.62743 0.01 1 6 0
12267 290.532 8.78847 0.01 1 6 0
12276 310.638 8.02532 0.01 1 72 0
12347 290.532 8.69753 0.01 1 6 0
12415 308.58 8.15556 0.01 1 72 2.99513e-06
12478 309.355 7.92964 0.01 1 72 0
12590 290.532 8.69598 0.01 1 4 0
12733 290.532 8.62743 0.01 1 5 0
12780 307.958 8.11896 0.01 1 72 0
12806 309.724 8.00923 0.01 1 72 0
12856 309.341 8.13153 0.01 1 72 0
12857 290.532 8.78847 0.01 1 6 0
12942 325.274 8.02853 0.01 1 114 0
12968 290.532 8.62743 0.01 1 6 0
13048 309.341 8.13153 0.01 1 72 0
13073 290.532 8.62743 0.01 1 6 0
13237 290.885 8.62743 0.01 1 6 0
13272 290.532 8.62743 0.01 1 5 0
13556 290.532 8.62743 0.01 1 6 0
13586 290.532 8.65002 0.01 1 5 0
13619 308.094 8.10907 0.01 1 72 0
13691 311.807 8.22944 0.01 1 72 0
