max_pf 103 min_pf 32
individual T0 sigma disp_rate r0 patch_no mut_eff
22 308.051 8.36554 0.01 1 72 -0.000738814
48 308.64 8.04708 0.01 1 72 0
63 302.568 7.96178 0.01 1 33 0
121 309.866 8.35927 0.01 1 72 0
173 306.258 8.06592 0.01 1 72 0
207 309.737 7.94648 0.01 1 72 0
247 302.568 8.0706 0.01 1 34 0
257 302.568 8.0706 0.01 1 33 0
281 307.002 8.1782 0.01 1 72 -0.00374538
320 302.568 8.0706 0.01 1 34 0
473 302.568 7.96178 0.01 1 33 0
481 306.611 8.20533 0.01 1 72 0
497 310.349 8.24606 0.01 1 72 0
500 300.923 7.94095 0.01 1 34 0
514 308.804 8.12789 0.01 1 72 0
552 307.434 8.25478 0.01 1 72 0
566 302.568 8.0706 0.01 1 33 0
600 318.119 7.6575 0.01 1 101 0
605 317.069 7.82579 0.01 1 102 0
634 317.069 7.6575 0.01 1 101 0
661 309.485 7.72223 0.01 1 72 0
691 302.568 8.0706 0.01 1 34 0
755 307.296 7.95994 0.01 1 72 0
791 303.73 8.0706 0.01 1 33 0
828 308.598 8.45545 0.01 1 72 0
895 309.097 8.00717 0.01 1 72 0
908 317.069 7.6575 0.01 1 101 0
921 309.866 8.19098 0.01 1 72 0
1047 309.363 8.00972 0.01 1 72 0
1068 317.069 7.6575 0.01 1 101 0
1124 303.73 8.0706 0.01 1 33 0
1133 302.568 8.0706 0.01 1 34 0
1151 302.568 8.0706 0.01 1 33 0
1202 302.568 8.0706 0.01 1 34 0
1247 302.568 8.0706 0.01 1 34 0
1254 307.961 7.88953 0.01 1 72 0
1272 302.568 8.0706 0.01 1 33 0
1281 304.689 8.33526 0.01 1 34 0
1289 302.568 7.96178 0.01 1 33 0
1408 303.73 7.9618 0.01 1 34 0
1516 316.974 7.6575 0.01 1 101 0
1550 317.069 7.6575 0.01 1 102 0
1663 307.368 8.21801 0.01 1 72 0
1711 309.866 8.19098 0.01 1 72 0
1726 308.758 7.79202 0.01 1 72 0
1728 307.865 8.21315 0.01 1 72 0
1743 309.866 8.45545 0.01 1 72 0
1781 309.918 8.24065 0.01 1 72 0
1784 302.568 8.0706 0.01 1 34 0
1831 302.568 7.96178 0.01 1 33 0
1858 307.296 7.95994 0.01 1 72 0
1923 308.238 7.98942 0.01 1 72 0
2022 302.568 8.0706 0.01 1 34 0
2043 302.568 8.0706 0.01 1 34 0
2045 317.069 7.6575 0.01 1 102 0
2274 317.069 7.69026 0.01 1 102 0
2339 304.689 8.33526 0.01 1 34 0
2353 309.614 8.36554 0.01 1 72 0
2361 302.568 8.0706 0.01 1 33 0
2369 309.429 8.22047 0.01 1 72 0
2412 302.568 8.0706 0.01 1 33 0
2417 317.069 7.69026 0.01 1 102 0
