max_pf 109 min_pf 25
individual T0 sigma disp_rate r0 patch_no mut_eff
3 321.632 7.94818 0.01 1 107 0
48 309.273 8.3259 0.01 1 72 0
111 299.282 8.4461 0.01 1 26 0
124 308.426 8.00561 0.01 1 72 0
134 319.65 8.12361 0.01 1 107 -0.0177168
211 298.043 8.4461 0.01 1 25 0
274 320.124 7.9673 0.01 1 108 0
396 305.475 8.08798 0.01 1 72 0
421 300.227 8.67674 0.01 1 27 0
437 308.426 8.03166 0.01 1 72 0
549 298.043 8.4461 0.01 1 26 0
626 322.272 7.93121 0.01 1 107 0
689 308.219 8.27971 0.01 1 72 0
697 307.359 8.61384 0.01 1 72 0
707 298.043 8.4461 0.01 1 27 0
754 307.207 8.35882 0.01 1 72 -2.57939e-05
878 297.67 8.4461 0.01 1 27 0
946 310.927 7.96005 0.01 1 72 0
984 302.303 8.44745 0.01 1 27 -0.0158991
991 307.838 8.00372 0.01 1 72 -0.000672176
1007 308.426 8.03166 0.01 1 72 0
1050 321.145 7.9673 0.01 1 108 0
1091 298.043 8.4461 0.01 1 26 0
1113 320.922 8.06432 0.01 1 108 0
1158 308.426 8.14438 0.01 1 72 0
1187 298.043 8.4461 0.01 1 27 0
1210 297.278 8.35941 0.01 1 27 0
1238 299.282 8.4461 0.01 1 26 0
1317 298.335 8.4461 0.01 1 26 0
1348 297.547 8.4461 0.01 1 27 0.00637528
1410 308.098 8.33015 0.01 1 72 0
1417 298.043 8.4461 0.01 1 27 0
1424 308.239 7.95506 0.01 1 72 0
1447 297.278 8.35941 0.01 1 26 0
1463 319.65 8.12361 0.01 1 107 0
1496 300.489 8.44745 0.01 1 26 0
1521 298.335 8.4461 0.01 1 27 0
1612 309.273 8.3259 0.01 1 72 0
1681 319.724 7.9673 0.01 1 108 0
1723 298.335 8.4461 0.01 1 27 0
1730 308.426 8.14438 0.01 1 72 0
1735 307.31 8.3769 0.01 1 72 0
1826 308.426 8.03166 0.01 1 72 0
1829 310.134 8.14375 0.01 1 72 0.00404359
1892 299.647 8.52564 0.01 1 27 0
1904 319.724 7.9673 0.01 1 107 0
1926 301.326 8.4461 0.01 1 27 0
1966 298.043 8.4461 0.01 1 26 0
1968 298.043 8.4461 0.01 1 27 0
1970 307.897 7.8179 0.01 1 72 0
1989 321.145 7.9673 0.01 1 108 0
2017 309.273 8.3259 0.01 1 72 0
2021 320.323 7.93801 0.01 1 107 0
2065 298.043 8.4461 0.01 1 27 0
2067 309.375 8.25226 0.01 1 72 0
2084 322.272 7.93121 0.01 1 107 0
2208 298.043 8.4461 0.01 1 27 0
2226 299.888 8.49343 0.01 1 27 0
2240 302.302 8.47172 0.01 1 27 0
2367 299.282 8.4461 0.01 1 26 0
2371 298.043 8.4461 0.01 1 26 0
2375 308.426 8.03166 0.01 1 72 0
