 time_step hot_dSr q_25_hot_br_dSr q_75_hot_br_dSr hot_wr_dSr q_25_hot_wr_dSr q_75_hot_wr_dSr cold_dSr q_25_cold_br_dSr q_75_cold_br_dSr cold_wr_dSr q_25_cold_wr_dSr q_75_cold_wr_dSr
22 2044.0 -0.00888137 -0.00909969 -0.0087056975 7.369152578325194e-08 3.126702063731675e-08 1.6620931249525047e-07 -0.00906401 -0.0091507125 -0.008931235 1.2963997449714296e-07 8.617466029862263e-08 1.9202337161726832e-07
23 2046.0 -0.00888137 -0.0090935925 -0.008685535000000001 6.726697645674617e-08 2.9726325902133465e-08 1.6451808080623033e-07 -0.009064305 -0.009161415000000001 -0.008938943750000001 1.2424988597004825e-07 8.149852535549944e-08 1.899278940633935e-07
24 2048.0 -0.00886494 -0.00909969 -0.0086824625 6.53463676420124e-08 2.669745205154678e-08 1.3988938725885916e-07 -0.009064305 -0.009162295 -0.008943656250000001 1.249851324228121e-07 7.886094511915597e-08 1.9152275447670442e-07
25 2050.0 -0.008883775 -0.009116565 -0.008699377500000001 4.954747013490864e-08 2.2285521400246614e-08 1.3556491046332898e-07 -0.009037864999999999 -0.009162295 -0.0089352175 1.1989750886224396e-07 8.015063935433212e-08 1.88519221333469e-07
26 2052.0 -0.008875322500000001 -0.00909969 -0.008685535000000001 4.562019250256843e-08 2.38356049272809e-08 1.3688601938698986e-07 -0.009065424999999998 -0.0091589775 -0.00892635 1.195274814936694e-07 8.284467101674385e-08 1.9919901773394904e-07
27 2054.0 -0.008884884999999999 -0.0091493025 -0.008685535000000001 4.7465053609092435e-08 2.2330079617004833e-08 1.216061195276836e-07 -0.009077855 -0.0091666 -0.008928541250000002 1.1769382042726632e-07 8.019209595957919e-08 1.9743287513010573e-07
28 2056.0 -0.00887516 -0.009165655 -0.008685535000000001 4.472952748974649e-08 1.778895425624717e-08 1.2056393081891561e-07 -0.009069645 -0.0091666 -0.008907265 1.1952571523316438e-07 7.876434718947349e-08 1.8864566531656875e-07
29 2058.0 -0.008884884999999999 -0.0091408625 -0.0086824625 4.135548135024565e-08 1.4536273791452751e-08 1.1920440856654611e-07 -0.009077855 -0.009183855000000001 -0.00891035 1.1307489274290073e-07 7.6395230986961e-08 1.8045543076419642e-07
30 2060.0 -0.008884884999999999 -0.009147615 -0.0086824625 3.6334573157993145e-08 1.2814873867988928e-08 1.1007868625230074e-07 -0.009092915 -0.0091975 -0.008907265 1.138162078262958e-07 7.593819915017646e-08 1.8247859088033195e-07
31 2062.0 -0.008884884999999999 -0.0091445 -0.0086831075 2.8055070125590533e-08 1.2743403950930447e-08 7.372065759924156e-08 -0.00908953 -0.009213315 -0.008922705 1.0894263013951324e-07 7.374316673518457e-08 1.8016498858169748e-07
32 2064.0 -0.00888833 -0.0091493025 -0.0086831075 2.5485705044109958e-08 1.007942750130798e-08 6.629627005553936e-08 -0.009083885 -0.009225435 -0.0089096725 1.0566482417352543e-07 6.827575265147236e-08 1.7546813954498817e-07
33 2066.0 -0.008882075 -0.0091632 -0.008680252500000001 2.358510537765414e-08 9.23509084789375e-09 6.351345633723456e-08 -0.009079475 -0.009216212500000001 -0.00890789 1.0239248151584e-07 6.612495050435228e-08 1.7755361103727656e-07
