 time_step hot_mut_eff q_25_hot_br_mut_eff q_75_hot_br_mut_eff hot_wr_mut_eff q_25_hot_wr_mut_eff q_75_hot_wr_mut_eff cold_mut_eff q_25_cold_br_mut_eff q_75_cold_br_mut_eff cold_wr_mut_eff q_25_cold_wr_mut_eff q_75_cold_wr_mut_eff
0 2000.0 0.00084304825 0.000648926875 0.0010339149999999998 3.6633837861927747e-06 2.4512025101341886e-06 6.225788762942538e-06 0.00022696725 0.000186484375 0.00030074812500000003 7.339254888977872e-07 4.2639448292511885e-07 1.6434389357430263e-06
1 2002.0 0.0008248535 0.00061118625 0.0010503049999999999 3.619071372309192e-06 2.4700839944219736e-06 6.206827655236428e-06 0.0002288295 0.000176068375 0.00031465075 7.690569192738011e-07 4.3715670690904666e-07 1.5188913929803643e-06
2 2004.0 0.00083104575 0.000589538375 0.00112199875 3.507101956368986e-06 2.357008321822348e-06 6.7802097235726075e-06 0.000227947 0.000176450375 0.000320801625 8.346904182029044e-07 4.311497576445171e-07 1.4964779216608516e-06
3 2006.0 0.000883043 0.0006036275 0.00125751375 3.5719919380258083e-06 1.9009915726729001e-06 6.68929226464302e-06 0.000222966 0.00016558925 0.00034795337500000004 6.643665774993227e-07 4.320170703882133e-07 1.3058871557999912e-06
4 2008.0 0.000875451 0.000603035125 0.001192135 3.920702462218153e-06 1.996891024876632e-06 6.155511643876344e-06 0.000238154 0.0001599415 0.00032284675 6.193555613881429e-07 4.0843373491285715e-07 1.2490943081605277e-06
5 2010.0 0.00085919975 0.0006285568749999999 0.0012315062500000001 3.513802881497105e-06 2.2776391668047207e-06 6.204899330182839e-06 0.000215862 0.000163071125 0.000308620125 6.482533172536586e-07 3.742148807832038e-07 1.2850866701825815e-06
6 2012.0 0.0008586125 0.00064571225 0.00110182625 3.5675628769090467e-06 2.0895616502223494e-06 6.634726346997833e-06 0.00023278950000000002 0.00016669925 0.00030534725 6.861037505365938e-07 3.3529626681957547e-07 1.3827300282780068e-06
7 2014.0 0.000873834 0.000652865 0.0010869349999999998 3.3984466274066006e-06 2.150549415516797e-06 5.816302457436339e-06 0.0002300965 0.000163825375 0.000310169875 7.151150636532291e-07 3.4665615899531945e-07 1.325520015375548e-06
8 2016.0 0.00085797175 0.000616065875 0.00123926125 3.1856298871751835e-06 1.509517876469045e-06 5.727738300949903e-06 0.000229653 0.00016059899999999998 0.00030085050000000003 7.078449334869453e-07 3.167256217165392e-07 1.280280198120081e-06
9 2018.0 0.00094515075 0.0006524847500000001 0.0014349825000000002 3.6880377831293365e-06 1.895047373258859e-06 6.376651342741992e-06 0.0002249255 0.000145815125 0.000323597625 5.937475020158944e-07 3.327602665949755e-07 1.2859170393872054e-06
10 2020.0 0.000962302 0.00064571225 0.0014675062499999998 3.1880932278694146e-06 1.411821432961536e-06 6.62188864428621e-06 0.0002325215 0.000127200375 0.00033747025 4.975779106965364e-07 2.819622313940513e-07 1.3158814073364448e-06
11 2022.0 0.000901483 0.00070595375 0.001398775 3.2449321242634536e-06 1.523798980508298e-06 6.5959550591541165e-06 0.00020686875 0.000119932 0.000343928375 5.014582558611766e-07 2.162151492271321e-07 1.1887936107827515e-06
12 2024.0 0.000989871 0.0006638505000000001 0.00136720625 3.247349598292053e-06 1.9348659834521977e-06 6.636471853777527e-06 0.0002020785 0.00011599424999999999 0.00032523299999999997 4.895209462509738e-07 2.0869029897068853e-07 1.0614344271181532e-06
13 2026.0 0.0010690125 0.00070595375 0.001485925 3.812268329416166e-06 1.6755611736651622e-06 6.6145791952329326e-06 0.00018573925 0.00010231141250000001 0.00029187662500000005 4.31497684348436e-07 2.126171311441185e-07 9.647861723123833e-07
14 2028.0 0.00113209875 0.000724207875 0.00165153375 4.6940646111000695e-06 2.6295459932471433e-06 8.6160310817911e-06 0.00018488225000000001 0.0001102555 0.000293642375 4.7627333522404386e-07 2.7254738891285153e-07 7.614568926780945e-07
15 2030.0 0.001269415 0.00084353225 0.0016989337500000002 5.180901407436653e-06 2.4629044948470975e-06 1.0553226220036382e-05 0.00018376850000000001 0.00011266972499999999 0.00030736975 4.804248527888851e-07 2.9787227554338794e-07 7.634808556140902e-07
16 2032.0 0.0012753975 0.0008108239999999999 0.00163204 5.300812644432314e-06 2.62422481297175e-06 1.1295976905848798e-05 0.00018477825 0.000114649375 0.00030920825 4.839396534512916e-07 2.5634474080978416e-07 7.840015503395353e-07
17 2034.0 0.001281425 0.00084726525 0.00165232 5.968713661246073e-06 3.0898994650376294e-06 1.0636928600716244e-05 0.0001682115 9.5173675e-05 0.000274803625 4.4470108900299806e-07 2.3201766994420456e-07 7.351429735175528e-07
18 2036.0 0.0012882925 0.000816799625 0.001655875 5.916414836612302e-06 3.1306530902046756e-06 1.1364567354427678e-05 0.000164777 0.0001032706125 0.000241302 4.0313589127538896e-07 2.0203402505326496e-07 7.194088287479412e-07
19 2038.0 0.0013158 0.0009352218749999999 0.001920115 5.44368858721821e-06 2.9341972466755797e-06 1.0418695568985645e-05 0.0001396385 8.1080925e-05 0.00023600624999999998 3.786676299873267e-07 1.68102388611747e-07 6.987883998541869e-07
20 2040.0 0.001322705 0.00097762825 0.001915625 5.071747922845084e-06 2.3424731488928486e-06 9.853758267672032e-06 0.00015946500000000002 7.90097125e-05 0.000244241125 3.597855048455974e-07 1.291442870206577e-07 7.254834985861026e-07
