 time_step hot_dGr q_25_hot_br_dGr q_75_hot_br_dGr hot_wr_dGr q_25_hot_wr_dGr q_75_hot_wr_dGr cold_dGr q_25_cold_br_dGr q_75_cold_br_dGr cold_wr_dGr q_25_cold_wr_dGr q_75_cold_wr_dGr
0 2000.0 -0.16095199999999998 -0.1655065 -0.15661799999999998 0.00021750784057693025 0.0001800157661085451 0.00026628569419456875 -0.138996 -0.1440325 -0.1354475 0.0003132943204070198 0.00024615047188846645 0.0003838976706891707
1 2002.0 -0.160534 -0.16546525 -0.15669825 0.0002126154741559145 0.00017609567962169144 0.0002591972348468726 -0.1389985 -0.143900625 -0.13545275 0.0003146453720310797 0.0002445380696687334 0.00038217093465655016
2 2004.0 -0.161527 -0.16553125 -0.1571795 0.00020564869330838423 0.00017015515504063264 0.0002492754421496325 -0.1385555 -0.14361975 -0.135338375 0.0003083524987491906 0.0002441784409329992 0.00037943400465723597
3 2006.0 -0.161828 -0.16642375 -0.15738775 0.00019839632959509182 0.00016769458012930104 0.00024100581270186975 -0.1381735 -0.14278225 -0.1340095 0.0003114836109030669 0.0002290186554459075 0.00037513928660169987
4 2008.0 -0.1619565 -0.16642375 -0.15740525 0.0002004794658402153 0.0001660204702960454 0.00024490138378501945 -0.1377915 -0.14266125000000002 -0.13410325 0.00031072006357251613 0.00023164892956866186 0.0003706795410500619
5 2010.0 -0.16192 -0.16642375 -0.15688075 0.00020007362322064514 0.0001658428939290819 0.0002446072458299964 -0.1377915 -0.1429295 -0.13410325 0.0003074443756314018 0.00023264296978455274 0.00037137126116983614
6 2012.0 -0.1619315 -0.16619499999999998 -0.15737075 0.0001989970199527665 0.00016191631668838804 0.0002459861215205508 -0.1377915 -0.14315 -0.13410325 0.00031187371518203523 0.0002323571838000555 0.00036951928673165856
7 2014.0 -0.16228599999999999 -0.16613575 -0.15743075 0.00019737566660801533 0.00015949598240746213 0.00025340461852377385 -0.137743 -0.14280974999999999 -0.13429325 0.00030989043034508276 0.00023163692291509156 0.0003788571880673637
8 2016.0 -0.1628645 -0.16681525 -0.157874875 0.00019205098846914706 0.00015912052627404166 0.0002506890230981669 -0.137917 -0.14334075 -0.13410325 0.0003077574890765116 0.00023160498182469 0.0003822876866810645
9 2018.0 -0.1630855 -0.1675055 -0.158217 0.00018944016223773234 0.00015329999274058364 0.0002509175647087868 -0.1378345 -0.14359675 -0.13433125 0.0003105503160810005 0.00022947924764786472 0.00037070199136167404
