	time	range_hot	range_cold
0	2000	77	67
1	2002	77	66
2	2004	78	66
3	2006	78	66
4	2008	78	66
5	2010	78	66
6	2012	78	66
7	2014	78	66
8	2016	79	66
9	2018	79	66
10	2020	79	66
11	2022	80	65
12	2024	80	65
13	2026	80	65
14	2028	80	65
15	2030	80	65
16	2032	80	65
17	2034	81	65
18	2036	81	64
19	2038	81	64
20	2040	81	64
21	2042	81	64
22	2044	81	64
23	2046	82	64
24	2048	82	64
25	2050	82	64
26	2052	82	64
27	2054	82	64
28	2056	82	63
29	2058	82	63
30	2060	82	63
31	2062	83	63
32	2064	83	63
33	2066	83	63
34	2068	83	63
35	2070	83	63
36	2072	84	63
37	2074	84	62
38	2076	84	62
39	2078	84	62
40	2080	84	62
41	2082	84	62
42	2084	85	62
43	2086	85	62
44	2088	85	62
45	2090	86	62
46	2092	86	62
47	2094	86	62
48	2096	86	62
49	2098	87	62
50	2100	87	62
51	2102	87	62
52	2104	87	61
53	2106	88	61
54	2108	88	61
55	2110	88	61
56	2112	88	61
57	2114	88	61
58	2116	88	61
59	2118	89	61
60	2120	89	61
61	2122	89	61
62	2124	90	61
63	2126	90	61
64	2128	90	61
65	2130	90	60
66	2132	90	60
67	2134	90	60
68	2136	90	60
69	2138	90	60
70	2140	91	60
71	2142	91	60
72	2144	91	60
73	2146	91	60
74	2148	91	60
75	2150	92	58
76	2152	92	58
77	2154	92	57
78	2156	93	58
79	2158	93	58
80	2160	93	57
81	2162	94	57
82	2164	94	57
83	2166	95	57
84	2168	95	57
85	2170	96	57
86	2172	96	57
87	2174	96	57
88	2176	96	57
89	2178	97	57
90	2180	97	57
91	2182	97	57
92	2184	97	57
93	2186	98	57
94	2188	98	57
95	2190	98	56
96	2192	98	56
97	2194	98	56
98	2196	99	56
99	2198	99	56
100	2200	99	56
101	2202	99	56
102	2204	100	56
103	2206	100	56
104	2208	100	55
105	2210	100	55
106	2212	101	55
107	2214	101	55
108	2216	101	55
109	2218	102	55
110	2220	102	55
111	2222	102	55
112	2224	102	55
113	2226	103	55
114	2228	103	55
115	2230	104	55
116	2232	104	54
117	2234	105	54
118	2236	106	54
119	2238	106	54
120	2240	107	54
121	2242	107	54
122	2244	108	54
123	2246	108	54
124	2248	109	52
125	2250	109	52
126	2252	109	52
127	2254	110	52
128	2256	110	52
129	2258	110	52
130	2260	111	52
131	2262	111	52
132	2264	112	51
133	2266	112	51
134	2268	113	51
135	2270	113	51
136	2272	114	51
137	2274	114	51
138	2276	114	51
139	2278	114	51
140	2280	114	50
141	2282	115	50
142	2284	116	50
143	2286	116	50
144	2288	116	50
145	2290	116	50
146	2292	116	49
147	2294	117	49
148	2296	118	49
149	2298	119	49
150	2300	119	48
151	2302	120	48
152	2304	121	48
153	2306	122	48
154	2308	122	48
155	2310	123	46
156	2312	124	46
157	2314	127	46
158	2316	132	45
