 time_step hot_growth q_25_hot_br_growth q_75_hot_br_growth hot_wr_growth q_25_hot_wr_growth q_75_hot_wr_growth cold_growth q_25_cold_br_growth q_75_cold_br_growth cold_wr_growth q_25_cold_wr_growth q_75_cold_wr_growth
0 2000.0 0.22025384776282508 0.21837104415642744 0.2221493208365775 9.058668994023356e-05 8.169682197939479e-05 0.0001012902145869195 0.15336454765081417 0.15273959893484773 0.15429577814528952 4.408119544857154e-05 4.088553926148943e-05 4.89888338067049e-05
1 2002.0 0.2203747020731894 0.21854915250713075 0.22310537914170223 9.055885697229541e-05 8.11010219811492e-05 0.00010092930895795474 0.15338276492050695 0.15266615461699556 0.15422579838932443 4.450936396090921e-05 4.129787187351991e-05 4.7804899203879066e-05
2 2004.0 0.22399057285365512 0.22112686180530142 0.22599337652878815 7.942654922946999e-05 6.248325044058884e-05 8.647404259362975e-05 0.15240097121862062 0.14916011032569054 0.15360593412667134 3.8676914220411336e-05 2.4516809032316015e-05 4.477412116531334e-05
3 2006.0 0.22549311767295308 0.22361367584202443 0.2266482865723165 6.639786833298762e-05 5.5815805087464164e-05 7.519341540949826e-05 0.1489868369297015 0.14840470874998088 0.14946745648596524 2.3854849855225512e-05 1.999113576141672e-05 2.8702459372756885e-05
4 2008.0 0.22591094847635634 0.22403605735033122 0.2268675608467427 6.623252534586663e-05 5.741031341836467e-05 7.643295214691511e-05 0.1488554069847457 0.14834214465929013 0.14933907772076438 2.4166624598984467e-05 2.0242448615984666e-05 2.7991468898980408e-05
5 2010.0 0.2261563729255851 0.2244693357927693 0.22747127975808767 7.108686641492314e-05 6.068811034430525e-05 8.000181100670019e-05 0.1487237166007538 0.14825987600603482 0.14926256491931383 2.431544396333091e-05 2.1036955081735754e-05 2.7703397091265125e-05
6 2012.0 0.22660960262685337 0.22486029996662157 0.22794061481057887 7.40475815287127e-05 6.300789083071108e-05 8.367652077697714e-05 0.14870866674536717 0.14821105023307052 0.14919351764988625 2.593719276148173e-05 2.211525125565776e-05 2.8665820013013913e-05
7 2014.0 0.2271180258109886 0.22562408002882028 0.22892979222244184 7.598641369626888e-05 6.396810318913324e-05 8.832477697051712e-05 0.14867003286196537 0.14811446383191385 0.14906480368060837 2.6736729316297824e-05 2.287008166107912e-05 3.0343070108329695e-05
8 2016.0 0.22861012618857005 0.22636609590532167 0.23365121113211468 7.789542417171026e-05 6.60909348633592e-05 8.903851465566299e-05 0.14848905614973124 0.14754229867891372 0.14887362644915936 2.677612654958583e-05 2.3549273561035574e-05 3.0833041657573964e-05
9 2018.0 0.231437308455991 0.22792719860002486 0.23450560355384903 7.88459166782353e-05 6.530893804510698e-05 9.411191040616375e-05 0.14829001919551488 0.1471077780148214 0.1487546175848222 2.64790857503565e-05 2.3435713565694412e-05 3.133329151303941e-05
