max_pf 87 min_pf 41
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
4 0.500459 -0.00121073 -0.03501 0.01 60 60 0 0 0
16 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
20 0.502041 -0.00120594 -0.0434347 0.01 60 60 0 0 0
29 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
31 0.535937 -0.00110322 -0.0373424 0.01 60 60 0 0 0
48 0.516162 -0.00116315 -0.0216177 0.01 87 86 0 0 0
59 0.529731 -0.00112203 -0.0426819 0.01 43 43 0 0 0
81 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
82 0.523934 -0.00113959 -0.0487548 0.01 43 43 0 0 0
100 0.542661 -0.00108285 -0.0383769 0.01 41 41 0 0 0
105 0.5112 -0.00117818 -0.0133217 0.01 60 60 0 0 0
109 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
120 0.549227 -0.00106295 -0.0109144 0.01 60 60 0 0 0
122 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
129 0.542661 -0.00108285 -0.0487548 0.01 42 42 0 0 0
151 0.545071 -0.00107554 -0.0487548 0.01 41 41 0 0 0
153 0.542661 -0.00108285 -0.0487548 0.01 60 60 0 0 0
181 0.549227 -0.00106295 -0.0198512 0.01 60 60 0 0 0
183 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
184 0.500952 -0.00120924 -0.0218091 0.01 60 60 0 0 0
203 0.49631 -0.0012233 -0.0106253 0.01 85 85 0 0 0
230 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
244 0.542661 -0.00108285 -0.0561628 0.01 43 43 -0.00206752 0 -0.00740803
254 0.53251 -0.00111361 -0.0487548 0.01 43 43 0 0 0
260 0.542661 -0.00108285 -0.0487548 0.01 42 42 0 0 0
272 0.545071 -0.00107554 -0.0487548 0.01 41 41 0 0 0
276 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
277 0.534095 -0.0011088 -0.0620655 0.01 60 60 0 0 0
295 0.519911 -0.00115178 -0.0488146 0.01 60 60 0 0 0
297 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
308 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
312 0.544256 -0.00107801 -0.0487954 0.01 60 60 0 0 0
321 0.542661 -0.00108285 -0.0487548 0.01 42 42 0 0 0
338 0.539062 -0.00109375 -0.00925491 0.01 60 60 0 0 0
352 0.506711 -0.00119178 -0.0216177 0.01 86 86 0 0 0
355 0.532188 -0.00111458 -0.0487548 0.01 42 42 0.00612973 -0.0104727 0
363 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
378 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
383 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
384 0.51954 -0.00115291 -0.0237299 0.01 60 60 0 0 0
385 0.542661 -0.00108285 -0.0381133 0.01 43 43 0 0 0
400 0.50957 -0.00118312 -0.00409212 0.01 60 60 0 0 0
407 0.542661 -0.00108285 -0.0487548 0.01 42 42 0 0 0
454 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
492 0.49631 -0.0012233 -0.0216177 0.01 86 86 0 0 0
511 0.542661 -0.00108285 -0.0487548 0.01 42 42 0 0 0
526 0.532188 -0.00111458 -0.0487548 0.01 42 42 0 0 0
531 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
552 0.5112 -0.00117818 -0.014992 0.01 60 61 0 0 0
576 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
579 0.536251 -0.00110227 -0.00925491 0.01 60 60 0 0 0
584 0.507304 -0.00118999 -0.03501 0.01 60 60 0 0 0
586 0.510366 -0.00118071 -0.0434347 0.01 60 60 0 0 0
618 0.499747 -0.00121289 -0.0120838 0.01 60 60 0 0 0
621 0.542661 -0.00108285 -0.0351503 0.01 43 43 0 0 0
630 0.497876 -0.00121856 -0.0216177 0.01 87 87 0 0 0
636 0.497876 -0.00121856 -0.0216177 0.01 87 87 0 0 0
638 0.542661 -0.00108285 -0.0487548 0.01 42 42 0 0 0
657 0.553166 -0.00105101 -0.0250641 0.01 60 60 0 0 0
665 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
672 0.542661 -0.00108285 -0.0487548 0.01 42 42 0 0 0
686 0.5112 -0.00117818 -0.0200135 0.01 60 60 -0.000914842 0 -0.00502148
694 0.542661 -0.00108285 -0.0487548 0.01 42 43 0 0 0
714 0.510855 -0.00117923 -0.0171749 0.01 60 60 0 0 0
726 0.540968 -0.00108798 -0.0487548 0.01 43 44 0 0 0
727 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
728 0.546555 -0.00107105 -0.00925491 0.01 60 60 0 0 0
736 0.545071 -0.00107554 -0.0487548 0.01 41 41 0 0 0
752 0.488591 -0.00124669 -0.0174936 0.01 86 86 0.0365404 0 0.00412411
776 0.542661 -0.00108285 -0.0487548 0.01 43 44 0 0 0
787 0.49631 -0.0012233 -0.0216177 0.01 86 86 0 0 0
800 0.488591 -0.00124669 -0.0216177 0.01 86 86 0 0 0
811 0.536251 -0.00110227 -0.0387403 0.01 60 61 0 0 0
813 0.542661 -0.00108285 -0.0351503 0.01 43 43 0 0 0
824 0.503987 -0.00120004 -0.014992 0.01 60 60 0 0 0
827 0.488591 -0.00124669 -0.0174936 0.01 86 86 0 0 0
828 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
829 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
846 0.49631 -0.0012233 -0.0216177 0.01 86 86 0 0 0
852 0.49631 -0.0012233 -0.0256192 0.01 85 85 0 0 0
854 0.500952 -0.00120924 -0.0218091 0.01 60 60 0 0 0
855 0.5112 -0.00117818 -0.0120838 0.01 60 60 0 0 0
868 0.503987 -0.00120004 -0.014992 0.01 60 60 0 0 0
876 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
919 0.49631 -0.0012233 -0.0216177 0.01 86 86 0 0 0
934 0.495044 -0.00122714 -0.00941077 0.01 60 60 0 0 0
935 0.518133 -0.00115717 -0.03501 0.01 60 60 0 0 0
937 0.507236 -0.00119019 -0.0296316 0.01 60 60 0 0 0
942 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
951 0.503271 -0.00120221 -0.0218091 0.01 60 60 0 0 0
958 0.542661 -0.00108285 -0.0383769 0.01 42 42 0 0 0
981 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
997 0.542661 -0.00108285 -0.0487548 0.01 42 42 0 0 0
1021 0.5112 -0.00117818 -0.014992 0.01 60 60 0 0 0
1025 0.523367 -0.00114131 -0.0533072 0.01 60 60 0 0 0
1029 0.494153 -0.00122984 -0.014992 0.01 60 60 0 0 0
1032 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
1039 0.542661 -0.00108285 -0.0487548 0.01 43 43 0 0 0
1066 0.494153 -0.00122984 -0.014992 0.01 60 59 0 0 0
1078 0.542661 -0.00108285 -0.0487548 0.01 41 41 0 0 0
1095 0.49631 -0.0012233 -0.0216177 0.01 85 85 0 0 0
1109 0.534095 -0.0011088 -0.0601162 0.01 60 60 0 0 0
1137 0.503987 -0.00120004 -0.014992 0.01 60 60 0 0 0
1164 0.524159 -0.00113891 -0.03501 0.01 60 61 0 0 0
1166 0.49631 -0.0012233 -0.0216177 0.01 87 87 0 0 0
