	time	range_hot	range_cold
0	2000	77	67
1	2002	77	67
2	2004	78	66
3	2006	78	66
4	2008	78	66
5	2010	79	66
6	2012	79	66
7	2014	79	65
8	2016	79	65
9	2018	79	65
10	2020	79	65
11	2022	79	65
12	2024	80	65
13	2026	80	65
14	2028	80	65
15	2030	80	65
16	2032	80	65
17	2034	81	65
18	2036	81	64
19	2038	81	64
20	2040	81	63
21	2042	81	63
22	2044	81	63
23	2046	81	63
24	2048	82	63
25	2050	82	63
26	2052	82	63
27	2054	82	63
28	2056	82	63
29	2058	83	62
30	2060	83	62
31	2062	83	62
32	2064	83	62
33	2066	83	62
34	2068	83	62
35	2070	84	62
36	2072	84	62
37	2074	84	62
38	2076	84	61
39	2078	84	61
40	2080	84	61
41	2082	85	61
42	2084	85	61
43	2086	86	61
44	2088	86	61
45	2090	86	61
46	2092	86	60
47	2094	86	60
48	2096	86	60
49	2098	87	60
50	2100	87	60
51	2102	87	60
52	2104	87	60
53	2106	87	59
54	2108	87	59
55	2110	88	59
56	2112	88	59
57	2114	88	59
58	2116	89	58
59	2118	90	58
60	2120	90	58
61	2122	90	58
62	2124	90	58
63	2126	91	58
64	2128	91	58
65	2130	91	58
66	2132	91	57
67	2134	91	57
68	2136	92	57
69	2138	92	56
70	2140	93	56
71	2142	93	56
72	2144	93	56
73	2146	94	56
74	2148	94	56
75	2150	94	55
76	2152	95	55
77	2154	95	55
78	2156	96	55
79	2158	96	55
80	2160	96	54
81	2162	97	54
82	2164	97	54
83	2166	99	53
84	2168	100	52
85	2170	100	52
86	2172	102	51
87	2174	103	51
88	2176	104	50
89	2178	105	49
90	2180	107	49
91	2182	110	48
92	2184	121	44
93	2186	139	42
