 time_step hot_DSm q_25_hot_br_DSm q_75_hot_br_DSm hot_wr_DSm q_25_hot_wr_DSm q_75_hot_wr_DSm cold_DSm q_25_cold_br_DSm q_75_cold_br_DSm cold_wr_DSm q_25_cold_wr_DSm q_75_cold_wr_DSm
10 2020.0 -0.0008969785 -0.0009646209999999999 -0.0008375305 4.770637857858796e-09 3.4871358033214663e-09 6.697962385597857e-09 -0.000935151 -0.0010106375 -0.00087134675 4.756666692675076e-09 3.734872729871345e-09 7.285844747149622e-09
11 2022.0 -0.0009057325 -0.000972141 -0.000840212 4.5127601908447725e-09 3.38702385452309e-09 6.8655961236788825e-09 -0.0009337849999999999 -0.00102451 -0.00087134675 4.918454928386219e-09 3.621764431605546e-09 7.329847911643146e-09
12 2024.0 -0.0008959005 -0.0009872985 -0.00083536225 4.286825944853971e-09 2.6811137544568367e-09 6.857484986658583e-09 -0.0009384475 -0.0010250575 -0.0008747145 4.8082596742969374e-09 3.4504995328332084e-09 6.401082312261626e-09
13 2026.0 -0.0008959005 -0.00097479 -0.000840212 3.903232022699856e-09 2.2007677686986483e-09 5.696366796333714e-09 -0.0009417935 -0.0010250575 -0.000875859125 4.676763474087535e-09 3.336778089338199e-09 6.2998527222153345e-09
14 2028.0 -0.0008959005 -0.0009868895 -0.000840212 3.5436068731747823e-09 2.0934130589255487e-09 5.944952297837979e-09 -0.0009449195 -0.0010283425 -0.00087845525 4.554270006886447e-09 3.284651166629847e-09 6.0823716041899465e-09
15 2030.0 -0.0008962060000000001 -0.00099010725 -0.000841250875 3.494081483903201e-09 1.7951549277963522e-09 5.826976040272021e-09 -0.0009509995 -0.0010283425 -0.00088084075 4.500727812701404e-09 3.279455677512523e-09 6.217338372507679e-09
16 2032.0 -0.000909594 -0.00099903075 -0.0008395745 3.060657119941097e-09 1.4544522046651962e-09 5.576861107792622e-09 -0.0009537945 -0.0010276475 -0.000883699 4.429581522596779e-09 3.324014008148112e-09 6.090882107191771e-09
17 2034.0 -0.00090470025 -0.000995553 -0.00082788825 2.2754067944123e-09 1.169685862627494e-09 4.384102796697525e-09 -0.0009609029999999999 -0.0010365875 -0.000885312 4.4361763086910915e-09 2.997781596197122e-09 6.093032769895338e-09
18 2036.0 -0.0009057325 -0.000995553 -0.00081238425 2.1374990199369137e-09 1.018127204428986e-09 3.972072954860209e-09 -0.0009609029999999999 -0.0010381075 -0.000885312 4.373078925228009e-09 2.6409746256845735e-09 6.3139267494030404e-09
19 2038.0 -0.0009057325 -0.00099903075 -0.0008025212499999999 1.7686598179289341e-09 8.738974178018224e-10 3.716267666920428e-09 -0.0009609029999999999 -0.0010326575 -0.00088533875 4.124162855779563e-09 2.4045802779835735e-09 6.163040049699139e-09
