 time_step hot_DHm q_25_hot_br_DHm q_75_hot_br_DHm hot_wr_DHm q_25_hot_wr_DHm q_75_hot_wr_DHm cold_DHm q_25_cold_br_DHm q_75_cold_br_DHm cold_wr_DHm q_25_cold_wr_DHm q_75_cold_wr_DHm
0 2000.0 0.6116305 0.583051 0.63110925 0.0006217855749987736 0.00043376721848746656 0.0008504016820645794 0.5960719999999999 0.5676877499999999 0.6131275 0.0005699318515845055 0.00041374040912494075 0.0007949924930564336
1 2002.0 0.6118494999999999 0.583051 0.629648 0.0006160261892458421 0.00041992978261833926 0.0008256505253945022 0.5962925 0.56777775 0.61292925 0.0005850540957928379 0.0004202197774119362 0.0007537391078551629
2 2004.0 0.6122595 0.5820624999999999 0.6314584999999999 0.0006064124490040905 0.0003866103670169212 0.0008063491325705303 0.5962885 0.57230525 0.6131275 0.0005676943680564637 0.00040371225252793213 0.0007643577180067528
3 2006.0 0.611954 0.581288 0.63135725 0.0005935619878705718 0.0003898627935229909 0.0008141702557845588 0.5965555 0.57224075 0.61292925 0.0005753449348697719 0.00040535343022852507 0.000788774591014201
4 2008.0 0.6112139999999999 0.5812625 0.6315552499999999 0.0005907179405101194 0.00038148606390452387 0.0008200336687785337 0.5969735 0.5715705 0.6128335 0.0005719499696215532 0.00040485832304629893 0.0007828391072476909
5 2010.0 0.6124285 0.5812625 0.6315552499999999 0.0005771359603853971 0.0004031043864699433 0.0007858831350092027 0.5961055 0.5715705 0.61292925 0.0005699424929553056 0.00040692355868135656 0.0007850915910950596
6 2012.0 0.6125149999999999 0.5812625 0.62756525 0.0005655056619871176 0.000399348189396641 0.000771802346588707 0.595481 0.569142 0.61292925 0.000573298906786457 0.0004193129172015859 0.0007861971233804361
7 2014.0 0.6109955 0.5812625 0.62482875 0.0005410372594235342 0.0003991046154080831 0.0007511574190979122 0.5942715000000001 0.5671585 0.612456 0.0005617366152580053 0.00040863002291744355 0.000801418683582562
8 2016.0 0.6097852500000001 0.58043475 0.6260715 0.0005362007121611596 0.0003902931219149843 0.0007662177545533998 0.5937 0.56729925 0.612456 0.0005525756977925208 0.0004095522651201616 0.0007582165108768353
9 2018.0 0.6084915 0.5805980000000001 0.6260715 0.0005305430246985046 0.00037469156220533835 0.0007473623021673787 0.59174875 0.56729925 0.612456 0.0005236836008163511 0.0004021797992093455 0.000745798328345851
10 2020.0 0.603997 0.58167525 0.623615 0.0005195250366456456 0.0003797451833883741 0.0007294136325613199 0.5913999999999999 0.56649 0.612456 0.0005179989270807853 0.00040672748039593084 0.0007934402067093875
11 2022.0 0.6011085 0.579193375 0.62272975 0.0004914454858237086 0.0003688510871551936 0.0007476636472687337 0.591851 0.561911 0.612456 0.0005356187171409074 0.0003944104481303332 0.0007982194124734709
12 2024.0 0.6043525000000001 0.5741915 0.6243307499999999 0.0004668392714043774 0.0002919737395634354 0.0007467765770347313 0.5903125 0.561731 0.61134475 0.0005236237373920245 0.00037575699495503794 0.0006970768841904626
13 2026.0 0.6043525000000001 0.5783192500000001 0.62272975 0.00042506359301139736 0.00023966719725962036 0.0006203378639881283 0.589208 0.561731 0.610966875 0.000509290120239432 0.0003633776466823467 0.0006860504125729154
14 2028.0 0.6043525000000001 0.5743265 0.62272975 0.00038589852269201453 0.0002279742332786201 0.0006474241263642263 0.5881765000000001 0.560646 0.6101099999999999 0.000495963516356212 0.0003576963817968783 0.0006623711543759438
15 2030.0 0.604252 0.57326475 0.622387125 0.00038051098018153276 0.00019548867956557074 0.0006345664999831386 0.5861700000000001 0.560646 0.6093225 0.0004901319384319621 0.00035713079427999577 0.0006770646586131898
16 2032.0 0.599834 0.5703195 0.6229405 0.00033331353279119323 0.00015838994532348582 0.0006073230651835393 0.585248 0.560877 0.60837975 0.00048238496144732755 0.0003619835717967631 0.000663293031837013
17 2034.0 0.60144875 0.571467 0.626797 0.00024778517475539737 0.00012737886373432716 0.00047744435106846016 0.582902 0.5579265 0.60784675 0.00048310031582113436 0.0003264560239747596 0.000663529281161211
18 2036.0 0.6011085 0.571467 0.6319135 0.00023277124003403467 0.00011087446157167607 0.0004325593444407093 0.582902 0.5574257499999999 0.60784675 0.00047623426413794944 0.0002876024926946828 0.0006875862273417294
19 2038.0 0.6011085 0.5703195 0.6351677499999999 0.00019261219059553826 9.51690628734851e-05 0.00040469901249844413 0.582902 0.5592239999999999 0.6078377500000001 0.00044912184287536914 0.0002618587932592563 0.0006711508852400797
20 2040.0 0.6011085 0.5695334999999999 0.636698 0.00017110767771145262 7.88640280150162e-05 0.0003699649708676517 0.583151 0.557358 0.60837975 0.00043289209830521443 0.00023458265611568018 0.0006654452743924003
21 2042.0 0.6033295000000001 0.5695334999999999 0.636698 0.0001594823180133565 6.592520122645904e-05 0.00034916910337090497 0.583151 0.557358 0.6100987499999999 0.0004344712492940341 0.00022708936262176297 0.0006600150637428274
22 2044.0 0.6033295000000001 0.5695334999999999 0.63541475 0.0001420312082675925 5.269230790652386e-05 0.0002754731093826872 0.582902 0.557358 0.60658875 0.0004114926473238065 0.00020318392100302773 0.0006537567806283667
23 2046.0 0.6011085 0.5703195 0.63541475 0.00012294708383373082 4.351862744792468e-05 0.0002830196861560927 0.5821335000000001 0.5592239999999999 0.605791 0.00035201251155711456 0.00019215185486591774 0.0006182777091009905
24 2048.0 0.601221 0.5695334999999999 0.6336419999999999 8.353716095258607e-05 4.486974005594038e-05 0.0001831759944001549 0.5821335000000001 0.5590935 0.605791 0.00034960278849955755 0.00018905245833190074 0.0006027774620846883
