max_pf 99 min_pf 32
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
11 0.470253 -0.00130226 -0.000500449 0.01 34 34 0 0 0
38 0.523981 -0.00113945 -0.00980916 0.01 97 97 0 0 0
128 0.523981 -0.00113945 -0.0408915 0.01 97 97 0 0 0
146 0.49145 -0.00123803 -0.00654186 0.01 34 34 0 0 0
153 0.49145 -0.00123803 -0.00654186 0.01 33 33 0 0 0
173 0.443014 -0.00138481 -0.0781345 0.01 60 60 0 0 0
200 0.463903 -0.00132151 -0.000500449 0.01 33 33 0 0 0
207 0.483538 -0.00126201 -0.0362685 0.01 34 34 0 0 0
213 0.479664 -0.00127375 -0.068018 0.01 60 60 0 0 0
237 0.483538 -0.00126201 -0.000500449 0.01 33 33 0 0 0
259 0.520948 -0.00114864 -0.0481491 0.01 60 60 0 0 0
261 0.487539 -0.00124988 -0.0423159 0.01 60 60 0 0 0
263 0.474199 -0.0012903 -0.0781345 0.01 60 60 0 0 0
283 0.523981 -0.00113945 -0.0408915 0.01 98 98 0 0 0
286 0.483538 -0.00126201 -0.000500449 0.01 34 34 0 0 0
293 0.465064 -0.00131799 -0.0781345 0.01 60 59 0 0 0
308 0.523981 -0.00113945 -0.0408915 0.01 98 98 0 0 0
311 0.523981 -0.00113945 -0.0408915 0.01 97 96 0 0 0
318 0.483538 -0.00126201 -0.000500449 0.01 33 33 0 0 0
333 0.523981 -0.00113945 -0.0342603 0.01 98 98 0 0 0
336 0.523981 -0.00113945 -0.0408915 0.01 98 98 0 0 0
345 0.483538 -0.00126201 -0.000500449 0.01 34 34 0 0 0
350 0.523981 -0.00113945 -0.0342603 0.01 98 98 0 0 0
389 0.464642 -0.00131927 -0.101406 0.01 60 60 0 0 0
398 0.523981 -0.00113945 -0.0342603 0.01 98 98 0 0 0
425 0.523981 -0.00113945 -0.0342603 0.01 98 98 0 0 0
431 0.431867 -0.00141858 -0.0758988 0.01 60 60 0 0 0
434 0.463903 -0.00132151 -0.00725466 0.01 33 33 0 0 0
439 0.487129 -0.00125112 -0.00654186 0.01 33 33 0.00277315 -0.00432074 0
444 0.523981 -0.00113945 -0.0408915 0.01 98 98 0 0 0
483 0.487539 -0.00124988 -0.0330622 0.01 60 60 0 0 0
484 0.523981 -0.00113945 -0.0408915 0.01 97 97 0 0 0
490 0.463903 -0.00132151 -0.000500449 0.01 33 33 0 0 0
494 0.523981 -0.00113945 -0.0163577 0.01 97 97 0 0 0
512 0.49145 -0.00123803 -0.00654186 0.01 33 33 0 0 0
521 0.483538 -0.00126201 -0.000500449 0.01 33 33 0 0 0
535 0.464642 -0.00131927 -0.0950478 0.01 60 60 0 0 0
565 0.479234 -0.00127505 -0.0792501 0.01 60 59 0 0 0
598 0.474199 -0.0012903 -0.0789928 0.01 60 60 0 0 0
