max_pf 92 min_pf 44
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
4 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
29 0.57949 -0.000971242 -0.0300167 0.01 90 90 0 0 0
57 0.590328 -0.000938401 -0.0661983 0.01 46 46 0 0 0
73 0.57949 -0.000971242 -0.0158205 0.01 90 90 0 0 0
112 0.570962 -0.000997086 -0.0300167 0.01 90 90 0 0 0
114 0.598727 -0.00091295 -0.0514781 0.01 44 44 0.00546919 -0.0114692 0
118 0.57756 -0.000977092 -0.0661888 0.01 60 60 0 0 0
133 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
147 0.594236 -0.000926557 -0.0558868 0.01 60 60 0 0 0
184 0.566633 -0.0010102 -0.0278458 0.01 60 61 0 0 0
191 0.608896 -0.000882133 -0.0661983 0.01 46 47 -0.00218859 0.0041573 0
223 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
237 0.57756 -0.000977092 -0.0661888 0.01 60 60 0 0 0
245 0.604739 -0.000894731 -0.0509548 0.01 45 45 0 0 0
249 0.56187 -0.00102464 -0.0483047 0.01 60 60 0 0 0
263 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
267 0.604739 -0.000894731 -0.0509548 0.01 46 46 0 0 0
275 0.572205 -0.000993318 -0.0661983 0.01 46 46 0 0 0
284 0.584714 -0.000955413 -0.0059 0.01 60 60 0 0 0
287 0.586051 -0.000951361 -0.0388232 0.01 60 59 0 0 0
304 0.607906 -0.000885133 -0.0567957 0.01 45 45 0 0 0
307 0.57949 -0.000971242 -0.0300167 0.01 90 90 0 0 0
324 0.600026 -0.000909011 -0.0514781 0.01 46 46 0.00525159 -0.0101693 0
325 0.552571 -0.00105282 -0.087369 0.01 60 60 0 0 0
343 0.576567 -0.0009801 -0.0402955 0.01 60 60 0.000253975 -0.000316799 0
364 0.604739 -0.000894731 -0.0567957 0.01 46 46 0 0 0
366 0.57949 -0.000971242 -0.0300167 0.01 90 90 0 0 0
368 0.607906 -0.000885133 -0.0567957 0.01 44 45 0 0 0
400 0.601828 -0.000903553 -0.043529 0.01 60 60 0 0 0
404 0.57949 -0.000971242 -0.0300167 0.01 91 91 0 0 0
412 0.605609 -0.000892094 -0.056555 0.01 60 61 0 0 0
419 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
428 0.57949 -0.000971242 -0.0300167 0.01 91 91 0 0 0
429 0.57756 -0.000977092 -0.0661888 0.01 60 60 0 0 0
442 0.584714 -0.000955413 -0.0059 0.01 60 61 0 0 0
493 0.610196 -0.000878195 -0.0237699 0.01 46 45 0 0 0
497 0.613752 -0.000867417 -0.0514781 0.01 45 45 -0.00171509 0.00355643 0
500 0.57949 -0.000971242 -0.0300167 0.01 92 92 0 0 0
506 0.590328 -0.000938401 -0.0661983 0.01 46 46 0 0 0
507 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
513 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
535 0.591709 -0.000934216 -0.0483047 0.01 60 60 0 0 0
540 0.59455 -0.000925606 -0.0300167 0.01 90 90 0 0 0
546 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
552 0.610196 -0.000878195 -0.0661983 0.01 46 47 0 0 0
566 0.57218 -0.000993393 -0.0785685 0.01 60 59 0 0 0
573 0.57949 -0.000971242 -0.0293279 0.01 60 60 0 0 0
583 0.57949 -0.000971242 -0.0300167 0.01 90 90 0 0 0
648 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
656 0.601383 -0.000904901 -0.0661983 0.01 46 46 0 0 0
671 0.57756 -0.000977092 -0.0861523 0.01 60 59 0 0 0
684 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
702 0.604739 -0.000894731 -0.0509548 0.01 46 46 0 0 0
706 0.59455 -0.000925606 -0.0300167 0.01 90 90 0 0 0
710 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
714 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
720 0.60316 -0.000899515 -0.014718 0.01 60 60 0 0 0
735 0.572205 -0.000993318 -0.060489 0.01 46 46 0 0 0
760 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
772 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
778 0.609876 -0.000879164 -0.0527261 0.01 60 60 0 0 0
783 0.596534 -0.000919592 -0.0380174 0.01 60 60 0 0 0
795 0.57949 -0.000971242 -0.0300167 0.01 91 91 0 0 0
812 0.526127 -0.00113295 -0.0520786 0.01 60 60 0 0 0
816 0.610196 -0.000878195 -0.0661983 0.01 45 47 0 0 0
819 0.604739 -0.000894731 -0.0509548 0.01 45 45 0 0 0
820 0.604739 -0.000894731 -0.0635147 0.01 46 46 0 0 0
833 0.552571 -0.00105282 -0.087369 0.01 60 60 0 0 0
834 0.610196 -0.000878195 -0.0514781 0.01 45 45 0 0 0
838 0.604739 -0.000894731 -0.0567957 0.01 46 46 0 0 0
840 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
845 0.604739 -0.000894731 -0.0509548 0.01 46 46 0 0 0
850 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
871 0.604739 -0.000894731 -0.063523 0.01 46 46 0 0 0
878 0.581461 -0.000965271 -0.0293279 0.01 60 60 0 0 0
886 0.59455 -0.000925606 -0.0300167 0.01 90 90 0 0 0
922 0.606402 -0.000889691 -0.0661983 0.01 46 46 0 0 0
925 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
968 0.57949 -0.000971242 -0.0300167 0.01 91 91 0 0 0
981 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
991 0.604739 -0.000894731 -0.0635147 0.01 46 46 0 0 0
1000 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1004 0.625659 -0.000831337 -0.0422431 0.01 60 61 0 0 0
1008 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1028 0.57949 -0.000971242 -0.0188485 0.01 60 60 0 0 0
1034 0.57949 -0.000971242 -0.0300167 0.01 90 90 0 0 0
1050 0.599998 -0.000909096 -0.0509548 0.01 45 45 0 0 0
1056 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1064 0.57949 -0.000971242 -0.0158205 0.01 90 90 0 0 0
1084 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1096 0.595139 -0.000923821 -0.0402955 0.01 60 59 0 0 0
1098 0.604739 -0.000894731 -0.0661983 0.01 46 47 0 0 0
1106 0.604739 -0.000894731 -0.0509548 0.01 46 46 0.00203438 0 0.0152434
1120 0.572205 -0.000993318 -0.0661983 0.01 46 47 0 0 0
1122 0.610196 -0.000878195 -0.0514781 0.01 45 45 0 0 0
1134 0.610196 -0.000878195 -0.0514781 0.01 44 44 0 0 0
1138 0.609876 -0.000879164 -0.0527261 0.01 60 59 0 0 0
1152 0.584004 -0.000957564 -0.027988 0.01 60 60 0 0 0
1156 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1188 0.57949 -0.000971242 -0.0300167 0.01 92 92 0 0 0
1198 0.600818 -0.000906613 -0.0128835 0.01 60 60 0 0 0
1214 0.57949 -0.000971242 -0.0298889 0.01 60 60 0 0 0
1243 0.588847 -0.000942888 -0.10814 0.01 60 60 0 0 0
1253 0.584004 -0.000957564 -0.027988 0.01 60 60 0 0 0
1282 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1284 0.57949 -0.000971242 -0.0300167 0.01 92 92 0 0 0
1297 0.565561 -0.00101345 -0.0659363 0.01 60 60 0 0 0
1346 0.604739 -0.000894731 -0.0509548 0.01 45 45 0 0 0
1347 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1380 0.57949 -0.000971242 -0.0300167 0.01 90 90 0 0 0
1403 0.57949 -0.000971242 -0.0300167 0.01 90 90 0 0 0
1429 0.610196 -0.000878195 -0.0237699 0.01 45 45 0 0 0
1434 0.57949 -0.000971242 -0.0300167 0.01 91 91 0 0 0
1436 0.565561 -0.00101345 -0.0788091 0.01 60 60 0 0 0
1443 0.610196 -0.000878195 -0.0514781 0.01 45 45 0 0 0
1444 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1457 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1467 0.568909 -0.00100331 -0.103245 0.01 60 60 0 0 0
1476 0.584004 -0.000957564 -0.0237175 0.01 60 60 0 0 0
1489 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1492 0.604739 -0.000894731 -0.0542382 0.01 46 46 0 0 0
1498 0.596534 -0.000919592 -0.0380174 0.01 60 60 0 0 0
1500 0.57756 -0.000977092 -0.0661888 0.01 60 60 0 0 0
1505 0.600299 -0.000908185 -0.0300167 0.01 90 90 0 0 0
1523 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1527 0.610196 -0.000878195 -0.0473471 0.01 45 45 0 0 0
1568 0.604739 -0.000894731 -0.0509548 0.01 45 45 0 0 0
1574 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1590 0.575833 -0.000982324 -0.105323 0.01 60 60 0 0 0
1594 0.604739 -0.000894731 -0.0661983 0.01 46 46 0 0 0
1601 0.612879 -0.000870063 -0.0861523 0.01 60 60 0 0 0
1603 0.57756 -0.000977092 -0.103245 0.01 60 59 0 0 0
1644 0.599998 -0.000909096 -0.0509548 0.01 45 45 0 0 0
1660 0.610196 -0.000878195 -0.0514781 0.01 45 45 0 0 0
1673 0.604739 -0.000894731 -0.0634056 0.01 46 46 -0.00166422 0 -0.0124508
1682 0.526127 -0.00113295 -0.0476095 0.01 60 60 -0.000917375 0 -0.00536431
1697 0.604739 -0.000894731 -0.0509548 0.01 46 46 0 0 0
1750 0.57949 -0.000971242 -0.0293279 0.01 60 60 0 0 0
1760 0.582939 -0.000960792 -0.0516131 0.01 60 60 0 0 0
1762 0.604739 -0.000894731 -0.0661983 0.01 46 47 0 0 0
1766 0.60316 -0.000899515 -0.014718 0.01 60 61 0 0 0
1769 0.610196 -0.000878195 -0.0514781 0.01 46 46 0 0 0
1775 0.57949 -0.000971242 -0.0300167 0.01 90 90 0 0 0
1815 0.618518 -0.000852976 -0.037114 0.01 60 60 0 0 0
