max_pf 77 min_pf 48
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
741 0.556087 -0.00104216 -0.0638371 0.01 50 52 0 0 0
742 0.566844 -0.00100956 -0.0669103 0.01 50 50 0 0 0
745 0.55879 -0.00103397 -0.0598271 0.01 60 60 0 0 0
751 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
759 0.57768 -0.000976728 -0.0669103 0.01 48 48 0 0 0
760 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
761 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
762 0.558658 -0.00103437 -0.0822465 0.01 60 59 0 0 0
770 0.55879 -0.00103397 -0.0598271 0.01 60 60 0 0 0
771 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
772 0.591848 -0.000933793 -0.0669103 0.01 50 50 -0.00905068 0.0141685 0
795 0.57768 -0.000976728 -0.0777638 0.01 49 49 0 0 0
813 0.5612 -0.00102667 -0.0846822 0.01 60 60 0 0 0
836 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
852 0.57768 -0.000976728 -0.0623162 0.01 49 49 0 0 0
855 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
859 0.56792 -0.0010063 -0.0602536 0.01 60 59 0 0 0
873 0.57768 -0.000976728 -0.0777638 0.01 49 49 0 0 0
884 0.5612 -0.00102667 -0.0846822 0.01 60 59 0 0 0
891 0.5291 -0.00112394 -0.0819068 0.01 60 60 0 0 0
897 0.57768 -0.000976728 -0.0669103 0.01 48 48 0 0 0
914 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
916 0.57768 -0.000976728 -0.0642966 0.01 50 50 0 0 0
922 0.57768 -0.000976728 -0.0669103 0.01 49 49 0 0 0
927 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
935 0.6151 -0.000863332 -0.00940262 0.01 75 75 0 0 0
936 0.573966 -0.000987982 -0.0777555 0.01 50 50 0 0 0
938 0.579119 -0.000972365 -0.0669103 0.01 49 49 0 0 0
950 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
955 0.513327 -0.00117174 -0.0638371 0.01 60 60 0 0 0
981 0.579725 -0.000970531 -0.0844736 0.01 60 60 0 0 0
985 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
987 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
988 0.617827 -0.000855071 -0.00678645 0.01 60 61 0 0 0
1013 0.57768 -0.000976728 -0.0669103 0.01 50 50 0 0 0
1015 0.6151 -0.000863332 -0.00428066 0.01 76 76 0 0 0
