max_pf 92 min_pf 44
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
11 0.55619 -0.00104185 -0.0621605 0.01 60 60 0 0 0
20 0.585936 -0.00095171 -0.0125649 0.01 90 90 0 0 0
21 0.637286 -0.000796104 -0.0469969 0.01 46 46 0 0 0
22 0.570091 -0.000999724 -0.0437028 0.01 60 60 0 0 0
33 0.557801 -0.00103697 -0.0351989 0.01 60 60 0 0 0
40 0.637286 -0.000796104 -0.0469969 0.01 45 45 0 0 0
58 0.570091 -0.000999724 -0.0365873 0.01 60 60 0 0 0
64 0.58049 -0.000968212 -0.0335683 0.01 91 91 0 0 0
69 0.637286 -0.000796104 -0.0465443 0.01 45 45 0 0 0
76 0.637286 -0.000796104 -0.0416198 0.01 45 45 0 0 0
92 0.553996 -0.0010485 -0.0476381 0.01 60 60 0 0 0
99 0.567666 -0.00100707 -0.0249762 0.01 60 60 0 0 0
115 0.585936 -0.00095171 -0.0335683 0.01 90 90 0 0 0
134 0.560923 -0.00102751 -0.0272353 0.01 60 60 0 0 0
135 0.640105 -0.00078756 -0.0504592 0.01 45 45 0 0 0
136 0.563873 -0.00101857 -0.0723111 0.01 60 61 0 0 0
162 0.560923 -0.00102751 -0.0272353 0.01 60 60 0 0 0
200 0.640105 -0.00078756 -0.0541699 0.01 46 46 0 0 0
214 0.637286 -0.000796104 -0.0442983 0.01 46 46 0 0 0
228 0.584825 -0.000955077 -0.0335683 0.01 90 90 0.000591874 -0.00111109 0
232 0.640105 -0.00078756 -0.0361703 0.01 45 45 0 0 0
243 0.550756 -0.00105832 -0.0258714 0.01 60 60 0 0 0
260 0.637286 -0.000796104 -0.0469969 0.01 45 45 0 0 0
275 0.640105 -0.00078756 -0.0361703 0.01 45 46 0 0 0
281 0.570091 -0.000999724 -0.0226585 0.01 60 60 0 0 0
290 0.585936 -0.00095171 -0.0419104 0.01 91 91 0 0 0
291 0.637286 -0.000796104 -0.0469969 0.01 45 45 0 0 0
298 0.567466 -0.00100768 -0.0476381 0.01 60 60 0 0 0
320 0.637286 -0.000796104 -0.0469969 0.01 44 44 0 0 0
324 0.540873 -0.00108826 -0.0600137 0.01 60 60 0 0 0
345 0.637286 -0.000796104 -0.0469969 0.01 45 45 0 0 0
