max_pf 65 min_pf 55
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
0 0.625097 -0.000833038 -0.041075 0.01 63 63 0 0 0
1 0.634178 -0.000805523 -0.038485 0.01 65 65 0 0 0
2 0.573932 -0.000988085 -0.0727897 0.01 63 63 0 0 0
4 0.593276 -0.000929466 -0.0767006 0.01 56 56 0 0 0
5 0.652657 -0.000749525 -0.0341816 0.01 65 65 0 0 0
7 0.573932 -0.000988085 -0.0583476 0.01 64 63 0 0 0
9 0.593276 -0.000929466 -0.0767006 0.01 57 57 0 0 0
11 0.590486 -0.00093792 -0.0447311 0.01 57 57 0 0 0
12 0.590486 -0.00093792 -0.0654558 0.01 55 55 0 0 0
14 0.567003 -0.00100908 -0.0762989 0.01 56 56 0 0 0
15 0.603803 -0.000897565 -0.0654558 0.01 56 56 0 0 0
17 0.578622 -0.000973871 -0.0567149 0.01 60 60 0 0 0
20 0.619949 -0.000848641 -0.0434224 0.01 63 63 0 0 0
23 0.590486 -0.00093792 -0.0705808 0.01 56 56 0 0 0
24 0.660642 -0.000725327 -0.0613969 0.01 55 55 0 0 0
25 0.590486 -0.00093792 -0.072643 0.01 55 55 0 0 0
27 0.602289 -0.000902154 -0.0654834 0.01 60 60 0 0 0
28 0.621916 -0.00084268 -0.0482882 0.01 55 55 0 0 0
29 0.619949 -0.000848641 -0.0434224 0.01 64 64 0 0 0
31 0.593276 -0.000929466 -0.0767006 0.01 60 60 0 0 0
33 0.574145 -0.000987438 -0.0922375 0.01 64 64 0 0 0
34 0.601051 -0.000905906 -0.0631157 0.01 57 57 0.000689447 0 0.0225001
36 0.590486 -0.00093792 -0.0705808 0.01 57 57 0 0 0
37 0.587491 -0.000946998 -0.0535322 0.01 57 57 0 0 0
38 0.593276 -0.000929466 -0.0767006 0.01 57 57 0 0 0
39 0.590486 -0.00093792 -0.0745405 0.01 56 56 0 0 0
42 0.612697 -0.000870616 -0.0578046 0.01 64 64 0 0 0
44 0.590486 -0.00093792 -0.0654558 0.01 56 56 0 0 0
45 0.610579 -0.000877034 -0.0654558 0.01 55 55 0 0 0
46 0.652965 -0.000748592 -0.062049 0.01 55 55 0 0 0
47 0.61216 -0.000872241 -0.0634506 0.01 60 60 -0.000466511 0 -0.00360448
49 0.581128 -0.000966278 -0.0654558 0.01 57 57 0 0 0
51 0.590486 -0.00093792 -0.0654558 0.01 55 57 0 0 0
52 0.605371 -0.000892814 -0.043268 0.01 60 60 0 0 0
53 0.603111 -0.000899663 -0.0654834 0.01 63 61 0 0 0
54 0.644587 -0.000773978 -0.0695777 0.01 57 57 0 0 0
57 0.590486 -0.00093792 -0.0447311 0.01 60 58 0 0 0
58 0.58132 -0.000965697 -0.0654558 0.01 56 56 0 0 0
59 0.590486 -0.00093792 -0.0745405 0.01 57 57 0 0 0
60 0.590486 -0.00093792 -0.0654558 0.01 56 55 0 0 0
61 0.614969 -0.000863731 -0.0654834 0.01 63 63 0 0 0
62 0.591781 -0.000933998 -0.0675812 0.01 65 65 0 0 0
63 0.619949 -0.000848641 -0.0434224 0.01 63 63 0 0 0
65 0.590486 -0.00093792 -0.0124294 0.01 57 57 0.00105649 0 0.0330776
66 0.583067 -0.000960404 -0.0869251 0.01 60 60 0 0 0
67 0.621916 -0.00084268 -0.0482882 0.01 57 55 0 0 0
68 0.590486 -0.00093792 -0.0775502 0.01 57 57 0 0 0
69 0.652965 -0.000748592 -0.0594457 0.01 56 55 0 0 0
71 0.594189 -0.000926699 -0.0717938 0.01 60 60 0 0 0
73 0.573932 -0.000988085 -0.0583476 0.01 65 65 0 0 0
74 0.59078 -0.000937031 -0.0632808 0.01 65 65 0 0 0
76 0.56925 -0.00100227 -0.0535322 0.01 56 56 0 0 0
77 0.590486 -0.00093792 -0.0654558 0.01 55 55 0 0 0
78 0.644567 -0.000774038 -0.0551155 0.01 55 55 0 0 0
79 0.577708 -0.000976641 -0.0654834 0.01 57 57 0 0 0
80 0.641452 -0.000783478 -0.0745314 0.01 63 63 0 0 0
84 0.652965 -0.000748592 -0.062049 0.01 55 55 0 0 0
85 0.550873 -0.00105796 -0.0654834 0.01 63 62 0 0 0
87 0.631354 -0.00081408 -0.0645069 0.01 57 58 0 0 0
88 0.584915 -0.000954804 -0.0492776 0.01 64 64 0 0 0
89 0.639777 -0.000788553 -0.0171892 0.01 65 65 0 0 0
90 0.616242 -0.000859872 -0.062591 0.01 64 64 0 0 0
91 0.590486 -0.00093792 -0.0535322 0.01 56 57 0 0 0
92 0.573932 -0.000988085 -0.0583476 0.01 65 65 0 0 0
93 0.576301 -0.000980905 -0.0515706 0.01 56 56 0 0 0
95 0.593276 -0.000929466 -0.0767006 0.01 63 64 0 0 0
97 0.574145 -0.000987438 -0.0806922 0.01 63 63 0 0 0
98 0.590486 -0.00093792 -0.0705808 0.01 56 56 0 0 0
99 0.573932 -0.000988085 -0.0654834 0.01 63 63 0 0 0
101 0.59078 -0.000937031 -0.0632808 0.01 64 64 0 0 0
102 0.590486 -0.00093792 -0.0547394 0.01 56 57 0 0 0
103 0.621916 -0.00084268 -0.0310883 0.01 55 55 0 0 0
104 0.60049 -0.000907605 -0.0652612 0.01 56 56 0 0 0
105 0.590072 -0.000939177 -0.0654558 0.01 55 55 0 0 0
107 0.606688 -0.000888825 -0.0654834 0.01 63 63 0 0 0
111 0.620781 -0.000846117 -0.0692453 0.01 55 55 0 0 0
113 0.646368 -0.000768581 -0.0447243 0.01 55 55 0 0 0
115 0.590486 -0.00093792 -0.0654558 0.01 57 57 0 0 0
116 0.576301 -0.000980905 -0.0717938 0.01 60 60 0 0 0
118 0.650921 -0.000754786 -0.072735 0.01 63 63 0 0 0
121 0.567003 -0.00100908 -0.0762989 0.01 56 57 0 0 0
122 0.573932 -0.000988085 -0.0654834 0.01 60 61 0 0 0
126 0.587112 -0.000948144 -0.0599316 0.01 60 60 0 0 0
128 0.590486 -0.00093792 -0.0654558 0.01 57 57 0 0 0
130 0.587112 -0.000948144 -0.0599316 0.01 60 60 0 0 0
132 0.595989 -0.000921246 -0.0625465 0.01 60 60 0 0 0
134 0.605599 -0.000892125 -0.0578445 0.01 63 63 0 0 0
135 0.593276 -0.000929466 -0.0767006 0.01 57 57 0 0 0
137 0.588499 -0.000943943 -0.0625465 0.01 60 60 0 0 0
138 0.626764 -0.000827988 -0.0695777 0.01 55 55 0 0 0
140 0.641452 -0.000783478 -0.0397953 0.01 65 65 0 0 0
141 0.589558 -0.000940732 -0.0553652 0.01 63 63 0 0 0
143 0.634178 -0.000805523 -0.0468385 0.01 60 60 -0.00289859 0 -0.0236591
146 0.58035 -0.000968635 -0.0684102 0.01 65 65 0 0 0
148 0.62214 -0.000842001 -0.0751827 0.01 64 64 0 0 0
149 0.590486 -0.00093792 -0.0688982 0.01 65 65 0 0 0
150 0.578917 -0.000972978 -0.0608857 0.01 60 60 0 0 0
151 0.62271 -0.000840272 -0.0662613 0.01 57 57 0 0 0
152 0.590486 -0.00093792 -0.0762503 0.01 57 57 0 0 0
153 0.587265 -0.000947682 -0.0654558 0.01 55 56 0 0 0
154 0.590486 -0.00093792 -0.0550694 0.01 56 56 0 0 0
155 0.583642 -0.000958662 -0.0519136 0.01 63 63 0 0 0
156 0.590486 -0.00093792 -0.0654558 0.01 55 55 0 0 0
157 0.605066 -0.000893738 -0.079136 0.01 57 57 0 0 0
158 0.591781 -0.000933998 -0.0675812 0.01 65 65 0 0 0
159 0.632841 -0.000809573 -0.0510621 0.01 65 65 0 0 0
160 0.648802 -0.000761206 -0.045359 0.01 63 63 0 0 0
162 0.652965 -0.000748592 -0.0550724 0.01 60 60 0 0 0
163 0.584915 -0.000954804 -0.0508373 0.01 65 65 0 0 0
165 0.590486 -0.00093792 -0.0741806 0.01 55 55 0 0 0
166 0.621916 -0.00084268 -0.0482882 0.01 55 55 0 0 0
168 0.619949 -0.000848641 -0.0434224 0.01 64 64 0 0 0
169 0.602259 -0.000902245 -0.0488944 0.01 64 64 0 0 0
170 0.585232 -0.000953842 -0.0654558 0.01 56 56 0 0 0
173 0.564445 -0.00101683 -0.0654558 0.01 55 55 0.0193335 -0.0260412 0
174 0.584915 -0.000954804 -0.0508373 0.01 65 65 0 0 0
175 0.648393 -0.000762446 -0.0363825 0.01 64 64 0 0 0
176 0.573932 -0.000988085 -0.0807305 0.01 63 62 0 0 0
180 0.593276 -0.000929466 -0.0767006 0.01 57 57 0 0 0
181 0.619949 -0.000848641 -0.0434224 0.01 63 63 0 0 0
182 0.590486 -0.00093792 -0.0654558 0.01 56 56 0 0 0
184 0.58035 -0.000968635 -0.0684102 0.01 65 65 0 0 0
186 0.561835 -0.00102474 -0.0598232 0.01 63 63 0 0 0
187 0.59078 -0.000937031 -0.0682385 0.01 65 65 0 0 0
189 0.606953 -0.000888021 -0.0654834 0.01 63 62 0 0 0
190 0.578917 -0.000972978 -0.0608857 0.01 60 60 0 0 0
192 0.641452 -0.000783478 -0.0387241 0.01 60 60 0 0 0
193 0.598134 -0.000914747 -0.0719249 0.01 55 55 0 0 0
194 0.59078 -0.000937031 -0.0632808 0.01 64 64 0 0 0
196 0.597402 -0.000916964 -0.0654834 0.01 63 62 0 0 0
199 0.584915 -0.000954804 -0.0508373 0.01 65 65 0 0 0
200 0.573932 -0.000988085 -0.0654834 0.01 63 63 0 0 0
204 0.64844 -0.000762304 -0.0363825 0.01 64 64 0 0 0
