 time_step hot_DCp q_25_hot_br_DCp q_75_hot_br_DCp hot_wr_DCp q_25_hot_wr_DCp q_75_hot_wr_DCp cold_DCp q_25_cold_br_DCp q_75_cold_br_DCp cold_wr_DCp q_25_cold_wr_DCp q_75_cold_wr_DCp
0 2000.0 -0.0029579849999999998 -0.004154349999999999 -0.0014727874999999999 2.4825243614065824e-05 2.0323478766983498e-05 2.9247261985497135e-05 -0.006226565 -0.00936444 -0.0034359200000000003 6.09372509715346e-05 4.611808976438104e-05 9.343840150238381e-05
1 2002.0 -0.0029579849999999998 -0.004154349999999999 -0.0014727874999999999 2.4774198955022437e-05 2.055196688105811e-05 2.870912640666466e-05 -0.006226565 -0.009378669999999999 -0.003404705 6.168312990907136e-05 4.673942017045835e-05 9.755276995828351e-05
2 2004.0 -0.002701905 -0.003978282499999999 -0.0014727874999999999 2.2385959446579954e-05 1.7608614149645386e-05 2.7499144617858852e-05 -0.006473085 -0.00971456 -0.0034855550000000004 6.66049071503422e-05 4.858970339447555e-05 9.400367901138438e-05
3 2006.0 -0.002701905 -0.003884825 -0.001401465 2.169519885002093e-05 1.734212839878291e-05 2.6532662208668017e-05 -0.00634726 -0.00984749 -0.0035075475 6.757527203077844e-05 4.752309714562829e-05 9.088103031515443e-05
4 2008.0 -0.00285958 -0.003884825 -0.001401465 2.2436714772915104e-05 1.6832090806904406e-05 2.661484444757179e-05 -0.00634726 -0.009891912499999999 -0.0034359200000000003 6.757786245832097e-05 4.9480830177599815e-05 9.520823170170937e-05
5 2010.0 -0.0029579849999999998 -0.0038000725 -0.001401465 2.2730984916707688e-05 1.6877301543945305e-05 2.7397623827033483e-05 -0.00634726 -0.009891912499999999 -0.0034359200000000003 6.649499328499727e-05 4.928559383363774e-05 9.606100289516097e-05
6 2012.0 -0.0026154150000000003 -0.003884825 -0.001401465 2.0873078346989342e-05 1.5744464237497792e-05 2.665114601376485e-05 -0.00634726 -0.009891912499999999 -0.0035075475 6.735706942578143e-05 4.86801684415714e-05 9.750888196104492e-05
7 2014.0 -0.00253004 -0.0038000725 -0.001316725 2.0697343865116698e-05 1.469078235134249e-05 2.711507876965449e-05 -0.00634726 -0.0096569325 -0.0035075475 6.502768595437625e-05 4.8590113960371204e-05 9.628598110295538e-05
8 2016.0 -0.0024783 -0.0038963175 -0.0012687775 1.888316071151616e-05 1.4503532187264943e-05 2.8969555773393832e-05 -0.006322405 -0.00971456 -0.0035075475 6.402214882567492e-05 4.8109617576437956e-05 9.725623612623908e-05
9 2018.0 -0.0024098799999999997 -0.0038963175 -0.0012331775 1.9052404432754237e-05 1.2669396749624965e-05 2.6537679279072752e-05 -0.006267075 -0.00971456 -0.003633375 6.697176815724448e-05 4.861085344241048e-05 9.671224200164361e-05
10 2020.0 -0.00205984 -0.0038963175 -0.00121876 1.8375579034250296e-05 1.2652135041766552e-05 2.8068889128848932e-05 -0.006267075 -0.00976863 -0.003712325 6.918268454299837e-05 4.682231364217561e-05 9.453709458091746e-05
11 2022.0 -0.0021548799999999996 -0.003970764999999999 -0.00121876 1.7744449509249482e-05 1.1216607470781252e-05 2.6493887785515338e-05 -0.0061940350000000005 -0.009819705 -0.003712325 6.844218791138028e-05 4.5334814850033575e-05 9.414563043567677e-05
12 2024.0 -0.0020562749999999998 -0.003978282499999999 -0.0011874225 1.4925485406642883e-05 9.60682612246344e-06 2.3835400958503963e-05 -0.006372920000000001 -0.00983080375 -0.003712325 6.783732426457374e-05 4.216291735263862e-05 9.495196207144277e-05
13 2026.0 -0.0020562749999999998 -0.004154349999999999 -0.0011645474999999999 1.4465505207640114e-05 9.477237217233193e-06 2.3579732239808903e-05 -0.006531435 -0.009797305 -0.0037487525 6.561386474177174e-05 4.1135691703979235e-05 9.969177314072088e-05
14 2028.0 -0.0020179050000000004 -0.004154349999999999 -0.0011645474999999999 1.30200636522253e-05 8.084792565689564e-06 2.1133107521125896e-05 -0.006473085 -0.00989963 -0.0039439324999999996 6.393707396448883e-05 3.888667518486414e-05 9.801596518736478e-05
15 2030.0 -0.00213144 -0.004254094999999999 -0.0011978775 1.2399970326317674e-05 7.457748361435778e-06 1.984867000704826e-05 -0.006473085 -0.010680975 -0.0039737925 6.200776919954171e-05 4.096383976795959e-05 9.49613304282381e-05
16 2032.0 -0.00213144 -0.004154349999999999 -0.0012172575 1.1988970255453432e-05 6.381998256488277e-06 2.0349445293319614e-05 -0.006473085 -0.010851900000000001 -0.0042461625 6.618423906319192e-05 4.051587223579199e-05 9.83231170944206e-05
17 2034.0 -0.00213144 -0.004254094999999999 -0.0011645474999999999 9.603956348031614e-06 6.325307810725655e-06 1.7315184112421495e-05 -0.00617268 -0.01118375 -0.00371849 6.248463204624234e-05 4.0151310949840376e-05 9.221635993350146e-05
18 2036.0 -0.0020179050000000004 -0.004383297499999999 -0.0011645474999999999 9.494791643426123e-06 4.984946815849217e-06 1.8032434939680242e-05 -0.00617268 -0.01118375 -0.00371849 6.028264475444744e-05 3.9437923635169245e-05 9.384523713308298e-05
19 2038.0 -0.00213144 -0.004254094999999999 -0.0012129674999999999 9.565152198064875e-06 5.269332674466806e-06 1.9189853929882902e-05 -0.006099915 -0.01225395 -0.00371849 6.27963485693181e-05 3.818963457975793e-05 9.137960214716142e-05
20 2040.0 -0.00213144 -0.0042073375 -0.0012129674999999999 9.7727015188774e-06 5.322386044963889e-06 1.7087446193000822e-05 -0.006160845 -0.013437174999999999 -0.003648075 6.0098057623205015e-05 3.351616504454967e-05 8.877080724221492e-05
21 2042.0 -0.0022088150000000003 -0.0041604175 -0.0013033625000000001 9.570019377792382e-06 4.63703146427163e-06 1.7116046674740424e-05 -0.006160845 -0.013437174999999999 -0.0034136175 5.649231224412001e-05 2.873436053443984e-05 8.551488753170946e-05
22 2044.0 -0.002271395 -0.0043002425 -0.0012494300000000002 8.748575187113367e-06 4.708039469593649e-06 1.643534965188923e-05 -0.006160845 -0.013717625 -0.0034136175 5.348469728540928e-05 2.4386620754270706e-05 8.789455091271227e-05
23 2046.0 -0.002310145 -0.0043002425 -0.0012331775 8.50700000489482e-06 4.979787189223163e-06 1.4857592586388393e-05 -0.00619981 -0.013127875 -0.0031629650000000002 5.250691763758552e-05 2.477115310195444e-05 9.193119706314062e-05
24 2048.0 -0.0025672100000000003 -0.004538614999999999 -0.0012331775 7.089483127322656e-06 4.168318649399415e-06 1.3059603699824795e-05 -0.00635963 -0.013133474999999999 -0.0031629650000000002 5.089394762151471e-05 2.302849681949634e-05 9.133114356173483e-05
25 2050.0 -0.0025672100000000003 -0.004538614999999999 -0.0012331775 8.815836806878774e-06 4.485023150415101e-06 1.3710542823340792e-05 -0.0065318400000000006 -0.013653875000000001 -0.0034136175 4.688359252190886e-05 2.17700285449974e-05 8.969706653400353e-05
26 2052.0 -0.00251305 -0.004538614999999999 -0.0012331775 8.76792488909808e-06 4.34250846603883e-06 1.6049114266971737e-05 -0.0069088 -0.015595500000000002 -0.0034136175 4.8137914013290974e-05 2.13406740884501e-05 8.919564654268165e-05
27 2054.0 -0.00251305 -0.0046447549999999995 -0.0012331775 8.557780850525657e-06 4.335430502711372e-06 1.3751699693577675e-05 -0.007278504999999999 -0.016012075 -0.0034136175 4.625468448927953e-05 2.1470778425822227e-05 8.90745404117308e-05
28 2056.0 -0.0024387000000000002 -0.004538614999999999 -0.0012331775 8.854535193331513e-06 4.3965515476108514e-06 1.347128031562826e-05 -0.008525652500000001 -0.016171150000000002 -0.0036480075 4.578129744670089e-05 1.899085924359091e-05 8.364062415298039e-05
29 2058.0 -0.0024387000000000002 -0.0044662475 -0.0012331775 8.424132817965083e-06 3.642782712222587e-06 1.388781513718892e-05 -0.009281504999999999 -0.015595500000000002 -0.00371849 3.849342113228795e-05 1.9441045920100403e-05 8.124959071922441e-05
30 2060.0 -0.0024387000000000002 -0.0044662475 -0.0012331775 7.935286529024273e-06 4.23372717184897e-06 1.5347136499172795e-05 -0.009281504999999999 -0.016485625 -0.00371849 3.9249011827094185e-05 1.859183315284979e-05 7.593408210431791e-05
31 2062.0 -0.0024387000000000002 -0.0046447549999999995 -0.0012331775 6.9700122610364255e-06 4.502275013868987e-06 1.3973189312868648e-05 -0.009281504999999999 -0.01664115 -0.003997955 3.523170482375378e-05 1.638916152591021e-05 7.411998294597227e-05
32 2064.0 -0.0024387000000000002 -0.0044662475 -0.0012129674999999999 7.651774719390133e-06 4.233238658838626e-06 1.4895974234513035e-05 -0.008727795 -0.01664115 -0.0036480075 3.302401222022121e-05 1.6977888441823233e-05 6.84222680845607e-05
33 2066.0 -0.0024387000000000002 -0.0044662475 -0.0012129674999999999 7.578353936250523e-06 4.560303661742002e-06 1.4305254916859424e-05 -0.0087482475 -0.016865849999999998 -0.0036480075 3.271984069966756e-05 1.8156891075743568e-05 6.555960541897223e-05
34 2068.0 -0.0025672100000000003 -0.0052600525 -0.0012331775 8.043240436396249e-06 4.193984384764525e-06 1.4337054899345752e-05 -0.009578155 -0.016865849999999998 -0.0036480075 3.2664161272734477e-05 1.661627258671876e-05 6.566247057887288e-05
35 2070.0 -0.0025672100000000003 -0.0056347175 -0.0012331775 6.859140467644037e-06 3.755496980070921e-06 1.4739377176931585e-05 -0.009578155 -0.016865849999999998 -0.00341447 2.9816032492721804e-05 1.539099908560845e-05 6.595842892613854e-05
36 2072.0 -0.0025672100000000003 -0.0056347175 -0.0012331775 6.966830155046175e-06 3.689436283327343e-06 1.5116998064087093e-05 -0.009717739999999999 -0.016865849999999998 -0.00341447 2.6889688019269483e-05 1.368547774565268e-05 6.597504770469227e-05
37 2074.0 -0.0025672100000000003 -0.0056614049999999996 -0.0012331775 6.974460989554375e-06 3.7007381845815576e-06 1.484746525251762e-05 -0.009578155 -0.016865849999999998 -0.00341447 2.6879981714317773e-05 1.4260532114446451e-05 6.549651341590675e-05
38 2076.0 -0.002716965 -0.0061313175000000004 -0.0012331775 7.447632721867648e-06 4.060927533936562e-06 1.3829012549950212e-05 -0.009526735 -0.016865849999999998 -0.0031691475 3.028321645724165e-05 1.384783787617485e-05 6.217811217244894e-05
39 2078.0 -0.00295938 -0.0061313175000000004 -0.0012510325000000002 7.4912318932429374e-06 3.856450803489204e-06 1.4422269879626571e-05 -0.009526735 -0.016865849999999998 -0.0031691475 3.167823736180719e-05 1.4117415231179463e-05 6.181356716540512e-05
40 2080.0 -0.00295938 -0.0064909875 -0.0012510325000000002 7.892645994156117e-06 4.171172098218546e-06 1.296946404420762e-05 -0.00989612 -0.016865849999999998 -0.0031691475 3.122162619901235e-05 1.3763308127182874e-05 6.065057626320297e-05
41 2082.0 -0.00295938 -0.0064909875 -0.0012510325000000002 6.935880096530918e-06 3.2877360563170493e-06 1.219592871216628e-05 -0.009578155 -0.016865849999999998 -0.0031691475 3.33311934692187e-05 1.2956303203589929e-05 6.080252389055248e-05
42 2084.0 -0.003074575 -0.00672674 -0.0012510325000000002 6.516736159334674e-06 4.096562615043743e-06 1.3101581139803038e-05 -0.00989612 -0.017090599999999997 -0.0031691475 2.7985858558811817e-05 1.2265852572678179e-05 5.931023751590515e-05
43 2086.0 -0.00310195 -0.00672674 -0.0012510325000000002 6.578632541396532e-06 3.891523037304456e-06 1.3723300156378147e-05 -0.00989612 -0.017090599999999997 -0.0031691475 3.12170973695577e-05 1.3625775866020957e-05 5.795558212183782e-05
44 2088.0 -0.003136125 -0.00672674 -0.0012510325000000002 7.466887175915463e-06 4.283872596700343e-06 1.4427000589841526e-05 -0.009578155 -0.01761985 -0.0031691475 2.9101938958893816e-05 1.3378967743688856e-05 5.8653192624575215e-05
45 2090.0 -0.003136125 -0.0069645225 -0.0012510325000000002 7.76877058815702e-06 4.336542423995412e-06 1.5429205222966978e-05 -0.01015545 -0.01761985 -0.0034654775 3.010323795032657e-05 1.4700860746886691e-05 5.558607597268468e-05
46 2092.0 -0.00317476 -0.0070458525 -0.0012510325000000002 7.5274881790693e-06 4.2747958934795074e-06 1.459007642564678e-05 -0.01020285 -0.017846024999999998 -0.0034654775 2.8227234242404346e-05 1.3441668585075013e-05 5.2752443310440724e-05
47 2094.0 -0.00317476 -0.0070458525 -0.0012510325000000002 7.502690392606332e-06 3.912407385245103e-06 1.409194861771182e-05 -0.01015545 -0.019845250000000002 -0.0034654775 2.6410558013897452e-05 1.2721148460268715e-05 5.015392022950667e-05
48 2096.0 -0.00317476 -0.0070458525 -0.0012510325000000002 6.8360972239068295e-06 4.071802968869252e-06 1.3170815097981328e-05 -0.010253100000000001 -0.01865305 -0.003464625 2.80931099677159e-05 1.3007960083816492e-05 5.1445731068727216e-05
49 2098.0 -0.00317476 -0.0070458525 -0.0012510325000000002 6.580046723441652e-06 3.578688085167503e-06 1.5301263476441207e-05 -0.009757515 -0.018348925 -0.0030849025 2.625630641495882e-05 1.1556915823483919e-05 5.0038012856395864e-05
50 2100.0 -0.00317476 -0.006979065 -0.0012510325000000002 7.456214979858076e-06 3.5581711928690433e-06 1.4632868331032433e-05 -0.009757515 -0.019274575000000002 -0.003464625 2.5373008684539784e-05 1.0287687440774181e-05 4.840030447930365e-05
51 2102.0 -0.00317476 -0.006979065 -0.0012510325000000002 7.476234691306401e-06 3.0738630821166263e-06 1.270023843708024e-05 -0.009757515 -0.019274575000000002 -0.0030849025 2.2602342307567384e-05 1.0778867360646043e-05 4.368753560358088e-05
52 2104.0 -0.00317476 -0.006979065 -0.0012510325000000002 6.449284610507407e-06 3.57451953060691e-06 1.42795335840922e-05 -0.009267669999999999 -0.019274575000000002 -0.0030849025 2.2466315674575474e-05 1.170307959541e-05 4.246083403012668e-05
53 2106.0 -0.00341777 -0.00717853 -0.0012510325000000002 6.379086656702811e-06 3.621194522387746e-06 1.429379023458498e-05 -0.009579134999999999 -0.02037045 -0.0030849025 2.1716808060464997e-05 1.179765544317653e-05 4.295886255356928e-05
