max_pf 72 min_pf 49
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
16 0.509454 -0.00118347 -0.0967243 0.01 51 52 0 0 0
21 0.497811 -0.00121875 -0.0755887 0.01 51 51 0 0 0
22 0.509454 -0.00118347 -0.0967243 0.01 50 50 0 0 0
33 0.51231 -0.00117482 -0.0967243 0.01 51 52 0 0 0
34 0.497811 -0.00121875 -0.0967243 0.01 50 50 0 0 0
38 0.497811 -0.00121875 -0.0967243 0.01 49 49 0 0 0
44 0.53364 -0.00111018 -0.109643 0.01 60 59 0 0 0
45 0.497811 -0.00121875 -0.0967243 0.01 50 50 0 0 0
52 0.568538 -0.00100443 -0.0676813 0.01 60 60 0 0 0
62 0.575818 -0.00098237 -0.071761 0.01 60 60 0 0 0
69 0.53755 -0.00109833 -0.122545 0.01 51 53 0 0 0
70 0.626218 -0.000829643 -0.0451373 0.01 60 61 0 0 0
71 0.557619 -0.00103752 -0.063946 0.01 60 59 0 0 0
75 0.574157 -0.000987404 -0.065196 0.01 60 60 0 0 0
80 0.575001 -0.000984846 -0.109476 0.01 51 51 0 0 0
88 0.593392 -0.000929114 -0.0444981 0.01 71 71 0 0 0
93 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
97 0.497811 -0.00121875 -0.0967243 0.01 50 50 0 0 0
108 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
115 0.57018 -0.000999456 -0.0835949 0.01 60 60 0 0 0
122 0.583827 -0.0009581 -0.063946 0.01 60 60 0 0 0
123 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
137 0.612312 -0.000871782 -0.065196 0.01 60 60 0 0 0
148 0.573139 -0.000990487 -0.0393241 0.01 60 60 0 0 0
157 0.509454 -0.00118347 -0.0967243 0.01 50 50 0 0 0
159 0.617457 -0.000856192 -0.0769436 0.01 60 60 0 0 0
165 0.497811 -0.00121875 -0.0967243 0.01 50 50 0 0 0
172 0.57715 -0.000978334 -0.0479092 0.01 60 60 0 0 0
173 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
205 0.571593 -0.000995171 -0.0470901 0.01 60 60 0 0 0
207 0.575818 -0.00098237 -0.0782236 0.01 60 60 0 0 0
217 0.575818 -0.00098237 -0.0487696 0.01 60 60 0 0 0
225 0.509454 -0.00118347 -0.0967243 0.01 50 50 0 0 0
234 0.575818 -0.00098237 -0.0293748 0.01 60 60 0 0 0
241 0.597731 -0.000915966 -0.063946 0.01 60 60 0 0 0
242 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
251 0.524986 -0.00113641 -0.106716 0.01 60 60 0 0 0
258 0.550257 -0.00105983 -0.109643 0.01 60 60 0 0 0
267 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
270 0.593392 -0.000929114 -0.0444981 0.01 71 71 0 0 0
281 0.551125 -0.0010572 -0.0356132 0.01 60 60 0 0 0
306 0.557619 -0.00103752 -0.063946 0.01 60 60 0 0 0
307 0.575818 -0.00098237 -0.0773181 0.01 60 60 0 0 0
308 0.568538 -0.00100443 -0.0676813 0.01 60 60 0 0 0
325 0.501188 -0.00120852 -0.0967243 0.01 51 51 -0.00303824 0.00337654 0
346 0.575818 -0.00098237 -0.063946 0.01 70 70 0 0 0
347 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
354 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
356 0.575818 -0.00098237 -0.071761 0.01 60 60 0 0 0
364 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
369 0.610577 -0.000877038 -0.0278255 0.01 70 70 0 0 0
370 0.602532 -0.000901418 -0.065196 0.01 60 60 0 0 0
375 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
376 0.575001 -0.000984846 -0.136233 0.01 51 51 0 0 0
377 0.511851 -0.00117621 -0.0967243 0.01 51 51 -0.0123868 0.0140391 0
393 0.549024 -0.00106356 -0.103919 0.01 60 60 0 0 0
406 0.593392 -0.000929114 -0.0444981 0.01 71 71 0 0 0
416 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
422 0.559305 -0.00103241 -0.125002 0.01 60 60 0 0 0
437 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
461 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
463 0.571593 -0.000995171 -0.0470901 0.01 60 60 0 0 0
468 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
469 0.54336 -0.00108073 -0.122545 0.01 51 52 0 0 0
486 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
487 0.530272 -0.00112039 -0.104895 0.01 51 52 0 0 0
495 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
499 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
501 0.617457 -0.000856192 -0.0769436 0.01 60 60 0 0 0
509 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
516 0.575818 -0.00098237 -0.063946 0.01 70 70 0 0 0
519 0.557003 -0.00103939 -0.125002 0.01 60 60 0 0 0
527 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
539 0.610577 -0.000877038 -0.0278255 0.01 71 71 0 0 0
560 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
564 0.551125 -0.0010572 -0.0356132 0.01 60 60 0 0 0
583 0.578788 -0.000973369 -0.063946 0.01 60 60 0 0 0
585 0.579885 -0.000970045 -0.0479092 0.01 60 60 -0.00229365 0.0028922 0
605 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
609 0.497811 -0.00121875 -0.0967243 0.01 50 50 0 0 0
610 0.497811 -0.00121875 -0.0967243 0.01 50 51 0 0 0
635 0.593392 -0.000929114 -0.0444981 0.01 71 71 0 0 0
644 0.610576 -0.000877041 -0.0599424 0.01 60 61 0 0 0
645 0.509454 -0.00118347 -0.0953511 0.01 50 50 0 0 0
646 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
662 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
667 0.509454 -0.00118347 -0.0967243 0.01 51 52 0 0 0
671 0.602532 -0.000901418 -0.065196 0.01 60 60 0 0 0
676 0.526682 -0.00113127 -0.116816 0.01 60 60 0 0 0
679 0.497811 -0.00121875 -0.0846601 0.01 51 51 0 0 0
691 0.575818 -0.00098237 -0.0773181 0.01 60 60 0 0 0
699 0.610576 -0.000877041 -0.0435501 0.01 60 60 0 0 0
706 0.509454 -0.00118347 -0.0967243 0.01 51 51 0 0 0
732 0.593392 -0.000929114 -0.0444981 0.01 71 71 0 0 0
737 0.568538 -0.00100443 -0.0676813 0.01 60 60 0 0 0
778 0.610577 -0.000877038 -0.0278255 0.01 70 70 0 0 0
792 0.568538 -0.00100443 -0.0676813 0.01 60 60 0 0 0
799 0.578105 -0.00097544 -0.0769436 0.01 60 59 0 0 0
801 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
802 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
803 0.611095 -0.000875471 -0.0444981 0.01 70 70 -0.0132963 0.0177025 0
804 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
815 0.497811 -0.00121875 -0.0967243 0.01 50 50 0 0 0
819 0.593392 -0.000929114 -0.0444981 0.01 72 72 0 0 0
820 0.555269 -0.00104464 -0.0480196 0.01 60 61 0 0 0
823 0.602532 -0.000901418 -0.065196 0.01 60 60 0 0 0
830 0.593392 -0.000929114 -0.0444981 0.01 71 71 0 0 0
831 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
846 0.573139 -0.000990487 -0.0489299 0.01 60 60 0 0 0
856 0.500176 -0.00121159 -0.0967243 0.01 50 50 0 0 0
861 0.557003 -0.00103939 -0.143054 0.01 60 60 0 0 0
862 0.593392 -0.000929114 -0.0444981 0.01 71 71 0 0 0
868 0.567809 -0.00100664 -0.0773181 0.01 60 60 0 0 0
877 0.593392 -0.000929114 -0.0444981 0.01 72 71 0 0 0
881 0.593392 -0.000929114 -0.0444981 0.01 70 70 0 0 0
883 0.593392 -0.000929114 -0.0430717 0.01 70 70 0.00174209 0 0.00142647
886 0.574157 -0.000987404 -0.065196 0.01 60 61 0 0 0
894 0.559098 -0.00103304 -0.125002 0.01 60 59 0 0 0
903 0.547375 -0.00106856 -0.063946 0.01 60 60 0 0 0
908 0.497811 -0.00121875 -0.0844454 0.01 50 50 0 0 0
910 0.610576 -0.000877041 -0.0710733 0.01 60 61 0 0 0
915 0.593392 -0.000929114 -0.0444981 0.01 71 71 0 0 0
918 0.575001 -0.000984846 -0.125002 0.01 60 60 0 0 0
929 0.497811 -0.00121875 -0.0967243 0.01 51 51 0 0 0
