max_pf 98 min_pf 43
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
10 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
17 0.594337 -0.000926251 -0.0453255 0.01 43 45 0 0 0
31 0.574454 -0.000986502 -0.041994 0.01 43 43 0 0 0
32 0.591182 -0.000935813 -0.0536743 0.01 45 45 0 0 0
41 0.586374 -0.000950383 -0.0413535 0.01 44 44 0.00251984 0 0.0123208
55 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
78 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
93 0.594337 -0.000926251 -0.0453255 0.01 43 44 0 0 0
120 0.591182 -0.000935813 -0.0543408 0.01 44 44 0 0 0
130 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
144 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
165 0.581548 -0.000965006 -0.0453255 0.01 45 45 0 0 0
172 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
192 0.532039 -0.00111503 -0.00814944 0.01 97 97 0 0 0
200 0.591182 -0.000935813 -0.0543408 0.01 43 44 0 0 0
244 0.53508 -0.00110582 -0.00691627 0.01 60 60 0 0 0
268 0.601695 -0.000903954 -0.0415826 0.01 45 45 0 0 0
270 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
290 0.601695 -0.000903954 -0.0543408 0.01 45 45 0 0 0
300 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
312 0.545159 -0.00107528 -0.0867142 0.01 60 60 0 0 0
313 0.591182 -0.000935813 -0.0536743 0.01 43 44 0 0 0
317 0.574454 -0.000986502 -0.041994 0.01 43 43 0 0 0
319 0.591182 -0.000935813 -0.0543408 0.01 44 44 0 0 0
357 0.586514 -0.000949956 -0.0515407 0.01 60 60 0 0 0
361 0.579051 -0.000972573 -0.0525693 0.01 60 60 0 0 0
362 0.562447 -0.00102289 -0.0712271 0.01 60 60 0 0 0
373 0.601695 -0.000903954 -0.0543408 0.01 44 45 0 0 0
380 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
389 0.598252 -0.000914388 -0.0453255 0.01 45 45 -0.00203012 0.00391465 0
424 0.537376 -0.00109886 -0.0872121 0.01 60 60 0 0 0
434 0.591182 -0.000935813 -0.0536743 0.01 45 45 0 0 0
438 0.53508 -0.00110582 -0.0232699 0.01 60 60 0 0 0
445 0.565762 -0.00101284 -0.0685294 0.01 60 60 0 0 0
451 0.591182 -0.000935813 -0.0536743 0.01 45 45 0 0 0
456 0.601695 -0.000903954 -0.0543408 0.01 45 46 0 0 0
461 0.591182 -0.000935813 -0.0536743 0.01 45 44 0 0 0
466 0.553556 -0.00104983 -0.0685294 0.01 60 60 0 0 0
467 0.591182 -0.000935813 -0.0520623 0.01 44 44 0 0 0
470 0.601695 -0.000903954 -0.0543408 0.01 45 45 0 0 0
479 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
481 0.601695 -0.000903954 -0.0543408 0.01 45 45 0 0 0
517 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
544 0.541449 -0.00108652 -0.0867142 0.01 60 60 0 0 0
547 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
577 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
584 0.591182 -0.000935813 -0.0536743 0.01 45 44 0 0 0
585 0.591182 -0.000935813 -0.0536743 0.01 45 44 0 0 0
590 0.532039 -0.00111503 -0.013177 0.01 98 98 0 0 0
598 0.614754 -0.000864381 -0.0543408 0.01 45 45 -0.00593001 0.012176 0
604 0.571351 -0.000995907 -0.0733263 0.01 60 60 0 0 0
606 0.631986 -0.000812163 -0.0381228 0.01 45 45 -0.0200871 0.0408045 0
609 0.594337 -0.000926251 -0.0564494 0.01 45 46 0 0 0
615 0.591182 -0.000935813 -0.0536743 0.01 43 44 0 0 0
620 0.580333 -0.000968689 -0.0406796 0.01 60 58 0 0 0
645 0.591182 -0.000935813 -0.0543408 0.01 44 44 0 0 0
674 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
692 0.594337 -0.000926251 -0.0453255 0.01 44 44 0 0 0
695 0.53508 -0.00110582 -0.00691627 0.01 60 60 0 0 0
708 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
720 0.532039 -0.00111503 -0.013177 0.01 96 96 0 0 0
723 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
746 0.573553 -0.000989234 -0.0854839 0.01 60 60 0 0 0
751 0.581738 -0.000964431 -0.0536743 0.01 45 45 0 0 0
764 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
776 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
813 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
825 0.557702 -0.00103727 -0.0798521 0.01 45 48 0 0 0
826 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
845 0.500072 -0.0012119 -0.0816806 0.01 60 60 0 0 0
853 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
866 0.591182 -0.000935813 -0.0536743 0.01 43 44 0 0 0
868 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
881 0.591182 -0.000935813 -0.0523364 0.01 44 44 0.000398137 0 0.00200432
894 0.591182 -0.000935813 -0.0543408 0.01 44 44 0 0 0
897 0.53508 -0.00110582 -0.0232699 0.01 60 61 0 0 0
915 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
988 0.591182 -0.000935813 -0.0536743 0.01 45 45 0 0 0
999 0.545159 -0.00107528 -0.0867142 0.01 60 60 0 0 0
1005 0.593443 -0.00092896 -0.0536743 0.01 44 44 0 0 0
1033 0.537376 -0.00109886 -0.0867142 0.01 60 61 0 0 0
1038 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
1079 0.562447 -0.00102289 -0.078671 0.01 60 60 0 0 0
1080 0.548541 -0.00106503 -0.0866854 0.01 60 60 0 0 0
1084 0.563028 -0.00102113 -0.0676546 0.01 60 61 0 0 0
1092 0.53508 -0.00110582 -0.0232699 0.01 60 61 0 0 0
1102 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
1121 0.546888 -0.00107004 -0.00814944 0.01 97 97 0 0 0
1140 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
1149 0.593443 -0.00092896 -0.0536743 0.01 44 44 0 0 0
1159 0.556377 -0.00104128 -0.0311676 0.01 60 60 0 0 0
1171 0.591182 -0.000935813 -0.0569238 0.01 45 45 0 0 0
1175 0.591182 -0.000935813 -0.0536743 0.01 45 45 0 0 0
1212 0.562447 -0.00102289 -0.078671 0.01 60 60 0 0 0
1213 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
1218 0.593443 -0.00092896 -0.0536743 0.01 45 45 0 0 0
1222 0.600485 -0.00090762 -0.0536743 0.01 43 44 0 0 0
1242 0.586226 -0.000950831 -0.055939 0.01 60 60 0 0 0
1260 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
1276 0.53508 -0.00110582 -0.0232699 0.01 60 60 0 0 0
1280 0.537376 -0.00109886 -0.0867142 0.01 60 60 0 0 0
1302 0.601695 -0.000903954 -0.0543408 0.01 45 45 0 0 0
1327 0.591182 -0.000935813 -0.0580779 0.01 45 45 0 0 0
1334 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
1356 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
1384 0.583375 -0.000959471 -0.0536743 0.01 45 45 0.00533451 -0.0100687 0
1407 0.532039 -0.00111503 -0.00814944 0.01 97 97 0 0 0
1431 0.562447 -0.00102289 -0.078671 0.01 60 60 0 0 0
1433 0.601695 -0.000903954 -0.0440574 0.01 45 46 0 0 0
1435 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
1442 0.557187 -0.00103883 -0.0617253 0.01 60 61 -0.00383064 0.00450552 0
1455 0.591182 -0.000935813 -0.0543408 0.01 44 44 0 0 0
1460 0.586374 -0.000950383 -0.0536743 0.01 44 44 0 0 0
1462 0.529571 -0.00112251 -0.0189932 0.01 60 60 0 0 0
1471 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
1519 0.537376 -0.00109886 -0.0867142 0.01 60 60 0 0 0
1531 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
1534 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
1544 0.51936 -0.00115345 -0.0867142 0.01 60 60 0 0 0
1549 0.591182 -0.000935813 -0.0547317 0.01 44 45 0 0 0
1561 0.586038 -0.000951399 -0.0543408 0.01 44 44 0 0 0
1567 0.532039 -0.00111503 -0.00814944 0.01 97 97 0 0 0
1586 0.548541 -0.00106503 -0.0866854 0.01 60 60 0 0 0
1590 0.542658 -0.00108286 -0.0617253 0.01 60 60 0 0 0
1594 0.574454 -0.000986502 -0.0543408 0.01 44 44 0 0 0
1623 0.529571 -0.00112251 -0.0232699 0.01 60 60 0 0 0
1630 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
1633 0.572775 -0.000991592 -0.0350888 0.01 60 60 0 0 0
1683 0.579774 -0.00097038 -0.0543408 0.01 44 44 0 0 0
1686 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
1691 0.561403 -0.00102605 -0.0733263 0.01 60 60 0 0 0
1705 0.594337 -0.000926251 -0.0453255 0.01 45 45 0 0 0
1708 0.594337 -0.000926251 -0.0453255 0.01 45 45 0 0 0
1709 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
1711 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
1748 0.616482 -0.000859146 -0.0543408 0.01 45 45 0 0 0
1763 0.500072 -0.0012119 -0.0603319 0.01 60 60 0 0 0
1765 0.547118 -0.00106934 -0.0867142 0.01 60 60 0 0 0
1770 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
1775 0.537376 -0.00109886 -0.0872121 0.01 60 60 0 0 0
1785 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
1792 0.602578 -0.000901278 -0.0543408 0.01 45 45 0 0 0
1809 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
1810 0.571365 -0.000995864 -0.0657693 0.01 60 61 0 0 0
1821 0.601695 -0.000903954 -0.0543408 0.01 45 46 0 0 0
1887 0.594337 -0.000926251 -0.0453255 0.01 45 45 0 0 0
1910 0.591182 -0.000935813 -0.0489325 0.01 44 44 0.00107692 0 0.00540823
1917 0.574123 -0.000987507 -0.0515407 0.01 60 60 0 0 0
1928 0.532039 -0.00111503 -0.013177 0.01 97 97 0 0 0
1930 0.526212 -0.00113269 -0.00814944 0.01 96 96 0 0 0
1950 0.564877 -0.00101553 -0.0733263 0.01 60 60 0 0 0
1982 0.550313 -0.00105966 -0.0543408 0.01 45 45 0.0142276 -0.0241413 0
1987 0.601695 -0.000903954 -0.0543408 0.01 45 46 0 0 0
2019 0.591182 -0.000935813 -0.0580779 0.01 45 45 0 0 0
2024 0.577634 -0.000976866 -0.0733263 0.01 60 60 0 0 0
2035 0.601695 -0.000903954 -0.0529385 0.01 45 46 0 0 0
2042 0.532039 -0.00111503 -0.00814944 0.01 97 97 0 0 0
2066 0.450492 -0.00136215 -0.0816806 0.01 60 60 0.0533724 -0.0495805 0
2091 0.532039 -0.00111503 -0.00814944 0.01 96 96 0 0 0
2109 0.594337 -0.000926251 -0.0453255 0.01 44 44 0 0 0
2112 0.601695 -0.000903954 -0.0543408 0.01 44 45 0 0 0
2116 0.512344 -0.00117472 -0.0232699 0.01 60 60 0 0 0
2121 0.601695 -0.000903954 -0.0543408 0.01 45 45 0 0 0
2126 0.577634 -0.000976866 -0.0733263 0.01 60 60 0 0 0
2127 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
2131 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
2142 0.529571 -0.00112251 -0.0232699 0.01 60 60 0 0 0
2157 0.581738 -0.000964431 -0.0499191 0.01 45 45 0 0 0
2179 0.591182 -0.000935813 -0.0536743 0.01 45 45 0 0 0
2181 0.591182 -0.000935813 -0.0536743 0.01 44 44 0 0 0
2182 0.518379 -0.00115643 -0.0867142 0.01 60 60 0 0 0
2193 0.591182 -0.000935813 -0.0543408 0.01 45 45 0 0 0
2203 0.532039 -0.00111503 -0.00814944 0.01 97 97 0 0 0
2213 0.594337 -0.000926251 -0.0358024 0.01 44 44 0.0019058 0 0.00952308
2246 0.591182 -0.000935813 -0.0543408 0.01 44 44 0 0 0
2258 0.593242 -0.000929571 -0.0446374 0.01 60 60 0 0 0
2287 0.591182 -0.000935813 -0.0543408 0.01 44 44 0 0 0
2289 0.601695 -0.000903954 -0.0440574 0.01 45 46 0 0 0
2296 0.593443 -0.00092896 -0.0536743 0.01 44 44 0 0 0
2307 0.546888 -0.00107004 -0.00814944 0.01 97 97 0 0 0
