max_pf 94 min_pf 39
individual DHm DSm DCp disp_rate patch_no b_patch_no mut_eff DDHm DDCp
1 0.52519 -0.00113579 -0.0513466 0.01 60 61 0 0 0
36 0.529803 -0.00112181 -0.0286912 0.01 40 40 0 0 0
37 0.579613 -0.000970869 -0.0284664 0.01 93 93 0 0 0
43 0.579613 -0.000970869 -0.0130188 0.01 92 92 0 0 0
58 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
59 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
63 0.523247 -0.00114168 -0.0461873 0.01 41 41 0 0 0
67 0.537963 -0.00109708 -0.0287681 0.01 60 60 0 0 0
71 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
81 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
84 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
118 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
130 0.603792 -0.0008976 -0.0230062 0.01 92 92 0 0 0
136 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
154 0.537963 -0.00109708 -0.0109557 0.01 60 61 0 0 0
157 0.497549 -0.00121955 -0.0205874 0.01 60 60 0 0 0
177 0.579613 -0.000970869 -0.0230062 0.01 92 91 0 0 0
182 0.579613 -0.000970869 -0.0284664 0.01 93 93 0 0 0
186 0.53222 -0.00111449 -0.0392347 0.01 60 60 0 0 0
196 0.464636 -0.00131928 -0.0461873 0.01 41 41 0 0 0
200 0.529803 -0.00112181 -0.0513466 0.01 41 42 0 0 0
208 0.558724 -0.00103417 -0.0230062 0.01 93 93 0 0 0
216 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
270 0.497549 -0.00121955 -0.0364443 0.01 60 60 0 0 0
275 0.532918 -0.00111237 -0.0522585 0.01 60 60 0 0 0
280 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
282 0.497549 -0.00121955 -0.00094655 0.01 60 60 0 0 0
297 0.529803 -0.00112181 -0.0513466 0.01 41 42 0 0 0
332 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
339 0.558724 -0.00103417 -0.0230062 0.01 92 92 0 0 0
350 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
376 0.579613 -0.000970869 -0.0284664 0.01 92 93 0 0 0
386 0.531642 -0.00111624 -0.0263084 0.01 60 60 0 0 0
398 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
400 0.579613 -0.000970869 -0.0230062 0.01 93 93 0 0 0
422 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
424 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
432 0.544586 -0.00107701 -0.0392347 0.01 60 60 0 0 0
435 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
453 0.579613 -0.000970869 -0.0284664 0.01 93 93 0 0 0
463 0.536031 -0.00110294 -0.0513466 0.01 60 59 0 0 0
470 0.497549 -0.00121955 -0.0205874 0.01 60 61 0 0 0
631 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
634 0.579613 -0.000970869 -0.0230062 0.01 93 93 0 0 0
645 0.497549 -0.00121955 -0.00929783 0.01 60 60 0 0 0
697 0.497549 -0.00121955 -0.0205874 0.01 60 60 0 0 0
703 0.501507 -0.00120756 -0.0461873 0.01 40 41 0 0 0
704 0.579613 -0.000970869 -0.0230062 0.01 93 91 0 0 0
722 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
732 0.579613 -0.000970869 -0.0155946 0.01 92 92 0 0 0
738 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
739 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
759 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
822 0.558724 -0.00103417 -0.0230062 0.01 92 92 0 0 0
823 0.579613 -0.000970869 -0.0155946 0.01 92 92 0 0 0
841 0.472388 -0.00129579 -0.0332056 0.01 60 60 0 0 0
859 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
860 0.579613 -0.000970869 -0.0155946 0.01 92 92 0 0 0
879 0.579613 -0.000970869 -0.0230062 0.01 93 93 0 0 0
882 0.529803 -0.00112181 -0.0513466 0.01 40 42 0 0 0
885 0.501507 -0.00120756 -0.0464944 0.01 41 42 0 0 0
962 0.467197 -0.00131152 -0.0205874 0.01 60 60 0 0 0
964 0.501507 -0.00120756 -0.0461873 0.01 39 40 0 0 0
970 0.534574 -0.00110735 -0.0473591 0.01 60 60 0 0 0
971 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
988 0.501507 -0.00120756 -0.0461873 0.01 39 41 0 0 0
989 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
1010 0.497549 -0.00121955 -0.0205874 0.01 60 60 0 0 0
1018 0.501507 -0.00120756 -0.0461873 0.01 40 42 0 0 0
1027 0.577098 -0.00097849 -0.0284664 0.01 93 93 0 0 0
1040 0.579613 -0.000970869 -0.0155946 0.01 92 92 0 0 0
1052 0.533927 -0.00110931 -0.00314536 0.01 60 60 0 0 0
1055 0.529803 -0.00112181 -0.0513466 0.01 41 42 0 0 0
1057 0.551711 -0.00105542 -0.0513466 0.01 41 44 0 0 0
1082 0.501507 -0.00120756 -0.0461873 0.01 40 39 0 0 0
1087 0.562413 -0.00102299 -0.00463434 0.01 60 61 0 0 0
1090 0.516712 -0.00116148 -0.0699742 0.01 60 59 0 0 0
1095 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1101 0.544586 -0.00107701 -0.0217411 0.01 60 60 0 0 0
1105 0.501507 -0.00120756 -0.0358006 0.01 39 39 0 0 0
1150 0.501507 -0.00120756 -0.0461873 0.01 41 40 0 0 0
1162 0.529803 -0.00112181 -0.0286912 0.01 40 40 0 0 0
1174 0.497549 -0.00121955 -0.0205874 0.01 60 59 0 0 0
1178 0.501507 -0.00120756 -0.0461873 0.01 39 39 0 0 0
1212 0.48927 -0.00124464 -0.0287266 0.01 60 60 0 0 0
1215 0.535349 -0.001105 -0.0217411 0.01 60 60 0 0 0
1235 0.533927 -0.00110931 -0.000688334 0.01 60 60 0 0 0
1241 0.533913 -0.00110935 -0.0653018 0.01 60 60 0 0 0
1242 0.52519 -0.00113579 -0.0690945 0.01 60 60 0 0 0
1246 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1303 0.579613 -0.000970869 -0.0230062 0.01 93 92 0 0 0
1330 0.558724 -0.00103417 -0.0230062 0.01 92 92 0 0 0
1365 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
1388 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1390 0.497549 -0.00121955 -0.0205874 0.01 60 60 0 0 0
1417 0.533913 -0.00110935 -0.0653018 0.01 60 60 0 0 0
1429 0.579984 -0.000969745 -0.0513096 0.01 60 61 0 0 0
1480 0.537963 -0.00109708 -0.0287681 0.01 60 60 0 0 0
1490 0.579613 -0.000970869 -0.0284664 0.01 93 93 0 0 0
1499 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1507 0.501777 -0.00120674 -0.0513466 0.01 41 42 0 0 0
1521 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
1536 0.544586 -0.00107701 -0.0392347 0.01 60 60 0 0 0
1551 0.497549 -0.00121955 -0.0205874 0.01 60 60 0 0 0
1573 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1608 0.579613 -0.000970869 -0.0230062 0.01 93 93 0 0 0
1612 0.579613 -0.000970869 -0.0230062 0.01 93 93 0 0 0
1619 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1626 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1643 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
1655 0.501507 -0.00120756 -0.041997 0.01 39 40 0 0 0
1677 0.537963 -0.00109708 -0.0133411 0.01 60 59 0 0 0
1692 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
1709 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1711 0.579613 -0.000970869 -0.0230062 0.01 94 94 0 0 0
1716 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
1747 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1750 0.497549 -0.00121955 -0.0205874 0.01 60 60 0 0 0
1772 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1775 0.583514 -0.000959048 -0.0616411 0.01 60 60 0 0 0
1779 0.579613 -0.000970869 -0.0230062 0.01 92 91 0 0 0
1785 0.579613 -0.000970869 -0.0155946 0.01 92 92 0 0 0
1812 0.48927 -0.00124464 -0.0287266 0.01 60 60 0 0 0
1836 0.535349 -0.001105 -0.0217411 0.01 60 61 0 0 0
1843 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
1846 0.558724 -0.00103417 -0.0230062 0.01 92 92 0 0 0
1852 0.501507 -0.00120756 -0.0461873 0.01 39 39 0 0 0
1889 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
1948 0.558724 -0.00103417 -0.0230062 0.01 93 93 0 0 0
1954 0.579613 -0.000970869 -0.0284664 0.01 93 93 0 0 0
1986 0.581067 -0.000966463 -0.031925 0.01 60 60 0 0 0
1995 0.536031 -0.00110294 -0.0513466 0.01 60 60 0 0 0
2013 0.536031 -0.00110294 -0.0399166 0.01 60 60 0.000775248 0 0.00466264
2015 0.499707 -0.00121301 -0.0205874 0.01 60 60 0 0 0
2020 0.579613 -0.000970869 -0.0230062 0.01 92 91 0 0 0
2025 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
2054 0.57686 -0.000979212 -0.0653018 0.01 60 60 0 0 0
2055 0.52519 -0.00113579 -0.0861698 0.01 60 59 0 0 0
2064 0.519511 -0.001153 -0.0260427 0.01 40 40 0 0 0
2085 0.481656 -0.00126771 -0.0205874 0.01 60 60 0 0 0
2104 0.579613 -0.000970869 -0.0230062 0.01 93 93 0 0 0
2108 0.563261 -0.00102042 -0.0702514 0.01 60 59 0 0 0
2113 0.573269 -0.000990094 -0.0230242 0.01 60 60 0 0 0
2195 0.537963 -0.00109708 -0.0287681 0.01 60 60 0 0 0
2204 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
2226 0.501507 -0.00120756 -0.0461873 0.01 40 40 0 0 0
2242 0.533913 -0.00110935 -0.0653018 0.01 60 60 0 0 0
2254 0.497549 -0.00121955 -0.0205874 0.01 60 60 0 0 0
2256 0.497549 -0.00121955 -0.0205874 0.01 60 60 0 0 0
2258 0.501507 -0.00120756 -0.0461873 0.01 39 39 0 0 0
2277 0.601388 -0.000904886 -0.04297 0.01 60 60 0 0 0
2298 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
2304 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
2338 0.501507 -0.00120756 -0.0461873 0.01 39 39 0 0 0
2352 0.497549 -0.00121955 -0.0205874 0.01 60 60 0 0 0
2365 0.579613 -0.000970869 -0.0230062 0.01 92 92 0 0 0
2372 0.503301 -0.00120212 -0.0513466 0.01 41 41 0 0 0
2413 0.579613 -0.000970869 -0.0284664 0.01 93 93 0 0 0
2424 0.533927 -0.00110931 -0.0141449 0.01 60 60 0 0 0
2435 0.501507 -0.00120756 -0.0461873 0.01 41 41 0 0 0
2439 0.516584 -0.00116187 -0.0425644 0.01 41 42 0.0083494 -0.0132188 0
2452 0.514098 -0.0011694 -0.0513466 0.01 41 41 0 0 0
