	time	range_hot	range_cold
354	2708	98	50
355	2710	98	50
356	2712	98	50
357	2714	98	50
358	2716	98	50
359	2718	98	50
360	2720	98	50
361	2722	98	50
362	2724	98	50
363	2726	98	50
364	2728	98	50
365	2730	98	50
366	2732	98	50
367	2734	98	50
368	2736	98	50
369	2738	98	50
370	2740	98	50
371	2742	98	50
372	2744	98	50
373	2746	99	50
374	2748	99	50
375	2750	99	50
376	2752	99	50
377	2754	99	50
378	2756	99	50
379	2758	98	50
380	2760	99	50
381	2762	99	50
382	2764	99	50
383	2766	99	50
384	2768	99	50
385	2770	99	50
386	2772	99	50
387	2774	99	50
388	2776	99	50
389	2778	99	50
390	2780	98	50
391	2782	98	50
392	2784	98	50
393	2786	98	50
394	2788	98	50
395	2790	98	50
396	2792	98	50
397	2794	98	50
398	2796	98	50
399	2798	98	50
400	2800	98	50
401	2802	98	50
402	2804	98	50
403	2806	98	50
404	2808	99	50
405	2810	99	50
406	2812	99	50
407	2814	99	50
408	2816	99	50
409	2818	99	50
410	2820	99	50
411	2822	99	50
412	2824	99	50
413	2826	99	50
414	2828	99	50
415	2830	99	50
416	2832	99	50
417	2834	99	50
418	2836	99	50
419	2838	99	50
420	2840	99	50
421	2842	99	50
422	2844	99	50
423	2846	99	50
424	2848	99	50
425	2850	99	50
426	2852	99	50
427	2854	100	50
428	2856	100	50
429	2858	100	50
430	2860	100	50
431	2862	100	50
432	2864	100	50
433	2866	100	50
434	2868	100	50
435	2870	100	50
436	2872	100	50
437	2874	100	50
438	2876	100	50
439	2878	100	50
440	2880	100	50
441	2882	100	50
442	2884	100	50
443	2886	100	50
444	2888	100	50
445	2890	100	50
446	2892	100	50
447	2894	100	50
448	2896	100	50
449	2898	100	50
450	2900	100	50
451	2902	100	50
452	2904	100	50
453	2906	100	50
454	2908	100	50
455	2910	100	50
456	2912	100	50
457	2914	100	50
458	2916	100	50
459	2918	100	50
460	2920	100	50
461	2922	100	50
462	2924	100	50
463	2926	100	50
464	2928	100	50
465	2930	100	50
466	2932	100	50
467	2934	100	50
468	2936	100	50
469	2938	100	50
470	2940	100	50
471	2942	100	50
472	2944	100	50
473	2946	100	50
474	2948	100	50
475	2950	100	50
476	2952	100	50
477	2954	100	50
478	2956	100	50
479	2958	100	50
480	2960	100	50
481	2962	100	50
482	2964	100	50
483	2966	100	50
484	2968	100	50
485	2970	100	50
486	2972	100	50
487	2974	100	50
488	2976	100	50
489	2978	100	50
490	2980	100	50
491	2982	100	50
492	2984	100	50
493	2986	100	50
494	2988	100	50
495	2990	99	50
496	2992	99	50
497	2994	99	50
498	2996	99	50
499	2998	99	50
500	3000	99	50
501	3002	100	50
502	3004	100	50
503	3006	100	50
504	3008	100	50
505	3010	100	50
506	3012	100	50
507	3014	100	50
508	3016	100	50
509	3018	99	50
510	3020	100	50
511	3022	100	50
512	3024	100	50
513	3026	100	50
514	3028	100	50
515	3030	100	50
516	3032	100	50
517	3034	100	50
518	3036	100	50
519	3038	100	50
520	3040	100	50
521	3042	100	50
522	3044	100	50
523	3046	100	50
524	3048	100	50
525	3050	100	50
526	3052	100	50
527	3054	100	50
528	3056	100	50
529	3058	100	50
530	3060	100	50
531	3062	100	50
532	3064	100	50
533	3066	100	50
534	3068	100	50
535	3070	100	50
536	3072	100	50
